Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.72,-2.78,75.5%,1226,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Kayle's Radiant Exaltation,S,1.94,-2.56,58.5%,1005,0.0%,Vex | Xayah | Aurelion Sol | Kindred | LeBlanc
Radiant Field,S,3.92,-0.58,29.6%,27166,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Nashor's Tooth,S,3.96,-0.54,16.7%,18129,0.7%,Twisted Fate | Nami | Veigar | Aurora | Fizz
Radiant Kraken's Fury,S,4.00,-0.50,15.2%,12081,0.4%,Xayah | Bel'Veth | Kindred | Caitlyn | Graves
Radiant Rabadon's Deathcap,S,4.01,-0.49,16.0%,16169,0.6%,Aurelion Sol | Viktor | Twisted Fate | Vex | LeBlanc
Radiant Deathblade,S,4.06,-0.44,16.4%,12250,0.4%,Corki | Jhin | Xayah | Kai'Sa | Samira
Radiant Red Buff,S,4.11,-0.39,15.6%,6887,0.2%,Xayah | Vex | Nami | Kindred | Karma
Radiant Gargoyle Stoneplate,S,4.11,-0.39,16.5%,47070,1.7%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Jax
Radiant Giant Slayer,S,4.14,-0.36,14.0%,32681,1.2%,Vex | Bel'Veth | LeBlanc | Xayah | Graves
Radiant Infinity Edge,S,4.16,-0.34,16.8%,23910,0.9%,Jhin | Xayah | Kai'Sa | Samira | Graves
Radiant Last Whisper,S,4.18,-0.32,15.2%,6707,0.2%,Corki | Xayah | Jhin | Samira | Kai'Sa
Radiant Jeweled Gauntlet,S,4.19,-0.31,14.3%,39862,1.4%,Viktor | Aurelion Sol | Nami | LeBlanc | Vex
Radiant Striker's Flail,S,4.20,-0.30,14.9%,14362,0.5%,Kai'Sa | Vex | Corki | Aurelion Sol | Kindred
Radiant Hextech Gunblade,A,4.21,-0.29,13.9%,11604,0.4%,Vex | LeBlanc | Aurelion Sol | Teemo | Viktor
Radiant Spear of Shojin,A,4.21,-0.29,15.3%,19630,0.7%,Nami | Karma | Zed | Kai'Sa | Samira
Radiant Ionic Spark,A,4.21,-0.29,12.6%,6043,0.2%,Illaoi | Nunu & Willump | Blitzcrank | Rammus | Tahm Kench
Radiant Edge of Night,A,4.23,-0.27,12.8%,12305,0.4%,Master Yi | Akali | Fiora | Riven | Zed
Radiant Thief's Gloves,A,4.24,-0.26,13.5%,41950,1.5%,Blitzcrank | Fiora | Riven | Shen | Rhaast
Radiant Void Staff,A,4.25,-0.25,13.0%,16593,0.6%,Aurelion Sol | Vex | Nami | Karma | Viktor
Radiant Hand of Justice,A,4.27,-0.23,12.3%,14294,0.5%,Akali | Fiora | Riven | Graves | Master Yi
Radiant Archangel's Staff,A,4.27,-0.23,12.0%,12877,0.5%,Viktor | Aurelion Sol | Vex | LeBlanc | Nami
Radiant Morellonomicon,A,4.29,-0.21,12.9%,5043,0.2%,Karma | Nami | Bard | Aurelion Sol | Vex
Radiant Sterak's Gage,B,4.33,-0.17,15.3%,11887,0.4%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Radiant Sunfire Cape,B,4.33,-0.17,11.4%,26455,1.0%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Titan's Resolve,B,4.34,-0.16,13.5%,11892,0.4%,Riven | The Mighty Mech | Fiora | Master Yi | Bel'Veth
Radiant Blue Buff,B,4.35,-0.15,12.5%,7828,0.3%,Kai'Sa | Corki | Nami | Karma | Veigar
Radiant Protector's Vow,B,4.36,-0.14,12.8%,15246,0.6%,Nunu & Willump | Rammus | Jax | Tahm Kench | Illaoi
Radiant Quicksilver,B,4.37,-0.13,10.7%,8767,0.3%,Bel'Veth | Graves | Master Yi | Fiora | Riven
Radiant Warmog's Armor,B,4.38,-0.12,12.0%,18802,0.7%,Nunu & Willump | Rammus | Illaoi | The Mighty Mech | Ornn
Radiant Bloodthirster,C,4.40,-0.10,12.4%,14887,0.5%,Riven | Fiora | Master Yi | Graves | Blitzcrank
Radiant Evenshroud,C,4.41,-0.09,12.3%,6101,0.2%,Nunu & Willump | Ornn | Rammus | Tahm Kench | Maokai
Radiant Guinsoo's Rageblade,C,4.43,-0.07,13.5%,49823,1.8%,Vex | Xayah | LeBlanc | Kindred | Jhin
Radiant Spirit Visage,C,4.44,-0.06,11.2%,20776,0.8%,Nunu & Willump | Rammus | Tahm Kench | Illaoi | Ornn
Radiant Steadfast Heart,C,4.46,-0.04,11.0%,8807,0.3%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Crownguard,C,4.47,-0.03,10.7%,6223,0.2%,Nunu & Willump | Rammus | Jax | Ornn | Illaoi
Radiant Dragon's Claw,D,4.52,+0.02,10.2%,14601,0.5%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Adaptive Helm,D,4.55,+0.05,10.1%,8214,0.3%,Nunu & Willump | Rammus | Tahm Kench | Jax | Illaoi
Radiant Bramble Vest,D,4.60,+0.10,8.7%,7586,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
