Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.96,-0.54,16.4%,25355,0.7%,Twisted Fate | Nami | Veigar | Fizz | Karma
Radiant Rabadon's Deathcap,S,4.02,-0.48,15.6%,22465,0.6%,Aurelion Sol | Viktor | Twisted Fate | Vex | Nami
Radiant Kraken's Fury,S,4.02,-0.48,15.2%,16701,0.4%,Xayah | Bel'Veth | Kindred | Caitlyn | Jhin
Radiant Deathblade,S,4.07,-0.43,16.4%,17001,0.5%,Corki | Xayah | Jhin | Kai'Sa | Samira
Radiant Red Buff,S,4.10,-0.40,16.0%,9210,0.2%,Xayah | Vex | Nami | Jhin | Karma
Radiant Gargoyle Stoneplate,S,4.11,-0.39,16.3%,63182,1.7%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Jax
Radiant Giant Slayer,S,4.12,-0.38,13.9%,44212,1.2%,Vex | Bel'Veth | LeBlanc | Xayah | Graves
Radiant Infinity Edge,S,4.13,-0.37,17.3%,34419,0.9%,Xayah | Jhin | Kai'Sa | Samira | Graves
Radiant Last Whisper,S,4.16,-0.34,15.6%,9106,0.2%,Corki | Xayah | Jhin | Samira | Kai'Sa
Radiant Jeweled Gauntlet,S,4.19,-0.31,14.0%,53042,1.4%,Viktor | Nami | Aurelion Sol | Vex | LeBlanc
Radiant Edge of Night,A,4.21,-0.29,12.9%,16609,0.4%,Master Yi | Akali | Riven | Fiora | Pyke
Radiant Hextech Gunblade,A,4.21,-0.29,13.8%,14875,0.4%,Vex | LeBlanc | Teemo | Aurelion Sol | Xayah
Radiant Ionic Spark,A,4.22,-0.28,12.6%,8224,0.2%,Illaoi | Nunu & Willump | Blitzcrank | Rammus | Tahm Kench
Radiant Spear of Shojin,A,4.23,-0.27,14.7%,27156,0.7%,Nami | Karma | Zed | Samira | Kai'Sa
Radiant Striker's Flail,A,4.23,-0.27,14.6%,19294,0.5%,Kai'Sa | Vex | Corki | Jhin | Graves
Radiant Archangel's Staff,A,4.23,-0.27,12.5%,16600,0.4%,Viktor | Aurelion Sol | Vex | LeBlanc | Nami
Radiant Thief's Gloves,A,4.24,-0.26,13.6%,57013,1.5%,Blitzcrank | Fiora | Riven | Shen | Rhaast
Radiant Morellonomicon,A,4.26,-0.24,13.1%,6637,0.2%,Karma | Nami | Bard | Aurelion Sol | Zoe
Radiant Void Staff,A,4.26,-0.24,12.4%,21481,0.6%,Aurelion Sol | Nami | Vex | Karma | Viktor
Radiant Hand of Justice,A,4.26,-0.24,12.2%,19412,0.5%,Akali | Fiora | Riven | Graves | Fizz
Radiant Sterak's Gage,B,4.32,-0.18,15.1%,14743,0.4%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Radiant Sunfire Cape,B,4.32,-0.18,11.7%,35457,1.0%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Titan's Resolve,B,4.34,-0.16,13.4%,15341,0.4%,Riven | The Mighty Mech | Fiora | Master Yi | Bel'Veth
Radiant Quicksilver,B,4.35,-0.15,11.0%,11883,0.3%,Bel'Veth | Graves | Master Yi | Fiora | Riven
Radiant Blue Buff,B,4.35,-0.15,12.6%,10701,0.3%,Kai'Sa | Corki | Karma | Nami | Veigar
Radiant Protector's Vow,B,4.35,-0.15,13.2%,21326,0.6%,Nunu & Willump | Rammus | Jax | Tahm Kench | Illaoi
Radiant Warmog's Armor,B,4.37,-0.13,12.2%,25884,0.7%,Nunu & Willump | Rammus | Illaoi | Ornn | The Mighty Mech
Radiant Evenshroud,B,4.40,-0.10,13.0%,8563,0.2%,Nunu & Willump | Ornn | Rammus | Tahm Kench | Maokai
Radiant Bloodthirster,C,4.41,-0.09,12.7%,19932,0.5%,Riven | Fiora | Master Yi | Graves | Blitzcrank
Radiant Spirit Visage,C,4.42,-0.08,11.3%,28283,0.8%,Nunu & Willump | Rammus | Tahm Kench | Ornn | Illaoi
Radiant Guinsoo's Rageblade,C,4.44,-0.06,13.6%,67889,1.8%,Vex | Xayah | LeBlanc | Kindred | Teemo
Radiant Crownguard,C,4.44,-0.06,11.1%,8536,0.2%,Nunu & Willump | Rammus | Jax | Ornn | Illaoi
Radiant Steadfast Heart,C,4.47,-0.03,11.1%,11696,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Dragon's Claw,D,4.52,+0.02,10.3%,19690,0.5%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Adaptive Helm,D,4.56,+0.06,10.0%,10964,0.3%,Nunu & Willump | Rammus | Jax | Tahm Kench | Illaoi
Radiant Bramble Vest,D,4.60,+0.10,9.0%,10434,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
