Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.96,-0.54,16.0%,36768,0.7%,Twisted Fate | Nami | Veigar | Karma | Fizz
Radiant Rabadon's Deathcap,S,4.00,-0.50,15.1%,32935,0.6%,Viktor | Aurelion Sol | Twisted Fate | Vex | Nami
Radiant Kraken's Fury,S,4.05,-0.45,15.3%,23759,0.5%,Xayah | Bel'Veth | Kindred | Graves | Caitlyn
Radiant Infinity Edge,S,4.07,-0.43,18.4%,54117,1.0%,Xayah | Kai'Sa | Jhin | Samira | Graves
Radiant Last Whisper,S,4.07,-0.43,17.0%,13164,0.3%,Xayah | Corki | Jhin | Samira | Kai'Sa
Radiant Deathblade,S,4.09,-0.41,16.4%,25174,0.5%,Xayah | Jhin | Corki | Kai'Sa | Samira
Radiant Gargoyle Stoneplate,S,4.09,-0.41,16.0%,90376,1.7%,The Mighty Mech | Nunu & Willump | Rammus | Jax | Leona
Radiant Giant Slayer,S,4.09,-0.41,14.2%,64335,1.2%,Bel'Veth | Vex | Xayah | LeBlanc | Urgot
Radiant Red Buff,S,4.10,-0.40,16.2%,12371,0.2%,Xayah | Vex | Nami | Karma | Jhin
Radiant Jeweled Gauntlet,S,4.17,-0.33,13.9%,71210,1.4%,Viktor | Nami | Aurelion Sol | Vex | Veigar
Radiant Ionic Spark,S,4.19,-0.31,12.6%,10915,0.2%,Nunu & Willump | Illaoi | Blitzcrank | Rammus | Ornn
Radiant Edge of Night,S,4.19,-0.31,13.0%,22309,0.4%,Master Yi | Riven | Akali | Fiora | Zed
Radiant Hextech Gunblade,S,4.20,-0.30,13.9%,18892,0.4%,Vex | LeBlanc | Teemo | Aurelion Sol | Xayah
Radiant Void Staff,A,4.22,-0.28,12.3%,27556,0.5%,Aurelion Sol | Nami | Vex | Viktor | Karma
Radiant Morellonomicon,A,4.22,-0.28,13.0%,8855,0.2%,Karma | Nami | Bard | Aurelion Sol | Zoe
Radiant Striker's Flail,A,4.22,-0.28,14.7%,26283,0.5%,Kai'Sa | Vex | Corki | Aurelion Sol | Graves
Radiant Thief's Gloves,A,4.23,-0.27,13.5%,78823,1.5%,Blitzcrank | Fiora | Talon | Riven | Shen
Radiant Archangel's Staff,A,4.24,-0.26,12.1%,21197,0.4%,Viktor | Aurelion Sol | Vex | Nami | LeBlanc
Radiant Spear of Shojin,A,4.26,-0.24,14.2%,38755,0.7%,Nami | Karma | Samira | Zed | Kai'Sa
Radiant Hand of Justice,A,4.26,-0.24,11.9%,26612,0.5%,Akali | Riven | Fiora | Master Yi | Graves
Radiant Quicksilver,A,4.28,-0.22,11.5%,18387,0.4%,Bel'Veth | Urgot | Graves | Master Yi | Fiora
Radiant Sterak's Gage,A,4.29,-0.21,14.9%,17948,0.3%,The Mighty Mech | Fiora | Riven | Graves | Master Yi
Radiant Sunfire Cape,B,4.31,-0.19,11.9%,48942,0.9%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Evenshroud,B,4.34,-0.16,14.0%,13048,0.3%,Nunu & Willump | Rammus | Ornn | Maokai | Tahm Kench
Radiant Titan's Resolve,B,4.35,-0.15,12.8%,19887,0.4%,Riven | The Mighty Mech | Fiora | Master Yi | Bel'Veth
Radiant Blue Buff,B,4.36,-0.14,12.2%,14896,0.3%,Kai'Sa | Corki | Nami | Karma | Veigar
Radiant Protector's Vow,B,4.36,-0.14,13.7%,32517,0.6%,Nunu & Willump | Rammus | Jax | Tahm Kench | Illaoi
Radiant Crownguard,B,4.36,-0.14,11.9%,11861,0.2%,Nunu & Willump | Rammus | Jax | Ornn | Illaoi
Radiant Warmog's Armor,B,4.37,-0.13,11.9%,37409,0.7%,Nunu & Willump | Rammus | Illaoi | Ornn | The Mighty Mech
Radiant Spirit Visage,C,4.41,-0.09,11.3%,39152,0.8%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Ornn
Radiant Guinsoo's Rageblade,C,4.42,-0.08,14.1%,98720,1.9%,Vex | Xayah | LeBlanc | Kindred | Teemo
Radiant Steadfast Heart,C,4.43,-0.07,11.4%,15304,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Bloodthirster,C,4.44,-0.06,12.4%,26616,0.5%,Riven | Fiora | Master Yi | Graves | Blitzcrank
Radiant Dragon's Claw,D,4.52,+0.02,10.4%,26902,0.5%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
Radiant Adaptive Helm,D,4.54,+0.04,10.6%,15364,0.3%,Nunu & Willump | Rammus | Jax | Tahm Kench | Ornn
Radiant Bramble Vest,D,4.55,+0.05,9.3%,14573,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Tahm Kench
