Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.99,-0.51,14.9%,47620,0.7%,Twisted Fate | Nami | Veigar | Karma | Aurora
Radiant Infinity Edge,S,4.02,-0.48,19.2%,85684,1.2%,Xayah | Urgot | Kai'Sa | Jhin | Samira
Radiant Rabadon's Deathcap,S,4.04,-0.46,14.2%,46442,0.7%,Viktor | Twisted Fate | Aurelion Sol | Vex | Nami
Radiant Giant Slayer,S,4.05,-0.45,15.3%,101364,1.5%,Urgot | Bel'Veth | Vex | Xayah | Teemo
Radiant Last Whisper,S,4.06,-0.44,16.7%,18692,0.3%,Xayah | Jhin | Urgot | Corki | Samira
Radiant Deathblade,S,4.07,-0.43,16.3%,34571,0.5%,Xayah | Jhin | Urgot | Kai'Sa | Corki
Radiant Red Buff,S,4.09,-0.41,15.9%,16725,0.2%,Xayah | Vex | Nami | Jhin | Karma
Radiant Gargoyle Stoneplate,S,4.11,-0.39,15.7%,119399,1.7%,The Mighty Mech | Nunu & Willump | Leona | Jax | Rammus
Radiant Kraken's Fury,S,4.11,-0.39,15.0%,32093,0.5%,Xayah | Bel'Veth | Kindred | Caitlyn | Graves
Radiant Jeweled Gauntlet,S,4.18,-0.32,13.7%,88092,1.3%,Viktor | Nami | Aurelion Sol | Vex | Veigar
Radiant Striker's Flail,S,4.18,-0.32,15.2%,30979,0.4%,Kai'Sa | Urgot | Vex | Corki | Xayah
Radiant Edge of Night,S,4.18,-0.32,13.2%,27359,0.4%,Master Yi | Riven | Akali | Fiora | Meepsie
Radiant Quicksilver,S,4.20,-0.30,12.7%,35119,0.5%,Urgot | Bel'Veth | Graves | Master Yi | Fiora
Radiant Hextech Gunblade,S,4.20,-0.30,13.4%,23294,0.3%,Vex | Teemo | LeBlanc | Talon | Aurelion Sol
Radiant Ionic Spark,A,4.20,-0.30,11.9%,13206,0.2%,Illaoi | Nunu & Willump | Blitzcrank | Rammus | Tahm Kench
Radiant Sterak's Gage,A,4.21,-0.29,14.7%,24118,0.4%,The Mighty Mech | Briar | Fiora | Graves | Urgot
Radiant Void Staff,A,4.23,-0.27,12.5%,33644,0.5%,Nami | Aurelion Sol | Viktor | Vex | Karma
Radiant Evenshroud,A,4.24,-0.26,14.2%,22813,0.3%,Nunu & Willump | Maokai | Rammus | Ornn | Rek'Sai
Radiant Thief's Gloves,A,4.25,-0.25,13.1%,105111,1.5%,Blitzcrank | Fiora | Talon | Rhaast | Riven
Radiant Morellonomicon,A,4.26,-0.24,12.9%,12026,0.2%,Karma | Nami | Aurora | Zoe | Bard
Radiant Spear of Shojin,A,4.26,-0.24,13.8%,51321,0.7%,Nami | Karma | Zed | Samira | Aurora
Radiant Archangel's Staff,A,4.27,-0.23,11.6%,26332,0.4%,Viktor | Aurelion Sol | Vex | Aurora | Twisted Fate
Radiant Titan's Resolve,A,4.27,-0.23,12.8%,27508,0.4%,Riven | Briar | The Mighty Mech | Fiora | Bel'Veth
Radiant Hand of Justice,A,4.28,-0.22,11.7%,34847,0.5%,Akali | Urgot | Riven | Fiora | Meepsie
Radiant Sunfire Cape,A,4.28,-0.22,12.4%,63981,0.9%,Nunu & Willump | Rammus | Illaoi | Maokai | Tahm Kench
Radiant Blue Buff,B,4.33,-0.17,12.2%,19267,0.3%,Kai'Sa | Karma | Nami | Aurora | Corki
Radiant Protector's Vow,B,4.35,-0.15,14.2%,50227,0.7%,Nunu & Willump | Rammus | Maokai | Jax | Tahm Kench
Radiant Warmog's Armor,B,4.36,-0.14,11.9%,51930,0.8%,Nunu & Willump | Rammus | Illaoi | Leona | Ornn
Radiant Bloodthirster,C,4.41,-0.09,11.8%,35306,0.5%,Riven | Briar | Fiora | Graves | Master Yi
Radiant Crownguard,C,4.41,-0.09,11.1%,16562,0.2%,Nunu & Willump | Jax | Rammus | Ornn | Maokai
Radiant Spirit Visage,C,4.42,-0.08,11.4%,50358,0.7%,Nunu & Willump | Rammus | Illaoi | Tahm Kench | Maokai
Radiant Guinsoo's Rageblade,C,4.43,-0.07,14.5%,131349,1.9%,Xayah | Vex | LeBlanc | Teemo | Kindred
Radiant Steadfast Heart,C,4.46,-0.04,11.2%,18896,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Leona
Radiant Bramble Vest,C,4.50,-0.00,9.7%,19318,0.3%,Nunu & Willump | Rammus | Illaoi | Ornn | Maokai
Radiant Dragon's Claw,D,4.53,+0.03,10.3%,32156,0.5%,Nunu & Willump | Illaoi | Rammus | Ornn | Tahm Kench
Radiant Adaptive Helm,D,4.55,+0.05,11.0%,21164,0.3%,Nunu & Willump | Rammus | Leona | Illaoi | Jax
