Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Morellonomicon,S,3.89,-0.61,21.1%,90,0.0%,Zoe | Milio | Karma | Nami | Bard
Radiant Nashor's Tooth,S,3.92,-0.58,21.5%,1021,0.3%,Lulu | Twisted Fate | Veigar | Karma | Nami
Radiant Deathblade,S,4.00,-0.50,15.9%,1550,0.5%,Corki | Kai'Sa | Jhin | Ezreal | Kindred
Radiant Titan's Resolve,S,4.02,-0.48,12.5%,737,0.2%,Briar | Master Yi | Riven | Fiora | Diana
Radiant Rabadon's Deathcap,S,4.05,-0.45,16.2%,796,0.2%,Teemo | Twisted Fate | Lulu | Vex | Aurelion Sol
Radiant Hextech Gunblade,S,4.10,-0.40,14.6%,294,0.1%,Teemo | Vex | LeBlanc | Talon | Twisted Fate
Radiant Sterak's Gage,S,4.12,-0.38,13.9%,663,0.2%,Briar | Master Yi | Riven | Fiora | The Mighty Mech
Radiant Hand of Justice,S,4.14,-0.36,13.1%,390,0.1%,Master Yi | Riven | Briar | Fiora | Gragas
Radiant Red Buff,S,4.15,-0.35,16.7%,168,0.1%,Xayah | Kindred | Corki | Kai'Sa | Vex
Radiant Ionic Spark,S,4.15,-0.35,6.5%,46,0.0%,Leona | Nunu & Willump | Illaoi | Maokai | Blitzcrank
Radiant Adaptive Helm,A,4.21,-0.29,18.0%,111,0.0%,Lulu | Leona | Cho'Gath | Jax | Karma
Radiant Warmog's Armor,A,4.21,-0.29,15.8%,753,0.2%,Leona | Rammus | Jax | Cho'Gath | The Mighty Mech
Radiant Infinity Edge,A,4.23,-0.27,18.5%,1236,0.4%,Kai'Sa | Corki | Jhin | Urgot | Ezreal
Radiant Blue Buff,A,4.23,-0.27,14.6%,487,0.2%,Kai'Sa | Corki | Lulu | Karma | Ezreal
Radiant Striker's Flail,A,4.25,-0.25,15.6%,915,0.3%,Corki | Kai'Sa | Jhin | Ezreal | Kindred
Radiant Giant Slayer,A,4.28,-0.22,14.8%,3208,1.0%,Master Yi | Corki | Urgot | Kai'Sa | Bel'Veth
Radiant Crownguard,A,4.29,-0.21,10.5%,105,0.0%,Jax | Rammus | Leona | Cho'Gath | Tahm Kench
Radiant Thief's Gloves,A,4.29,-0.21,13.0%,2345,0.7%,Fiora | Riven | Blitzcrank | Talon | Urgot
Radiant Kraken's Fury,B,4.30,-0.20,16.9%,332,0.1%,Xayah | Kindred | Bel'Veth | Caitlyn | Graves
Radiant Gargoyle Stoneplate,B,4.30,-0.20,18.0%,2657,0.8%,The Mighty Mech | Leona | Jax | Rammus | Cho'Gath
Radiant Bloodthirster,B,4.30,-0.20,12.0%,382,0.1%,Briar | Riven | Fiora | Master Yi | Diana
Radiant Protector's Vow,B,4.31,-0.19,13.6%,295,0.1%,Nunu & Willump | Jax | Rammus | Leona | Cho'Gath
Radiant Sunfire Cape,B,4.32,-0.18,10.6%,170,0.1%,Tahm Kench | Rammus | Jax | Nunu & Willump | Leona
Radiant Edge of Night,B,4.37,-0.13,11.7%,802,0.3%,Master Yi | Zed | Fiora | Riven | Pyke
Radiant Spear of Shojin,B,4.37,-0.13,21.0%,338,0.1%,Zed | Kai'Sa | Ezreal | Corki | Lulu
Radiant Spirit Visage,B,4.39,-0.11,15.8%,379,0.1%,Leona | Cho'Gath | Jax | Rammus | The Mighty Mech
Radiant Steadfast Heart,C,4.41,-0.09,13.5%,111,0.0%,Leona | Rammus | Jax | Tahm Kench | The Mighty Mech
Radiant Void Staff,C,4.42,-0.08,11.4%,228,0.1%,Karma | Vex | Zoe | LeBlanc | Aurelion Sol
Radiant Bramble Vest,C,4.42,-0.08,12.2%,296,0.1%,Rammus | Leona | Jax | Tahm Kench | Nunu & Willump
Radiant Jeweled Gauntlet,C,4.42,-0.08,14.5%,753,0.2%,Lulu | Karma | Aurelion Sol | Vex | LeBlanc
Radiant Archangel's Staff,C,4.44,-0.06,14.9%,141,0.0%,Teemo | Aurelion Sol | Vex | LeBlanc | Lulu
Radiant Last Whisper,C,4.46,-0.04,9.9%,293,0.1%,Corki | Kindred | Kai'Sa | Urgot | Jhin
Radiant Evenshroud,C,4.47,-0.03,17.5%,103,0.0%,Tahm Kench | Rammus | Rek'Sai | Cho'Gath | Maokai
Radiant Dragon's Claw,D,4.56,+0.06,11.8%,85,0.0%,Cho'Gath | Leona | Rammus | Jax | The Mighty Mech
Radiant Quicksilver,D,4.80,+0.30,7.9%,522,0.2%,Master Yi | Urgot | Bel'Veth | Riven | Fiora
Radiant Guinsoo's Rageblade,D,4.90,+0.40,11.6%,786,0.2%,Vex | Xayah | Teemo | LeBlanc | Kindred
