Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Nashor's Tooth,S,3.90,-0.60,22.2%,1289,0.3%,Lulu | Twisted Fate | Veigar | Karma | Nami
Radiant Morellonomicon,S,3.94,-0.56,16.1%,93,0.0%,Zoe | Milio | Karma | Lissandra | Lulu
Radiant Steadfast Heart,S,3.99,-0.51,25.0%,112,0.0%,Leona | Rammus | Jax | Tahm Kench | Nunu & Willump
Radiant Ionic Spark,S,4.02,-0.48,21.6%,51,0.0%,Leona | Blitzcrank | Nunu & Willump | Maokai | Jax
Radiant Titan's Resolve,S,4.02,-0.48,15.8%,1042,0.3%,Briar | Master Yi | Riven | Diana | Fiora
Radiant Hextech Gunblade,S,4.05,-0.45,18.3%,328,0.1%,Teemo | Vex | LeBlanc | Twisted Fate | Lulu
Radiant Rabadon's Deathcap,S,4.08,-0.42,16.3%,984,0.2%,Twisted Fate | Teemo | Vex | Lulu | Aurelion Sol
Radiant Dragon's Claw,S,4.08,-0.42,16.7%,120,0.0%,Leona | Cho'Gath | Jax | Rammus | Tahm Kench
Radiant Deathblade,S,4.10,-0.40,16.4%,2344,0.6%,Corki | Kai'Sa | Jhin | Ezreal | Kindred
Radiant Sterak's Gage,S,4.13,-0.37,14.1%,817,0.2%,Briar | Master Yi | Fiora | Riven | The Mighty Mech
Radiant Spirit Visage,S,4.16,-0.34,14.8%,474,0.1%,Leona | Jax | Rammus | Cho'Gath | Tahm Kench
Radiant Thief's Gloves,S,4.18,-0.32,14.2%,3146,0.8%,Riven | Fiora | Blitzcrank | Talon | Urgot
Radiant Gargoyle Stoneplate,S,4.19,-0.31,19.8%,3435,0.9%,The Mighty Mech | Leona | Jax | Rammus | Tahm Kench
Radiant Infinity Edge,S,4.20,-0.30,15.9%,1307,0.3%,Kai'Sa | Corki | Jhin | Graves | Ezreal
Radiant Evenshroud,A,4.22,-0.28,11.0%,146,0.0%,Tahm Kench | Rammus | Rek'Sai | Maokai | Nunu & Willump
Radiant Crownguard,A,4.22,-0.28,17.0%,153,0.0%,Jax | Rammus | Cho'Gath | Nunu & Willump | Leona
Radiant Giant Slayer,A,4.26,-0.24,15.1%,4191,1.1%,Master Yi | Corki | Kai'Sa | Bel'Veth | Urgot
Radiant Warmog's Armor,B,4.32,-0.18,14.7%,935,0.2%,Leona | Rammus | Jax | Tahm Kench | Cho'Gath
Radiant Striker's Flail,B,4.32,-0.18,13.6%,1165,0.3%,Corki | Kai'Sa | Jhin | Graves | Ezreal
Radiant Blue Buff,B,4.34,-0.16,13.5%,601,0.2%,Kai'Sa | Corki | Lulu | Karma | Ezreal
Radiant Protector's Vow,B,4.34,-0.16,15.0%,427,0.1%,Nunu & Willump | Jax | Rammus | Leona | Tahm Kench
Radiant Jeweled Gauntlet,B,4.35,-0.15,14.6%,881,0.2%,Lulu | Karma | Vex | Aurelion Sol | LeBlanc
Radiant Bramble Vest,B,4.36,-0.14,14.6%,471,0.1%,Rammus | Leona | Jax | Tahm Kench | The Mighty Mech
Radiant Bloodthirster,B,4.37,-0.13,10.2%,538,0.1%,Briar | Riven | Fiora | Master Yi | Diana
Radiant Red Buff,B,4.38,-0.12,19.7%,229,0.1%,Xayah | Kindred | Vex | Corki | Jhin
Radiant Kraken's Fury,B,4.39,-0.11,14.9%,316,0.1%,Kindred | Xayah | Bel'Veth | Master Yi | Graves
Radiant Edge of Night,C,4.43,-0.07,14.6%,1107,0.3%,Master Yi | Zed | Fiora | Riven | Pyke
Radiant Hand of Justice,C,4.45,-0.05,10.2%,412,0.1%,Master Yi | Riven | Briar | Fiora | Gragas
Radiant Spear of Shojin,D,4.55,+0.05,17.8%,399,0.1%,Zed | Kai'Sa | Corki | Lulu | Ezreal
Radiant Void Staff,D,4.55,+0.05,8.8%,249,0.1%,Vex | Karma | Zoe | Lulu | Teemo
Radiant Last Whisper,D,4.57,+0.07,8.6%,383,0.1%,Corki | Kindred | Kai'Sa | Xayah | Jhin
Radiant Sunfire Cape,D,4.65,+0.15,11.8%,212,0.1%,Tahm Kench | Rammus | Nunu & Willump | Jax | Leona
Radiant Archangel's Staff,D,4.80,+0.30,11.1%,153,0.0%,Teemo | Aurelion Sol | LeBlanc | Lulu | Vex
Radiant Guinsoo's Rageblade,D,4.82,+0.32,13.4%,890,0.2%,Vex | Teemo | Kindred | Xayah | LeBlanc
Radiant Quicksilver,D,4.92,+0.42,7.9%,618,0.2%,Master Yi | Bel'Veth | Urgot | Fiora | Riven
Radiant Adaptive Helm,D,5.01,+0.51,9.4%,180,0.0%,Lulu | Jax | Rammus | Leona | Nunu & Willump
