Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Radiant Ionic Spark,S,3.87,-0.63,20.9%,86,0.0%,Illaoi | Blitzcrank | Nunu & Willump | The Mighty Mech | Maokai
Radiant Nashor's Tooth,S,4.00,-0.50,20.7%,1828,0.3%,Lulu | Lissandra | Nami | Karma | Aurelion Sol
Radiant Red Buff,S,4.13,-0.37,21.0%,870,0.1%,Xayah | Vex | Kindred | Corki | Jhin
Radiant Rabadon's Deathcap,S,4.19,-0.31,16.3%,2515,0.4%,Aurelion Sol | Vex | Bard | Karma | LeBlanc
Radiant Thief's Gloves,A,4.25,-0.25,14.4%,4991,0.8%,Blitzcrank | Riven | Fiora | Shen | The Mighty Mech
Radiant Titan's Resolve,A,4.26,-0.24,16.7%,665,0.1%,Diana | Master Yi | Riven | Fiora | Jax
Radiant Deathblade,A,4.30,-0.20,11.7%,6161,1.0%,Corki | Graves | Jhin | Xayah | Miss Fortune
Radiant Striker's Flail,A,4.30,-0.20,10.6%,1654,0.3%,Corki | Graves | Aurelion Sol | Jhin | Vex
Radiant Bloodthirster,B,4.32,-0.18,14.0%,437,0.1%,Diana | Riven | Fiora | Master Yi | Jax
Radiant Void Staff,B,4.32,-0.18,17.3%,427,0.1%,Aurelion Sol | Vex | Karma | Bard | Nami
Radiant Jeweled Gauntlet,B,4.32,-0.18,14.7%,2317,0.4%,Aurelion Sol | Vex | Lulu | Bard | Karma
Radiant Blue Buff,B,4.33,-0.17,11.5%,636,0.1%,Corki | Karma | Lulu | Kai'Sa | Aurelion Sol
Radiant Dragon's Claw,B,4.34,-0.16,14.7%,190,0.0%,Nunu & Willump | Rammus | Tahm Kench | Cho'Gath | Ornn
Radiant Giant Slayer,B,4.35,-0.15,13.0%,4234,0.7%,Master Yi | Corki | Vex | Graves | Xayah
Radiant Edge of Night,B,4.36,-0.14,13.6%,1011,0.2%,Master Yi | Zed | Fiora | Riven | Diana
Radiant Evenshroud,B,4.37,-0.13,8.4%,95,0.0%,Tahm Kench | Rammus | Nunu & Willump | The Mighty Mech | Maokai
Radiant Sterak's Gage,B,4.38,-0.12,13.9%,481,0.1%,Fiora | Riven | Graves | Master Yi | Briar
Radiant Hextech Gunblade,B,4.38,-0.12,15.0%,386,0.1%,Vex | Aurelion Sol | LeBlanc | Bard | Karma
Radiant Gargoyle Stoneplate,B,4.39,-0.11,14.8%,2320,0.4%,The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench | Jax
Radiant Morellonomicon,C,4.40,-0.10,17.0%,182,0.0%,Karma | Milio | Sona | Bard | Zoe
Radiant Kraken's Fury,C,4.40,-0.10,17.7%,1358,0.2%,Xayah | Kindred | Jinx | Graves | Miss Fortune
Radiant Archangel's Staff,C,4.41,-0.09,11.1%,190,0.0%,Aurelion Sol | Vex | LeBlanc | Bard | Lulu
Radiant Hand of Justice,C,4.41,-0.09,12.7%,440,0.1%,Riven | Master Yi | Fiora | Gragas | Pyke
Radiant Last Whisper,C,4.42,-0.08,10.2%,450,0.1%,Corki | Kindred | Jhin | Xayah | Graves
Radiant Spirit Visage,C,4.43,-0.07,16.3%,529,0.1%,Cho'Gath | Rammus | Nunu & Willump | Tahm Kench | Ornn
Radiant Infinity Edge,C,4.44,-0.06,15.1%,1133,0.2%,Corki | Jhin | Graves | Xayah | Miss Fortune
Radiant Warmog's Armor,C,4.47,-0.03,11.0%,1036,0.2%,Rammus | Cho'Gath | Nunu & Willump | Tahm Kench | Illaoi
Radiant Sunfire Cape,D,4.55,+0.05,9.3%,205,0.0%,Rammus | Tahm Kench | Nunu & Willump | Ornn | The Mighty Mech
Radiant Protector's Vow,D,4.56,+0.06,13.2%,614,0.1%,Nunu & Willump | Rammus | Cho'Gath | Tahm Kench | The Mighty Mech
Radiant Steadfast Heart,D,4.64,+0.14,13.9%,165,0.0%,Rammus | Nunu & Willump | Tahm Kench | Ornn | Cho'Gath
Radiant Quicksilver,D,4.66,+0.16,13.4%,419,0.1%,Master Yi | Graves | Urgot | Riven | Fiora
Radiant Spear of Shojin,D,4.71,+0.21,15.6%,494,0.1%,Zed | Graves | Corki | Lulu | Karma
Radiant Bramble Vest,D,4.71,+0.21,9.4%,342,0.1%,Rammus | Nunu & Willump | Tahm Kench | The Mighty Mech | Ornn
Radiant Adaptive Helm,D,4.83,+0.33,10.0%,269,0.0%,Nunu & Willump | Cho'Gath | Rammus | Jax | Zed
Radiant Crownguard,D,4.89,+0.39,8.5%,176,0.0%,Rammus | Nunu & Willump | Jax | Tahm Kench | Ornn
Radiant Guinsoo's Rageblade,D,5.06,+0.56,12.9%,1603,0.3%,Vex | Xayah | LeBlanc | Diana | Graves
