Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.71,-2.79,75.0%,56,0.0%,Illaoi | Fiora | The Mighty Mech | Blitzcrank | Nunu & Willump
Radiant Field,S,3.81,-0.69,30.2%,1521,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Tahm Kench
Drone Uplink,C,4.12,-0.05,12.8%,8572,5.8%,Viktor | Sona | Master Yi | Karma | Aurelion Sol
Sympathetic Implant,C,4.38,-0.02,12.2%,5087,3.4%,Viktor | Sona | Karma | Aurelion Sol | Master Yi
Iceblast Armor,C,3.60,-0.01,35.5%,1559,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Tahm Kench
Target-Lock Optics,C,4.29,-0.01,13.1%,3078,2.1%,Pyke | Master Yi | Viktor | Miss Fortune | Sona
Malware Matrix,C,4.34,-0.01,12.5%,3101,2.1%,Pyke | Master Yi | Viktor | Miss Fortune | Rhaast
Lioness's Lament,C,3.75,-0.01,32.6%,1414,0.9%,Illaoi | Fiora | The Mighty Mech | Nunu & Willump | Blitzcrank
Biomatter Preserver,C,4.50,-0.01,11.3%,3383,2.3%,Illaoi | Gragas | Rhaast | Tahm Kench | Maokai
Broken Prototype,C,4.32,-0.01,18.4%,1928,1.3%,Illaoi | The Mighty Mech | Meepsie | Nunu & Willump | Blitzcrank
Sparking Prototype,C,4.30,-0.01,18.7%,1654,1.1%,Jinx | Fiora | LeBlanc | Aurora | Kindred
Searing Shortbow,C,4.14,-0.01,27.0%,1306,0.9%,Aurora | Jinx | Vex | Aurelion Sol | Fiora
Battle Bunny Crossbow,C,4.18,-0.01,28.5%,1306,0.9%,Jinx | Fiora | Graves | Jhin | Kindred
Cyclonic Slicers,C,3.98,-0.01,30.1%,1045,0.7%,Fiora | Diana | Illaoi | Aurora | Blitzcrank
Leaky Prototype,C,4.32,-0.01,18.3%,1501,1.0%,Aurora | LeBlanc | Sona | Karma | Jinx
Tentacle Slam,C,4.53,-0.01,19.3%,1673,1.1%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Fiora
The Annihilator,C,4.45,-0.00,22.2%,1124,0.8%,Aurora | Fiora | Jinx | LeBlanc | Aurelion Sol
Guiding Hex,C,4.68,-0.00,15.5%,1654,1.1%,Aurora | LeBlanc | Jinx | Sona | Karma
Echoing Batblades,C,4.49,-0.00,23.7%,790,0.5%,Jinx | Fiora | Graves | Jhin | Kindred
Evolved Embershot,C,1.86,-0.00,66.7%,90,0.1%,Aurora | Fiora | Vex | Sona | Jhin
Savage Slicer,C,4.77,-0.00,18.2%,876,0.6%,Briar | Fiora | Diana | Jinx | Graves
Deep Freeze,C,2.36,-0.00,66.7%,66,0.0%,Illaoi | Fiora | The Mighty Mech | Nunu & Willump | Blitzcrank
Leonine Lamentation,C,1.65,-0.00,83.3%,48,0.0%,Illaoi | Fiora | The Mighty Mech | Nunu & Willump | Blitzcrank
OwO Blaster,C,3.10,-0.00,47.1%,68,0.0%,Jinx | Fiora | Graves | Jhin | Kindred
Bunny Prime Ballista,C,2.77,-0.00,52.8%,53,0.0%,Fiora | Jinx | Graves | Jhin | Aurora
Unceasing Cyclone,C,3.15,-0.00,55.8%,52,0.0%,Fiora | Diana | Illaoi | Blitzcrank | Aurora
Animapocalypse,C,2.96,-0.00,60.9%,46,0.0%,Fiora | Aurora | Vex | Jinx | Morgana
Vayne's Chromablades,C,3.15,-0.00,60.0%,40,0.0%,Fiora | Jinx | Graves | Jhin | Kindred
Omniweapon,C,1.00,-0.00,100.0%,9,0.0%,Fiora | Aurora | Graves | Sona | Blitzcrank
Rocket Swarm,C,4.96,-0.00,13.2%,770,0.5%,Jinx | Aurora | Kindred | Fiora | Graves
UwU Blaster,C,5.00,-0.00,18.7%,804,0.5%,Jinx | Fiora | Graves | Jhin | Kindred
Sympathetic Implant,D,4.62,+0.12,7.7%,840,0.6%,Viktor | Sona | Pyke | Master Yi | Gragas
Malware Matrix,D,4.64,+0.14,7.3%,682,0.5%,Master Yi | Pyke | Sona | Viktor | Gragas
Biomatter Preserver,D,4.68,+0.18,7.2%,388,0.3%,Gragas | Master Yi | Pyke | Sona | Rhaast
Drone Uplink,D,4.69,+0.19,7.3%,1046,0.7%,Viktor | Sona | Master Yi | Pyke | Gragas
Target-Lock Optics,D,4.72,+0.22,5.7%,667,0.4%,Master Yi | Pyke | Sona | Viktor | Gragas
