Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.75,-2.75,73.2%,228,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
Radiant Field,S,3.84,-0.66,30.3%,5283,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Drone Uplink,C,4.10,-0.05,13.2%,29977,5.6%,Viktor | Sona | Aurelion Sol | Karma | Nami
Sympathetic Implant,C,4.34,-0.02,11.9%,18311,3.4%,Viktor | Sona | Nami | Karma | Aurelion Sol
Target-Lock Optics,C,4.26,-0.01,12.4%,10525,2.0%,Pyke | Master Yi | Fiora | Graves | Urgot
Malware Matrix,C,4.36,-0.01,12.3%,10256,1.9%,Master Yi | Pyke | Fiora | Graves | Urgot
Biomatter Preserver,C,4.44,-0.01,11.3%,11580,2.2%,Illaoi | Tahm Kench | Rhaast | The Mighty Mech | Maokai
Iceblast Armor,C,3.84,-0.01,32.9%,5328,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.83,-0.01,31.1%,5047,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.19,-0.01,20.6%,5715,1.1%,Illaoi | Meepsie | Tahm Kench | Nunu & Willump | The Mighty Mech
Searing Shortbow,C,4.03,-0.01,28.4%,4591,0.9%,Aurora | Aurelion Sol | Vex | Karma | LeBlanc
Battle Bunny Crossbow,C,4.10,-0.01,29.0%,4672,0.9%,Jinx | Graves | Fiora | Xayah | Urgot
Sparking Prototype,C,4.22,-0.01,20.8%,4857,0.9%,LeBlanc | Jinx | Fiora | Karma | Graves
Leaky Prototype,C,4.21,-0.01,20.3%,4407,0.8%,LeBlanc | Karma | Aurora | Sona | Morgana
Cyclonic Slicers,C,4.08,-0.01,29.6%,3497,0.7%,Fiora | Diana | Illaoi | Blitzcrank | The Mighty Mech
The Annihilator,C,4.46,-0.00,23.6%,3776,0.7%,Aurora | Aurelion Sol | Fiora | Vex | Viktor
Tentacle Slam,C,4.63,-0.00,17.6%,5314,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Echoing Batblades,C,4.37,-0.00,26.5%,2938,0.6%,Fiora | Jinx | Graves | Urgot | Master Yi
Evolved Embershot,C,1.66,-0.00,78.1%,424,0.1%,Aurora | Aurelion Sol | Vex | Sona | Fiora
Guiding Hex,C,4.72,-0.00,16.3%,5099,1.0%,Aurora | Karma | Aurelion Sol | Bard | Vex
UwU Blaster,C,4.72,-0.00,22.0%,2845,0.5%,Jinx | Fiora | Graves | Urgot | Kindred
Leonine Lamentation,C,1.82,-0.00,73.1%,223,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
OwO Blaster,C,2.89,-0.00,53.8%,292,0.1%,Jinx | Fiora | Graves | Kindred | Vex
Deep Freeze,C,2.54,-0.00,62.8%,218,0.0%,Illaoi | The Mighty Mech | Fiora | Nunu & Willump | Rammus
Animapocalypse,C,2.76,-0.00,55.3%,235,0.0%,Aurora | Fiora | Aurelion Sol | Vex | Graves
Unceasing Cyclone,C,2.60,-0.00,61.2%,214,0.0%,Fiora | Diana | Illaoi | The Mighty Mech | Blitzcrank
Bunny Prime Ballista,C,2.65,-0.00,58.9%,197,0.0%,Fiora | Graves | Jinx | Aurora | Kindred
Vayne's Chromablades,C,2.73,-0.00,57.0%,200,0.0%,Fiora | Graves | Jinx | Master Yi | Kindred
Rocket Swarm,C,4.82,-0.00,15.9%,2492,0.5%,Jinx | Graves | Fiora | Urgot | Karma
Savage Slicer,C,4.88,-0.00,16.0%,2957,0.6%,Fiora | Urgot | Master Yi | Graves | Briar
Omniweapon,C,1.00,-0.00,100.0%,23,0.0%,Fiora | Illaoi | Aurora | Jinx | Bard
Sympathetic Implant,D,4.65,+0.15,7.8%,3314,0.6%,Viktor | Sona | Pyke | Master Yi | Aurelion Sol
Target-Lock Optics,D,4.66,+0.16,7.1%,2788,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Malware Matrix,D,4.73,+0.23,6.9%,2538,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.80,+0.30,6.6%,3914,0.7%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.86,+0.36,5.8%,1475,0.3%,Gragas | Illaoi | Master Yi | Rhaast | Tahm Kench
