Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.68,-2.82,76.1%,683,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Radiant Field,S,3.87,-0.63,29.8%,14612,1.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Drone Uplink,C,4.09,-0.05,13.2%,83618,5.6%,Viktor | Sona | Aurelion Sol | Karma | Nami
Sympathetic Implant,C,4.34,-0.02,12.0%,49446,3.3%,Viktor | Sona | Nami | Karma | Aurelion Sol
Target-Lock Optics,C,4.26,-0.01,12.6%,28892,1.9%,Pyke | Master Yi | Fiora | Graves | Urgot
Biomatter Preserver,C,4.40,-0.01,11.7%,31383,2.1%,Illaoi | Tahm Kench | Rhaast | The Mighty Mech | Maokai
Malware Matrix,C,4.36,-0.01,12.5%,28077,1.9%,Pyke | Master Yi | Fiora | Graves | Urgot
Iceblast Armor,C,3.85,-0.01,33.1%,14972,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.86,-0.01,31.3%,14283,1.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Battle Bunny Crossbow,C,4.03,-0.01,30.6%,14299,1.0%,Jinx | Graves | Fiora | Xayah | Urgot
Broken Prototype,C,4.21,-0.01,20.3%,15486,1.0%,Illaoi | Meepsie | Tahm Kench | Nunu & Willump | The Mighty Mech
Searing Shortbow,C,4.10,-0.01,27.4%,12956,0.9%,Aurora | Aurelion Sol | Vex | Karma | Nami
Sparking Prototype,C,4.22,-0.01,20.5%,13590,0.9%,LeBlanc | Jinx | Fiora | Karma | Graves
Leaky Prototype,C,4.18,-0.01,20.3%,12012,0.8%,LeBlanc | Karma | Aurora | Sona | Morgana
Cyclonic Slicers,C,4.07,-0.01,29.9%,9892,0.7%,Fiora | Diana | Illaoi | The Mighty Mech | Blitzcrank
Echoing Batblades,C,4.33,-0.00,27.4%,8790,0.6%,Fiora | Jinx | Graves | Xayah | Urgot
The Annihilator,C,4.49,-0.00,23.3%,10752,0.7%,Aurora | Aurelion Sol | Fiora | Vex | Viktor
Tentacle Slam,C,4.64,-0.00,17.6%,14701,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Evolved Embershot,C,1.59,-0.00,78.4%,1202,0.1%,Aurora | Aurelion Sol | Vex | Sona | Fiora
Guiding Hex,C,4.72,-0.00,16.6%,14259,1.0%,Aurora | Aurelion Sol | Karma | Bard | Vex
UwU Blaster,C,4.72,-0.00,22.5%,8308,0.6%,Jinx | Fiora | Graves | Xayah | Urgot
Leonine Lamentation,C,1.85,-0.00,74.3%,634,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
OwO Blaster,C,2.67,-0.00,55.5%,851,0.1%,Jinx | Fiora | Graves | Kindred | Aurora
Deep Freeze,C,2.37,-0.00,67.2%,661,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Fiora | Rammus
Animapocalypse,C,2.52,-0.00,61.7%,632,0.0%,Aurora | Fiora | Aurelion Sol | Vex | Graves
Bunny Prime Ballista,C,2.48,-0.00,62.7%,595,0.0%,Fiora | Graves | Jinx | Xayah | Aurora
Unceasing Cyclone,C,2.55,-0.00,61.4%,604,0.0%,Fiora | Diana | The Mighty Mech | Illaoi | Blitzcrank
Rocket Swarm,C,4.80,-0.00,16.3%,7039,0.5%,Jinx | Graves | Fiora | Urgot | Karma
Vayne's Chromablades,C,2.86,-0.00,56.5%,542,0.0%,Fiora | Graves | Jinx | Master Yi | Kindred
Savage Slicer,C,4.87,-0.00,16.3%,8105,0.5%,Fiora | Master Yi | Urgot | Graves | Briar
Omniweapon,C,1.05,-0.00,97.6%,84,0.0%,Fiora | Graves | Aurelion Sol | Aurora | Illaoi
Sympathetic Implant,D,4.63,+0.13,7.9%,9492,0.6%,Viktor | Sona | Pyke | Master Yi | Aurelion Sol
Target-Lock Optics,D,4.65,+0.15,7.6%,7997,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Malware Matrix,D,4.67,+0.17,7.2%,7385,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.77,+0.27,6.8%,11408,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.87,+0.37,5.7%,4232,0.3%,Gragas | Illaoi | Master Yi | Rhaast | Tahm Kench
