Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.73,-2.77,76.8%,2431,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Fiora
Radiant Field,A,4.29,-0.21,27.0%,65130,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Drone Uplink,C,4.00,-0.05,13.6%,308180,4.9%,Viktor | Sona | Karma | Nami | Bard
Battle Bunny Crossbow,C,3.02,-0.05,49.4%,148958,2.3%,Xayah | Graves | Jinx | Urgot | Fiora
Sympathetic Implant,C,4.25,-0.02,12.2%,174670,2.8%,Viktor | Sona | Nami | Karma | Bard
Target-Lock Optics,C,4.20,-0.01,12.7%,102563,1.6%,Pyke | Master Yi | Fiora | Urgot | Sona
Biomatter Preserver,C,4.35,-0.01,11.8%,110617,1.7%,Illaoi | Tahm Kench | Rhaast | Nunu & Willump | Gragas
Malware Matrix,C,4.30,-0.01,12.2%,98125,1.5%,Pyke | Master Yi | Fiora | Graves | Sona
Iceblast Armor,C,4.26,-0.01,29.4%,65773,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Lioness's Lament,C,4.25,-0.01,28.1%,60270,0.9%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Echoing Batblades,C,4.38,-0.01,26.3%,61023,1.0%,Xayah | Fiora | Graves | Urgot | Kindred
Broken Prototype,C,4.46,-0.00,19.4%,52024,0.8%,Nunu & Willump | Illaoi | Tahm Kench | Rammus | Rhaast
Sparking Prototype,C,4.51,-0.00,18.7%,45578,0.7%,Jhin | Jinx | Fiora | LeBlanc | Aurora
Leaky Prototype,C,4.47,-0.00,18.9%,36895,0.6%,Karma | Aurora | Bard | Sona | Blitzcrank
Cyclonic Slicers,C,4.56,-0.00,26.3%,44226,0.7%,Fiora | The Mighty Mech | Nunu & Willump | Rammus | Blitzcrank
Searing Shortbow,C,4.74,-0.00,22.1%,53260,0.8%,Aurelion Sol | Aurora | Xayah | Vex | Bard
Evolved Embershot,C,1.77,-0.00,77.1%,3695,0.1%,Aurora | Aurelion Sol | Vex | Xayah | Sona
Tentacle Slam,C,4.81,-0.00,18.6%,60027,0.9%,Illaoi | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
OwO Blaster,C,2.53,-0.00,59.1%,3276,0.1%,Xayah | Jinx | Graves | Fiora | Jhin
Bunny Prime Ballista,C,2.03,-0.00,73.1%,2420,0.0%,Xayah | Graves | Fiora | Jinx | Aurora
Leonine Lamentation,C,1.88,-0.00,75.0%,2115,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Fiora
Deep Freeze,C,2.46,-0.00,66.0%,2219,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
UwU Blaster,C,4.90,-0.00,20.0%,53773,0.8%,Xayah | Graves | Urgot | Fiora | Jhin
Guiding Hex,C,4.90,-0.00,17.0%,52481,0.8%,Aurora | Bard | Karma | Aurelion Sol | Nami
Animapocalypse,C,2.71,-0.00,59.4%,1920,0.0%,Aurelion Sol | Aurora | Xayah | Fiora | Vex
Vayne's Chromablades,C,2.81,-0.00,57.9%,1977,0.0%,Xayah | Fiora | Graves | Jhin | Urgot
Unceasing Cyclone,C,2.76,-0.00,60.8%,1924,0.0%,Fiora | The Mighty Mech | Rammus | Blitzcrank | Nunu & Willump
Omniweapon,C,1.00,-0.00,99.6%,275,0.0%,Fiora | Sona | Graves | Blitzcrank | Jhin
The Annihilator,D,5.02,+0.00,18.6%,44937,0.7%,Aurelion Sol | Xayah | Aurora | Jhin | Vex
Savage Slicer,D,5.04,+0.00,16.1%,36615,0.6%,Fiora | Urgot | Jhin | Master Yi | Graves
Rocket Swarm,D,5.14,+0.00,15.4%,33625,0.5%,Xayah | Jhin | Jinx | Graves | Urgot
Target-Lock Optics,D,4.59,+0.09,7.4%,35873,0.6%,Pyke | Master Yi | Sona | Fiora | Graves
Sympathetic Implant,D,4.60,+0.10,7.9%,40677,0.6%,Viktor | Sona | Pyke | Master Yi | Karma
Malware Matrix,D,4.67,+0.17,6.8%,31863,0.5%,Master Yi | Pyke | Fiora | Sona | Graves
Drone Uplink,D,4.74,+0.24,6.3%,50084,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.87,+0.37,5.5%,19412,0.3%,Gragas | Illaoi | Rhaast | Tahm Kench | Master Yi
