Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.65,-2.85,77.9%,2570,0.0%,Nunu & Willump | The Mighty Mech | Illaoi | Rammus | Fiora
Radiant Field,B,4.33,-0.17,26.8%,69039,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Battle Bunny Crossbow,C,2.97,-0.05,50.2%,168253,2.4%,Xayah | Graves | Jinx | Urgot | Fiora
Drone Uplink,C,3.99,-0.05,13.6%,328872,4.8%,Viktor | Sona | Karma | Nami | Bard
Sympathetic Implant,C,4.25,-0.02,12.1%,185428,2.7%,Viktor | Sona | Nami | Karma | Bard
Target-Lock Optics,C,4.21,-0.01,12.5%,109793,1.6%,Pyke | Master Yi | Fiora | Kindred | Urgot
Biomatter Preserver,C,4.36,-0.01,11.6%,117519,1.7%,Illaoi | Tahm Kench | Rhaast | Nunu & Willump | Gragas
Malware Matrix,C,4.30,-0.01,12.1%,104975,1.5%,Pyke | Master Yi | Fiora | Kindred | Graves
Iceblast Armor,C,4.29,-0.01,29.2%,70263,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Lioness's Lament,C,4.29,-0.01,27.9%,64181,0.9%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Echoing Batblades,C,4.39,-0.01,26.3%,67831,1.0%,Xayah | Graves | Fiora | Urgot | Jhin
Broken Prototype,C,4.46,-0.00,19.7%,54643,0.8%,Nunu & Willump | Illaoi | Tahm Kench | Rammus | Rhaast
Sparking Prototype,C,4.52,-0.00,18.7%,47550,0.7%,Jhin | Jinx | Fiora | Xayah | LeBlanc
Leaky Prototype,C,4.49,-0.00,18.9%,38348,0.6%,Aurora | Karma | Bard | Sona | Blitzcrank
Cyclonic Slicers,C,4.60,-0.00,25.9%,47273,0.7%,Fiora | The Mighty Mech | Nunu & Willump | Rammus | Blitzcrank
Evolved Embershot,C,1.82,-0.00,76.2%,3838,0.1%,Aurora | Aurelion Sol | Vex | Xayah | Bard
Tentacle Slam,C,4.82,-0.00,18.7%,63728,0.9%,Illaoi | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Searing Shortbow,C,4.79,-0.00,21.7%,55942,0.8%,Aurelion Sol | Aurora | Xayah | Vex | Bard
OwO Blaster,C,2.50,-0.00,59.7%,3443,0.1%,Xayah | Jinx | Fiora | Graves | Jhin
Bunny Prime Ballista,C,1.95,-0.00,75.5%,2659,0.0%,Xayah | Graves | Fiora | Jinx | Vex
Leonine Lamentation,C,1.89,-0.00,75.5%,2221,0.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Fiora
Guiding Hex,C,4.88,-0.00,17.4%,55148,0.8%,Aurora | Bard | Karma | Aurelion Sol | Vex
Deep Freeze,C,2.53,-0.00,64.6%,2338,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Fiora
UwU Blaster,C,4.91,-0.00,20.1%,58778,0.9%,Xayah | Urgot | Graves | Fiora | Jhin
Animapocalypse,C,2.76,-0.00,58.4%,2055,0.0%,Aurelion Sol | Aurora | Xayah | Fiora | Vex
Vayne's Chromablades,C,2.85,-0.00,56.8%,2135,0.0%,Xayah | Fiora | Graves | Jhin | Jinx
Unceasing Cyclone,C,2.82,-0.00,59.2%,2061,0.0%,Fiora | The Mighty Mech | Rammus | Blitzcrank | Nunu & Willump
Omniweapon,C,1.01,-0.00,99.3%,306,0.0%,Fiora | Graves | Blitzcrank | Sona | Morgana
Savage Slicer,D,5.05,+0.00,16.3%,38970,0.6%,Fiora | Urgot | Jhin | Master Yi | Graves
The Annihilator,D,5.05,+0.00,18.4%,47504,0.7%,Aurelion Sol | Xayah | Aurora | Jhin | Vex
Rocket Swarm,D,5.17,+0.00,15.3%,35907,0.5%,Xayah | Jhin | Jinx | Graves | Urgot
Target-Lock Optics,D,4.60,+0.10,7.1%,38867,0.6%,Pyke | Master Yi | Fiora | Sona | Urgot
Sympathetic Implant,D,4.62,+0.12,7.5%,44077,0.6%,Viktor | Sona | Pyke | Master Yi | Karma
Malware Matrix,D,4.67,+0.17,6.8%,34525,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.74,+0.24,6.2%,54382,0.8%,Viktor | Sona | Master Yi | Pyke | Aurelion Sol
Biomatter Preserver,D,4.87,+0.37,5.4%,21452,0.3%,Gragas | Illaoi | Rhaast | Tahm Kench | Master Yi
