Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.61,-2.89,80.4%,2744,0.0%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Tahm Kench
Radiant Field,B,4.38,-0.12,26.5%,74140,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Battle Bunny Crossbow,C,2.89,-0.06,51.6%,204306,2.7%,Xayah | Graves | Jinx | Urgot | Kindred
Drone Uplink,C,3.99,-0.05,13.5%,359192,4.7%,Viktor | Sona | Karma | Nami | Bard
Sympathetic Implant,C,4.25,-0.02,11.8%,202521,2.7%,Viktor | Sona | Nami | Karma | Bard
Target-Lock Optics,C,4.20,-0.01,12.3%,123379,1.6%,Pyke | Master Yi | Kindred | Fiora | Urgot
Malware Matrix,C,4.30,-0.01,11.8%,117386,1.5%,Pyke | Master Yi | Fiora | Kindred | Sona
Biomatter Preserver,C,4.37,-0.01,11.2%,129140,1.7%,Illaoi | Tahm Kench | Rhaast | Gragas | Nunu & Willump
Iceblast Armor,C,4.36,-0.01,28.6%,75956,1.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Lioness's Lament,C,4.35,-0.01,27.5%,69390,0.9%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Echoing Batblades,C,4.42,-0.01,26.0%,76851,1.0%,Xayah | Graves | Fiora | Urgot | Jhin
Broken Prototype,C,4.48,-0.00,19.9%,58170,0.8%,Nunu & Willump | Illaoi | Tahm Kench | Rammus | Rhaast
Sparking Prototype,C,4.54,-0.00,19.1%,50200,0.7%,Jhin | Jinx | Xayah | Fiora | Aurora
Leaky Prototype,C,4.49,-0.00,19.3%,40398,0.5%,Aurora | Karma | Bard | Sona | Blitzcrank
Cyclonic Slicers,C,4.66,-0.00,25.5%,52151,0.7%,Fiora | Nunu & Willump | Rammus | The Mighty Mech | Blitzcrank
Tentacle Slam,C,4.79,-0.00,19.4%,69236,0.9%,Illaoi | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Evolved Embershot,C,1.82,-0.00,76.7%,4156,0.1%,Aurora | Aurelion Sol | Vex | Xayah | Bard
OwO Blaster,C,2.52,-0.00,60.1%,3815,0.0%,Xayah | Jinx | Graves | Fiora | Jhin
Bunny Prime Ballista,C,1.91,-0.00,76.5%,2990,0.0%,Xayah | Graves | Fiora | Jinx | Vex
Leonine Lamentation,C,1.86,-0.00,77.0%,2468,0.0%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Fiora
Searing Shortbow,C,4.88,-0.00,20.9%,60604,0.8%,Aurelion Sol | Xayah | Aurora | Bard | Vex
Deep Freeze,C,2.52,-0.00,65.5%,2605,0.0%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Fiora
Guiding Hex,C,4.90,-0.00,17.5%,59166,0.8%,Aurora | Bard | Karma | Aurelion Sol | Vex
Vayne's Chromablades,C,2.75,-0.00,57.6%,2434,0.0%,Xayah | Fiora | Graves | Jhin | Vex
Unceasing Cyclone,C,2.71,-0.00,59.4%,2348,0.0%,Fiora | The Mighty Mech | Nunu & Willump | Rammus | Blitzcrank
Animapocalypse,C,2.70,-0.00,60.2%,2219,0.0%,Aurelion Sol | Fiora | Aurora | Xayah | Vex
UwU Blaster,C,4.94,-0.00,20.0%,65716,0.9%,Xayah | Graves | Urgot | Jhin | Fiora
Omniweapon,C,1.02,-0.00,98.3%,361,0.0%,Fiora | Graves | Blitzcrank | Nunu & Willump | Shen
Savage Slicer,D,5.05,+0.00,16.6%,42492,0.6%,Fiora | Urgot | Jhin | Xayah | Graves
The Annihilator,D,5.11,+0.00,18.4%,51688,0.7%,Xayah | Aurelion Sol | Jhin | Aurora | Bard
Rocket Swarm,D,5.16,+0.00,15.6%,38865,0.5%,Xayah | Jhin | Jinx | Graves | Urgot
Target-Lock Optics,D,4.61,+0.11,7.1%,43515,0.6%,Pyke | Master Yi | Fiora | Sona | Urgot
Sympathetic Implant,D,4.64,+0.14,7.2%,49630,0.6%,Viktor | Sona | Pyke | Master Yi | Karma
Malware Matrix,D,4.67,+0.17,6.8%,39084,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Drone Uplink,D,4.75,+0.25,6.2%,61252,0.8%,Viktor | Sona | Master Yi | Pyke | Karma
Biomatter Preserver,D,4.90,+0.40,5.1%,24207,0.3%,Gragas | Illaoi | Rhaast | Master Yi | Tahm Kench
