Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.00,-3.50,100.0%,3,0.0%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Fiora
Radiant Field,S,3.52,-0.98,35.8%,151,0.3%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Sympathetic Implant,B,4.38,-0.12,10.7%,336,0.7%,Viktor | Sona | Gragas | Pyke | Master Yi
Malware Matrix,C,4.46,-0.04,10.4%,222,0.5%,Master Yi | Pyke | Sona | Fiora | Graves
Target-Lock Optics,C,4.23,-0.02,12.4%,1281,2.8%,Pyke | Master Yi | Kindred | Fiora | Urgot
Malware Matrix,C,4.32,-0.02,11.9%,1185,2.5%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,C,4.51,-0.02,10.2%,1539,3.3%,Viktor | Sona | Karma | Nami | Kindred
Biomatter Preserver,C,4.37,-0.02,12.2%,1145,2.5%,Illaoi | Tahm Kench | Maokai | Rhaast | Gragas
Battle Bunny Crossbow,C,3.42,-0.01,41.1%,370,0.8%,Xayah | Graves | Jinx | Urgot | Kindred
Sympathetic Implant,C,4.60,-0.01,9.3%,1228,2.6%,Viktor | Sona | Nami | Karma | Bard
Iceblast Armor,C,2.94,-0.01,49.1%,171,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Lioness's Lament,C,3.07,-0.01,42.8%,166,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Sparking Prototype,C,4.29,-0.00,17.0%,305,0.7%,Jhin | Jinx | LeBlanc | Aurora | Fiora
Echoing Batblades,C,3.57,-0.00,36.8%,136,0.3%,Xayah | Fiora | Graves | Urgot | Jhin
The Annihilator,C,4.02,-0.00,34.6%,136,0.3%,Aurelion Sol | Xayah | Jhin | Aurora | Bard
Searing Shortbow,C,4.21,-0.00,29.2%,154,0.3%,Aurelion Sol | Aurora | Xayah | Bard | Vex
Cyclonic Slicers,C,4.05,-0.00,39.5%,124,0.3%,Fiora | Nunu & Willump | The Mighty Mech | Rammus | Blitzcrank
UwU Blaster,C,3.94,-0.00,33.3%,108,0.2%,Xayah | Graves | Urgot | Fiora | Jhin
Leaky Prototype,C,4.58,-0.00,15.4%,253,0.5%,Aurora | Karma | Bard | LeBlanc | Sona
Broken Prototype,C,4.73,-0.00,15.3%,308,0.7%,Illaoi | Nunu & Willump | Tahm Kench | Rammus | Rhaast
Unceasing Cyclone,C,1.17,-0.00,83.3%,6,0.0%,Fiora | The Mighty Mech | Nunu & Willump | Diana | Rammus
OwO Blaster,C,2.00,-0.00,83.3%,6,0.0%,Xayah | Jinx | Graves | Fiora | Jhin
Evolved Embershot,C,2.50,-0.00,66.7%,6,0.0%,Aurora | Aurelion Sol | Vex | Bard | Xayah
Leonine Lamentation,C,2.60,-0.00,60.0%,5,0.0%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Fiora
Vayne's Chromablades,C,1.67,-0.00,66.7%,3,0.0%,Xayah | Fiora | Graves | Jinx | Jhin
Animapocalypse,C,3.00,-0.00,66.7%,3,0.0%,Aurora | Fiora | Aurelion Sol | Xayah | Jhin
Deep Freeze,C,1.00,-0.00,100.0%,1,0.0%,Nunu & Willump | The Mighty Mech | Rammus | Illaoi | Fiora
Bunny Prime Ballista,C,4.25,-0.00,50.0%,4,0.0%,Xayah | Graves | Fiora | Jinx | Jhin
Tentacle Slam,D,5.01,+0.00,15.2%,597,1.3%,Illaoi | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Savage Slicer,D,5.02,+0.00,14.8%,400,0.9%,Fiora | Briar | Urgot | Jhin | Master Yi
Guiding Hex,D,5.07,+0.00,12.9%,496,1.1%,Aurora | Bard | Karma | Aurelion Sol | Vex
Rocket Swarm,D,5.48,+0.00,11.3%,337,0.7%,Xayah | Jinx | Jhin | Graves | Urgot
Target-Lock Optics,D,4.52,+0.02,7.8%,268,0.6%,Pyke | Master Yi | Fiora | Sona | Urgot
Drone Uplink,D,4.83,+0.33,7.0%,327,0.7%,Viktor | Sona | Master Yi | Gragas | Pyke
Biomatter Preserver,D,4.98,+0.48,6.1%,132,0.3%,Gragas | Illaoi | Tahm Kench | Master Yi | Rhaast
