Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.00,-3.50,100.0%,4,0.0%,Nunu & Willump | Illaoi | The Mighty Mech | Rammus | Fiora
Radiant Field,S,3.38,-1.12,43.3%,134,0.4%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Sympathetic Implant,S,3.97,-0.53,13.9%,259,0.7%,Sona | Viktor | Gragas | Pyke | Master Yi
Malware Matrix,S,4.10,-0.40,14.1%,198,0.5%,Master Yi | Pyke | Fiora | Sona | Graves
Biomatter Preserver,A,4.29,-0.21,9.4%,96,0.3%,Gragas | Illaoi | Tahm Kench | Master Yi | The Mighty Mech
Target-Lock Optics,B,4.34,-0.16,9.1%,186,0.5%,Master Yi | Pyke | Fiora | Sona | Urgot
Drone Uplink,B,4.40,-0.10,9.1%,242,0.6%,Viktor | Sona | Gragas | Master Yi | Pyke
Malware Matrix,C,4.07,-0.03,15.0%,1145,3.0%,Master Yi | Pyke | Kindred | Fiora | Urgot
Target-Lock Optics,C,4.15,-0.03,14.4%,1117,3.0%,Master Yi | Pyke | Kindred | Fiora | Urgot
Sympathetic Implant,C,4.39,-0.02,11.8%,1123,3.0%,Viktor | Sona | Karma | Maokai | Nami
Drone Uplink,C,4.48,-0.02,11.3%,1262,3.3%,Viktor | Sona | Kindred | Urgot | Karma
Biomatter Preserver,C,4.30,-0.02,13.1%,941,2.5%,Tahm Kench | Illaoi | Maokai | Gragas | Rhaast
Battle Bunny Crossbow,C,3.36,-0.02,41.6%,346,0.9%,Xayah | Jinx | Graves | Urgot | Kindred
Iceblast Armor,C,2.63,-0.01,53.0%,166,0.4%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Lioness's Lament,C,2.97,-0.01,50.4%,137,0.4%,The Mighty Mech | Nunu & Willump | Rammus | Illaoi | Tahm Kench
Cyclonic Slicers,C,3.35,-0.01,45.5%,121,0.3%,Fiora | Nunu & Willump | The Mighty Mech | Rammus | Diana
Echoing Batblades,C,3.13,-0.01,44.2%,104,0.3%,Xayah | Fiora | Graves | Urgot | Jinx
Searing Shortbow,C,3.66,-0.00,40.5%,131,0.3%,Aurelion Sol | Aurora | Xayah | Bard | Vex
The Annihilator,C,3.63,-0.00,39.3%,112,0.3%,Aurelion Sol | Xayah | Aurora | Jhin | Bard
Sparking Prototype,C,4.32,-0.00,15.8%,222,0.6%,Jinx | LeBlanc | Jhin | Aurora | Fiora
Broken Prototype,C,4.42,-0.00,18.8%,255,0.7%,Illaoi | Nunu & Willump | Tahm Kench | Rhaast | The Mighty Mech
UwU Blaster,C,3.99,-0.00,34.8%,89,0.2%,Xayah | Urgot | Jinx | Graves | Fiora
Tentacle Slam,C,4.85,-0.00,16.7%,492,1.3%,Illaoi | Nunu & Willump | Rammus | Tahm Kench | The Mighty Mech
Savage Slicer,C,4.85,-0.00,16.2%,309,0.8%,Briar | Fiora | Urgot | Jhin | Master Yi
Leaky Prototype,C,4.80,-0.00,16.8%,190,0.5%,Aurora | LeBlanc | Karma | Bard | Sona
Evolved Embershot,C,1.14,-0.00,85.7%,7,0.0%,Aurora | Aurelion Sol | Vex | Xayah | Bard
Leonine Lamentation,C,1.00,-0.00,100.0%,4,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Fiora
Deep Freeze,C,2.40,-0.00,80.0%,5,0.0%,Nunu & Willump | The Mighty Mech | Illaoi | Rammus | Fiora
Vayne's Chromablades,C,1.00,-0.00,100.0%,3,0.0%,Xayah | Fiora | Graves | Jinx | Jhin
OwO Blaster,C,3.00,-0.00,60.0%,5,0.0%,Xayah | Jinx | Graves | Fiora | Jhin
Bunny Prime Ballista,C,2.50,-0.00,75.0%,4,0.0%,Xayah | Graves | Fiora | Jinx | Jhin
Animapocalypse,C,1.50,-0.00,50.0%,2,0.0%,Aurora | Fiora | Aurelion Sol | Xayah | Vex
Unceasing Cyclone,C,1.00,-0.00,100.0%,1,0.0%,Fiora | The Mighty Mech | Nunu & Willump | Illaoi | Blitzcrank
Rocket Swarm,D,5.14,+0.00,16.0%,256,0.7%,Jinx | Xayah | Jhin | Kindred | Urgot
Guiding Hex,D,5.23,+0.00,12.5%,376,1.0%,Aurora | Bard | Karma | Aurelion Sol | Vex
