Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.20,-3.30,93.3%,15,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Rammus | Fiora
Radiant Field,S,3.41,-1.09,39.2%,357,0.3%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Sympathetic Implant,S,4.06,-0.44,14.8%,752,0.7%,Sona | Viktor | Gragas | Pyke | Master Yi
Malware Matrix,A,4.20,-0.30,12.8%,563,0.5%,Master Yi | Pyke | Fiora | Sona | Kindred
Target-Lock Optics,A,4.21,-0.29,12.4%,541,0.5%,Master Yi | Pyke | Fiora | Urgot | Sona
Drone Uplink,C,4.42,-0.08,9.5%,662,0.6%,Viktor | Sona | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.42,-0.08,9.0%,245,0.2%,Gragas | Tahm Kench | Illaoi | Master Yi | Maokai
Malware Matrix,C,4.07,-0.03,14.8%,3447,3.3%,Master Yi | Pyke | Kindred | Fiora | Urgot
Target-Lock Optics,C,4.18,-0.02,14.2%,3225,3.1%,Master Yi | Pyke | Kindred | Fiora | Urgot
Drone Uplink,C,4.41,-0.02,11.9%,3657,3.5%,Viktor | Sona | Kindred | Urgot | Fiora
Biomatter Preserver,C,4.31,-0.02,12.2%,2816,2.7%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.43,-0.02,12.1%,3231,3.1%,Viktor | Sona | Maokai | Kindred | Fiora
Battle Bunny Crossbow,C,3.36,-0.01,41.5%,957,0.9%,Xayah | Jinx | Graves | Urgot | Kindred
Iceblast Armor,C,2.92,-0.01,49.9%,429,0.4%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Lioness's Lament,C,2.96,-0.01,50.5%,364,0.3%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Echoing Batblades,C,3.04,-0.01,46.9%,294,0.3%,Xayah | Fiora | Jinx | Urgot | Graves
The Annihilator,C,3.48,-0.00,39.6%,313,0.3%,Aurelion Sol | Aurora | Xayah | Fiora | Jhin
Searing Shortbow,C,3.65,-0.00,38.6%,339,0.3%,Aurelion Sol | Aurora | Vex | Bard | Xayah
Cyclonic Slicers,C,3.55,-0.00,42.1%,309,0.3%,Fiora | Diana | The Mighty Mech | Nunu & Willump | Rammus
UwU Blaster,C,3.64,-0.00,41.0%,244,0.2%,Xayah | Jinx | Urgot | Fiora | Graves
Broken Prototype,C,4.57,-0.00,18.0%,656,0.6%,Illaoi | Meepsie | Nunu & Willump | The Mighty Mech | Rhaast
Sparking Prototype,C,4.62,-0.00,15.3%,556,0.5%,Jinx | LeBlanc | Aurora | Kindred | Fiora
Tentacle Slam,C,4.87,-0.00,16.6%,1157,1.1%,Illaoi | Nunu & Willump | Tahm Kench | The Mighty Mech | Rammus
Leaky Prototype,C,4.71,-0.00,16.2%,487,0.5%,Aurora | LeBlanc | Karma | Sona | Bard
Evolved Embershot,C,1.53,-0.00,86.7%,15,0.0%,Aurora | Aurelion Sol | Vex | Xayah | Bard
OwO Blaster,C,2.22,-0.00,72.2%,18,0.0%,Jinx | Xayah | Fiora | Graves | Kindred
Leonine Lamentation,C,1.64,-0.00,90.9%,11,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
Deep Freeze,C,1.70,-0.00,90.0%,10,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Fiora
Animapocalypse,C,1.80,-0.00,80.0%,10,0.0%,Aurora | Aurelion Sol | Fiora | Xayah | Vex
Vayne's Chromablades,C,2.56,-0.00,77.8%,9,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Unceasing Cyclone,C,1.33,-0.00,66.7%,6,0.0%,Fiora | The Mighty Mech | Blitzcrank | Diana | Illaoi
Bunny Prime Ballista,C,2.86,-0.00,71.4%,7,0.0%,Xayah | Fiora | Graves | Jinx | Jhin
Savage Slicer,C,4.99,-0.00,14.7%,837,0.8%,Briar | Fiora | Urgot | Master Yi | Jhin
Omniweapon,C,1.00,-0.00,100.0%,1,0.0%,Fiora | Graves | Jhin | Bard | Morgana
Guiding Hex,D,5.09,+0.00,13.7%,1018,1.0%,Aurora | Karma | Bard | Aurelion Sol | Vex
Rocket Swarm,D,5.32,+0.00,12.4%,695,0.7%,Jinx | Xayah | Jhin | Kindred | Urgot
