Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.08,-3.42,92.0%,25,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Tahm Kench | Rammus
Radiant Field,S,3.39,-1.11,40.6%,1029,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.93,-0.57,16.9%,2643,1.0%,Sona | Gragas | Viktor | Pyke | Fiora
Malware Matrix,S,4.02,-0.48,15.7%,1815,0.7%,Master Yi | Pyke | Fiora | Kindred | Graves
Target-Lock Optics,S,4.04,-0.46,15.1%,1706,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,A,4.23,-0.27,11.8%,1887,0.7%,Sona | Viktor | Gragas | Master Yi | Pyke
Malware Matrix,C,4.03,-0.04,15.5%,10889,4.0%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.13,-0.03,14.7%,8989,3.3%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.34,-0.02,12.6%,8358,3.1%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Drone Uplink,C,4.45,-0.02,12.1%,9446,3.5%,Kindred | Viktor | Urgot | Fiora | Sona
Sympathetic Implant,C,4.51,-0.02,12.0%,9088,3.3%,Maokai | Kindred | Sona | Urgot | Fiora
Battle Bunny Crossbow,C,3.61,-0.01,37.8%,2466,0.9%,Xayah | Jinx | Graves | Kindred | Urgot
Iceblast Armor,C,3.19,-0.01,46.5%,1036,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.23,-0.01,45.8%,1018,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Searing Shortbow,C,3.77,-0.00,36.8%,834,0.3%,Aurelion Sol | Aurora | Bard | Karma | Vex
Cyclonic Slicers,C,3.84,-0.00,37.8%,838,0.3%,Fiora | Diana | The Mighty Mech | Urgot | Master Yi
Echoing Batblades,C,3.88,-0.00,39.1%,811,0.3%,Xayah | Fiora | Urgot | Kindred | Jinx
UwU Blaster,C,3.95,-0.00,34.6%,761,0.3%,Xayah | Urgot | Kindred | Jinx | Fiora
The Annihilator,C,4.06,-0.00,35.1%,730,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Xayah
Leaky Prototype,C,4.56,-0.00,18.6%,1066,0.4%,LeBlanc | Aurora | Karma | Sona | Bard
Sparking Prototype,C,4.68,-0.00,15.5%,1249,0.5%,Jinx | LeBlanc | Kindred | Aurora | Jhin
Broken Prototype,C,4.82,-0.00,13.7%,1443,0.5%,Illaoi | Meepsie | Tahm Kench | The Mighty Mech | Leona
Evolved Embershot,C,1.36,-0.00,87.2%,47,0.0%,Aurora | Aurelion Sol | Vex | Bard | Karma
Guiding Hex,C,4.94,-0.00,15.7%,2468,0.9%,Aurora | Karma | Bard | Aurelion Sol | Vex
Tentacle Slam,C,4.95,-0.00,16.2%,2795,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Deep Freeze,C,1.96,-0.00,84.6%,26,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Animapocalypse,C,2.50,-0.00,63.3%,30,0.0%,Aurelion Sol | Aurora | Fiora | Xayah | Vex
Unceasing Cyclone,C,2.37,-0.00,63.0%,27,0.0%,Fiora | The Mighty Mech | Diana | Master Yi | Urgot
Leonine Lamentation,C,1.50,-0.00,83.3%,18,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Bunny Prime Ballista,C,2.54,-0.00,62.5%,24,0.0%,Xayah | Fiora | Graves | Jinx | Aurelion Sol
Vayne's Chromablades,C,3.13,-0.00,48.4%,31,0.0%,Xayah | Fiora | Kindred | Jhin | Jinx
OwO Blaster,C,3.35,-0.00,58.1%,31,0.0%,Jinx | Xayah | Fiora | Kindred | Graves
Savage Slicer,D,5.06,+0.00,13.6%,2051,0.8%,Briar | Fiora | Master Yi | Riven | Urgot
Rocket Swarm,D,5.38,+0.00,10.7%,1735,0.6%,Jinx | Kindred | Urgot | Jhin | Corki
Biomatter Preserver,D,4.53,+0.03,10.0%,649,0.2%,Gragas | Tahm Kench | Illaoi | Master Yi | Maokai
