Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.07,-3.43,92.9%,28,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.48,-1.02,39.1%,1110,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Sympathetic Implant,S,3.92,-0.58,16.4%,2950,1.0%,Sona | Gragas | Viktor | Pyke | Fiora
Malware Matrix,S,3.99,-0.51,15.5%,1915,0.7%,Master Yi | Pyke | Fiora | Kindred | Sona
Target-Lock Optics,S,4.02,-0.48,14.9%,1838,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,A,4.22,-0.28,12.2%,1967,0.7%,Sona | Viktor | Gragas | Master Yi | Pyke
Malware Matrix,C,4.04,-0.04,15.6%,11984,4.1%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.16,-0.03,14.6%,9853,3.4%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.34,-0.02,12.9%,9091,3.1%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Drone Uplink,C,4.42,-0.02,12.3%,10296,3.5%,Kindred | Urgot | Viktor | Fiora | Sona
Sympathetic Implant,C,4.53,-0.02,11.7%,9865,3.4%,Maokai | Kindred | Sona | Urgot | Fiora
Battle Bunny Crossbow,C,3.67,-0.01,37.1%,2670,0.9%,Xayah | Jinx | Graves | Kindred | Urgot
Iceblast Armor,C,3.17,-0.01,47.1%,1111,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.22,-0.01,46.5%,1060,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Searing Shortbow,C,3.79,-0.00,35.3%,881,0.3%,Aurelion Sol | Aurora | Karma | Bard | Vex
Echoing Batblades,C,3.81,-0.00,39.3%,855,0.3%,Xayah | Fiora | Urgot | Kindred | Jinx
Cyclonic Slicers,C,3.90,-0.00,37.2%,904,0.3%,Fiora | The Mighty Mech | Diana | Urgot | Riven
UwU Blaster,C,3.92,-0.00,34.6%,833,0.3%,Xayah | Kindred | Urgot | Jinx | Fiora
The Annihilator,C,3.90,-0.00,34.9%,813,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Xayah
Leaky Prototype,C,4.61,-0.00,18.5%,1117,0.4%,LeBlanc | Aurora | Karma | Sona | Bard
Sparking Prototype,C,4.72,-0.00,15.8%,1314,0.5%,Jinx | LeBlanc | Kindred | Aurora | Jhin
Broken Prototype,C,4.84,-0.00,13.9%,1512,0.5%,Illaoi | Meepsie | Tahm Kench | The Mighty Mech | Leona
Tentacle Slam,C,4.92,-0.00,16.7%,2978,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Evolved Embershot,C,1.51,-0.00,84.3%,51,0.0%,Aurora | Aurelion Sol | Karma | Vex | Bard
Guiding Hex,C,4.96,-0.00,15.9%,2578,0.9%,Aurora | Karma | Bard | Aurelion Sol | Kindred
OwO Blaster,C,2.82,-0.00,66.7%,39,0.0%,Jinx | Xayah | Fiora | Kindred | Master Yi
Deep Freeze,C,2.17,-0.00,72.4%,29,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Vayne's Chromablades,C,2.59,-0.00,58.8%,34,0.0%,Xayah | Fiora | Kindred | Jhin | Jinx
Bunny Prime Ballista,C,2.47,-0.00,62.5%,32,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Leonine Lamentation,C,1.43,-0.00,85.7%,21,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Fiora
Animapocalypse,C,2.66,-0.00,62.1%,29,0.0%,Aurelion Sol | Aurora | Fiora | Xayah | Karma
Unceasing Cyclone,C,3.00,-0.00,53.6%,28,0.0%,Fiora | The Mighty Mech | Diana | Riven | Illaoi
Savage Slicer,D,5.12,+0.00,13.2%,2182,0.7%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.39,+0.00,10.7%,1807,0.6%,Jinx | Kindred | Urgot | Jhin | Corki
Biomatter Preserver,D,4.52,+0.02,10.5%,724,0.2%,Gragas | Tahm Kench | Master Yi | Illaoi | Maokai
