Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.14,-3.36,93.1%,29,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Tahm Kench
Radiant Field,S,3.39,-1.11,41.0%,1256,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.92,-0.58,16.1%,3338,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.95,-0.55,15.0%,1977,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,4.05,-0.45,15.0%,2089,0.7%,Master Yi | Pyke | Fiora | Kindred | Urgot
Drone Uplink,A,4.25,-0.25,11.5%,2071,0.6%,Sona | Viktor | Gragas | Master Yi | Kindred
Malware Matrix,C,4.05,-0.04,15.6%,13547,4.2%,Master Yi | Kindred | Fiora | Urgot | Pyke
Target-Lock Optics,C,4.16,-0.03,14.7%,11044,3.5%,Master Yi | Kindred | Fiora | Urgot | Pyke
Biomatter Preserver,C,4.35,-0.02,13.0%,10375,3.2%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Drone Uplink,C,4.43,-0.02,12.4%,11615,3.6%,Kindred | Urgot | Viktor | Fiora | Sona
Sympathetic Implant,C,4.56,-0.02,11.5%,11437,3.6%,Maokai | Kindred | Urgot | Tahm Kench | Fiora
Battle Bunny Crossbow,C,3.64,-0.01,37.9%,3008,0.9%,Xayah | Jinx | Kindred | Graves | Urgot
Iceblast Armor,C,3.16,-0.01,48.2%,1239,0.4%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.23,-0.01,46.6%,1215,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Searing Shortbow,C,3.77,-0.00,35.8%,1019,0.3%,Aurelion Sol | Aurora | Bard | Karma | Vex
Echoing Batblades,C,3.74,-0.00,38.3%,974,0.3%,Xayah | Fiora | Urgot | Kindred | Jinx
The Annihilator,C,3.77,-0.00,36.9%,923,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Kindred
Cyclonic Slicers,C,3.93,-0.00,36.5%,1032,0.3%,Fiora | The Mighty Mech | Diana | Urgot | Riven
UwU Blaster,C,3.87,-0.00,36.5%,962,0.3%,Xayah | Kindred | Urgot | Fiora | Jinx
Broken Prototype,C,4.73,-0.00,15.0%,1596,0.5%,Illaoi | Meepsie | Tahm Kench | The Mighty Mech | Maokai
Sparking Prototype,C,4.73,-0.00,14.6%,1338,0.4%,Jinx | LeBlanc | Kindred | Aurora | Fiora
Leaky Prototype,C,4.71,-0.00,17.6%,1218,0.4%,LeBlanc | Aurora | Karma | Bard | Sona
Tentacle Slam,C,4.94,-0.00,16.3%,3306,1.0%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Evolved Embershot,C,1.93,-0.00,78.0%,59,0.0%,Aurora | Aurelion Sol | Vex | Karma | Bard
OwO Blaster,C,2.38,-0.00,72.0%,50,0.0%,Jinx | Xayah | Fiora | Graves | Kindred
Guiding Hex,C,4.97,-0.00,16.3%,2812,0.9%,Aurora | Karma | Bard | Aurelion Sol | Kindred
Leonine Lamentation,C,1.52,-0.00,92.6%,27,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Rammus | Fiora
Deep Freeze,C,2.28,-0.00,65.5%,29,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Animapocalypse,C,3.14,-0.00,54.1%,37,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Kindred
Bunny Prime Ballista,C,2.61,-0.00,60.7%,28,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Vayne's Chromablades,C,3.21,-0.00,52.9%,34,0.0%,Xayah | Fiora | Graves | Jinx | Kindred
Unceasing Cyclone,C,2.96,-0.00,57.7%,26,0.0%,Fiora | Diana | The Mighty Mech | Nunu & Willump | Master Yi
Savage Slicer,D,5.08,+0.00,13.9%,2410,0.8%,Briar | Fiora | Master Yi | Riven | Urgot
Rocket Swarm,D,5.40,+0.00,10.9%,2002,0.6%,Jinx | Kindred | Urgot | Jhin | Corki
Biomatter Preserver,D,4.58,+0.08,8.6%,779,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Illaoi
