Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.46,-3.04,80.8%,26,0.0%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Radiant Field,S,3.34,-1.16,43.5%,1202,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Sympathetic Implant,S,3.67,-0.83,17.9%,3044,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.71,-0.79,16.8%,1732,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.94,-0.56,15.7%,1719,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Drone Uplink,S,4.17,-0.33,11.1%,1734,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,B,4.38,-0.12,9.6%,653,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,3.96,-0.03,16.3%,9419,3.2%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.33,-0.03,12.9%,11109,3.8%,Viktor | Kindred | Urgot | Sona | Fiora
Target-Lock Optics,C,4.05,-0.02,16.0%,7634,2.6%,Master Yi | Kindred | Fiora | Pyke | Urgot
Sympathetic Implant,C,4.34,-0.02,13.4%,10531,3.6%,Sona | Maokai | Viktor | Kindred | Urgot
Biomatter Preserver,C,4.18,-0.02,14.1%,8294,2.8%,Tahm Kench | Maokai | Gragas | Illaoi | The Mighty Mech
Battle Bunny Crossbow,C,3.46,-0.02,39.0%,2967,1.0%,Jinx | Xayah | Kindred | Graves | Corki
Broken Prototype,C,4.43,-0.01,16.5%,4369,1.5%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Iceblast Armor,C,3.24,-0.01,46.4%,1307,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Lioness's Lament,C,3.31,-0.01,41.4%,1243,0.4%,The Mighty Mech | Illaoi | Tahm Kench | Rammus | Nunu & Willump
Sparking Prototype,C,4.51,-0.01,15.8%,3913,1.3%,Jinx | LeBlanc | Riven | Aurora | Kindred
Leaky Prototype,C,4.52,-0.01,15.0%,3758,1.3%,Aurora | LeBlanc | Milio | Karma | Bard
Searing Shortbow,C,3.61,-0.00,39.9%,1051,0.4%,Aurelion Sol | Aurora | Karma | Vex | Kindred
The Annihilator,C,3.60,-0.00,40.5%,1031,0.4%,Aurelion Sol | Aurora | Fiora | Karma | Kindred
Cyclonic Slicers,C,3.68,-0.00,37.7%,1009,0.3%,Fiora | Diana | The Mighty Mech | Riven | Master Yi
Echoing Batblades,C,3.60,-0.00,39.9%,947,0.3%,Fiora | Jinx | Xayah | Kindred | Urgot
UwU Blaster,C,3.88,-0.00,35.7%,901,0.3%,Jinx | Kindred | Xayah | Fiora | Urgot
Tentacle Slam,C,4.79,-0.00,16.0%,4544,1.5%,Illaoi | Tahm Kench | The Mighty Mech | Rammus | Nunu & Willump
Guiding Hex,C,4.79,-0.00,16.2%,4015,1.4%,Aurora | Karma | Bard | Aurelion Sol | Milio
Evolved Embershot,C,1.33,-0.00,89.6%,48,0.0%,Aurora | Aurelion Sol | Vex | Fiora | Bard
OwO Blaster,C,2.30,-0.00,70.3%,37,0.0%,Jinx | Fiora | Graves | Xayah | Kindred
Leonine Lamentation,C,1.11,-0.00,89.5%,19,0.0%,The Mighty Mech | Illaoi | Tahm Kench | Nunu & Willump | Rammus
Deep Freeze,C,1.11,-0.00,94.4%,18,0.0%,The Mighty Mech | Nunu & Willump | Illaoi | Tahm Kench | Rammus
Animapocalypse,C,2.68,-0.00,63.6%,22,0.0%,Aurelion Sol | Aurora | Fiora | Xayah | Graves
Unceasing Cyclone,C,1.94,-0.00,81.3%,16,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Riven
Bunny Prime Ballista,C,1.79,-0.00,78.6%,14,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Vayne's Chromablades,C,2.21,-0.00,78.6%,14,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Savage Slicer,D,5.01,+0.00,13.5%,2799,1.0%,Briar | Fiora | Riven | Master Yi | Urgot
Rocket Swarm,D,5.20,+0.00,11.4%,2883,1.0%,Jinx | Kindred | Corki | Karma | Urgot
