Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.93,-2.57,70.7%,41,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.22,-1.28,43.3%,2139,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.69,-0.81,17.8%,5791,1.1%,Gragas | Sona | Viktor | Fiora | Pyke
Target-Lock Optics,S,3.77,-0.73,17.5%,3088,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.86,-0.64,15.6%,3479,0.7%,Master Yi | Pyke | Fiora | Sona | Kindred
Drone Uplink,S,4.17,-0.33,11.7%,3200,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,B,4.34,-0.16,11.7%,1269,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.05,-0.04,15.7%,19859,3.7%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.09,-0.03,15.3%,15316,2.9%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.29,-0.02,13.6%,18510,3.5%,Viktor | Urgot | Kindred | Sona | Fiora
Biomatter Preserver,C,4.24,-0.02,13.8%,15092,2.8%,Tahm Kench | Maokai | Illaoi | Gragas | Nunu & Willump
Sympathetic Implant,C,4.47,-0.02,11.9%,17772,3.3%,Sona | Viktor | Maokai | Kindred | Urgot
Battle Bunny Crossbow,C,3.48,-0.02,39.4%,5322,1.0%,Jinx | Xayah | Kindred | Graves | Corki
Iceblast Armor,C,3.13,-0.01,46.3%,2324,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.49,-0.01,16.9%,8027,1.5%,Illaoi | Meepsie | The Mighty Mech | Leona | Nunu & Willump
Lioness's Lament,C,3.28,-0.01,43.4%,2071,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sparking Prototype,C,4.50,-0.01,16.5%,7088,1.3%,Jinx | LeBlanc | Riven | Aurora | Kindred
Leaky Prototype,C,4.52,-0.01,16.6%,6453,1.2%,Aurora | LeBlanc | Milio | Karma | Bard
Cyclonic Slicers,C,3.61,-0.00,39.3%,1812,0.3%,Fiora | Diana | Riven | The Mighty Mech | Blitzcrank
The Annihilator,C,3.58,-0.00,39.2%,1760,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Bard
Echoing Batblades,C,3.61,-0.00,40.4%,1760,0.3%,Jinx | Fiora | Xayah | Kindred | Graves
Searing Shortbow,C,3.75,-0.00,36.6%,1800,0.3%,Aurelion Sol | Aurora | Vex | Karma | Bard
Tentacle Slam,C,4.77,-0.00,16.2%,8408,1.6%,Illaoi | The Mighty Mech | Tahm Kench | Rammus | Nunu & Willump
UwU Blaster,C,3.93,-0.00,34.1%,1671,0.3%,Jinx | Kindred | Fiora | Xayah | Corki
Guiding Hex,C,4.80,-0.00,16.5%,6985,1.3%,Aurora | Karma | Bard | Milio | Aurelion Sol
Evolved Embershot,C,1.46,-0.00,82.4%,91,0.0%,Aurora | Aurelion Sol | Vex | Bard | Kindred
Bunny Prime Ballista,C,1.98,-0.00,71.4%,42,0.0%,Fiora | Graves | Jinx | Xayah | Corki
Animapocalypse,C,1.61,-0.00,77.8%,36,0.0%,Aurelion Sol | Aurora | Fiora | Corki | Vex
OwO Blaster,C,2.98,-0.00,54.7%,53,0.0%,Jinx | Fiora | Graves | Corki | Kindred
Deep Freeze,C,2.50,-0.00,69.0%,42,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Leonine Lamentation,C,1.84,-0.00,81.3%,32,0.0%,The Mighty Mech | Illaoi | Rammus | Nunu & Willump | Tahm Kench
Vayne's Chromablades,C,2.98,-0.00,55.8%,43,0.0%,Fiora | Jinx | Graves | Xayah | Kindred
Unceasing Cyclone,C,2.67,-0.00,63.9%,36,0.0%,Fiora | Diana | Blitzcrank | The Mighty Mech | Master Yi
Omniweapon,C,1.00,-0.00,100.0%,2,0.0%,Blitzcrank | Fiora | Aurora | The Mighty Mech | Graves
Savage Slicer,D,5.09,+0.00,13.5%,5138,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.12,+0.00,12.1%,4978,0.9%,Jinx | Kindred | Karma | Corki | Riven
