Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.94,-2.56,72.3%,47,0.0%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Radiant Field,S,3.24,-1.26,41.7%,2233,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.69,-0.81,17.9%,5851,1.1%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.77,-0.73,17.5%,3234,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,3.91,-0.59,14.9%,3519,0.6%,Master Yi | Pyke | Fiora | Sona | Kindred
Drone Uplink,A,4.23,-0.27,11.5%,3290,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,B,4.36,-0.14,12.8%,1235,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.08,-0.03,14.9%,20559,3.8%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.11,-0.03,15.1%,15661,2.9%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.32,-0.02,13.0%,18482,3.4%,Viktor | Urgot | Kindred | Sona | Fiora
Biomatter Preserver,C,4.28,-0.02,13.6%,15266,2.8%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.49,-0.02,11.5%,17759,3.3%,Sona | Viktor | Maokai | Kindred | Urgot
Battle Bunny Crossbow,C,3.52,-0.01,39.0%,5443,1.0%,Jinx | Xayah | Kindred | Graves | Corki
Iceblast Armor,C,3.19,-0.01,45.2%,2374,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.47,-0.01,16.6%,8130,1.5%,Illaoi | Meepsie | The Mighty Mech | Leona | Rhaast
Lioness's Lament,C,3.21,-0.01,43.0%,2161,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sparking Prototype,C,4.51,-0.01,16.2%,7112,1.3%,Jinx | LeBlanc | Riven | Aurora | Kindred
Leaky Prototype,C,4.52,-0.01,16.0%,6688,1.2%,LeBlanc | Aurora | Milio | Karma | Bard
Cyclonic Slicers,C,3.58,-0.00,38.8%,1826,0.3%,Fiora | Diana | Riven | The Mighty Mech | Blitzcrank
The Annihilator,C,3.61,-0.00,38.1%,1791,0.3%,Aurelion Sol | Aurora | Fiora | Karma | Corki
Searing Shortbow,C,3.71,-0.00,37.1%,1922,0.4%,Aurelion Sol | Aurora | Vex | Karma | Bard
Echoing Batblades,C,3.64,-0.00,38.4%,1747,0.3%,Jinx | Fiora | Kindred | Xayah | Graves
Tentacle Slam,C,4.74,-0.00,16.4%,8640,1.6%,Illaoi | The Mighty Mech | Tahm Kench | Rammus | Nunu & Willump
UwU Blaster,C,3.89,-0.00,34.2%,1758,0.3%,Jinx | Kindred | Fiora | Corki | Xayah
Guiding Hex,C,4.80,-0.00,15.7%,7298,1.3%,Aurora | Karma | Bard | Milio | Aurelion Sol
Evolved Embershot,C,1.58,-0.00,78.5%,93,0.0%,Aurora | Aurelion Sol | Vex | Bard | Karma
OwO Blaster,C,2.74,-0.00,61.5%,65,0.0%,Jinx | Fiora | Graves | Xayah | Corki
Animapocalypse,C,1.52,-0.00,76.2%,42,0.0%,Aurelion Sol | Aurora | Fiora | Corki | Vex
Bunny Prime Ballista,C,2.27,-0.00,67.3%,49,0.0%,Fiora | Jinx | Graves | Kindred | Xayah
Leonine Lamentation,C,1.42,-0.00,87.9%,33,0.0%,The Mighty Mech | Illaoi | Rammus | Nunu & Willump | Tahm Kench
Deep Freeze,C,2.56,-0.00,65.1%,43,0.0%,The Mighty Mech | Illaoi | Rammus | Tahm Kench | Nunu & Willump
Unceasing Cyclone,C,2.78,-0.00,62.2%,37,0.0%,Fiora | Diana | Blitzcrank | The Mighty Mech | Master Yi
Vayne's Chromablades,C,2.89,-0.00,56.8%,37,0.0%,Fiora | Graves | Xayah | Jinx | Kindred
Omniweapon,C,1.00,-0.00,100.0%,3,0.0%,Fiora | The Mighty Mech | Aurora | Graves
Rocket Swarm,D,5.09,+0.00,12.3%,5144,0.9%,Jinx | Kindred | Corki | Karma | Riven
Savage Slicer,D,5.13,+0.00,13.4%,5335,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
