Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.84,-2.66,74.4%,43,0.0%,The Mighty Mech | Illaoi | Rammus | Nunu & Willump | Tahm Kench
Radiant Field,S,3.22,-1.28,42.1%,2314,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.72,-0.78,17.3%,5840,1.1%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.80,-0.70,17.0%,3172,0.6%,Master Yi | Pyke | Fiora | Kindred | Urgot
Malware Matrix,S,4.00,-0.50,13.7%,3527,0.6%,Master Yi | Pyke | Fiora | Kindred | Sona
Drone Uplink,A,4.29,-0.21,10.5%,3287,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,B,4.37,-0.13,11.8%,1258,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.09,-0.03,14.5%,20837,3.8%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.13,-0.02,14.5%,15753,2.9%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.35,-0.02,12.7%,18184,3.3%,Viktor | Urgot | Kindred | Sona | Fiora
Biomatter Preserver,C,4.30,-0.02,12.9%,15299,2.8%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.50,-0.02,11.3%,17762,3.2%,Viktor | Sona | Maokai | Kindred | Urgot
Battle Bunny Crossbow,C,3.51,-0.01,38.6%,5551,1.0%,Jinx | Xayah | Kindred | Graves | Corki
Broken Prototype,C,4.45,-0.01,16.3%,8356,1.5%,Illaoi | Meepsie | The Mighty Mech | Leona | Nunu & Willump
Iceblast Armor,C,3.16,-0.01,45.4%,2479,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Lioness's Lament,C,3.23,-0.01,42.5%,2257,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sparking Prototype,C,4.50,-0.01,15.6%,7342,1.3%,Jinx | LeBlanc | Riven | Aurora | Kindred
Leaky Prototype,C,4.49,-0.01,15.7%,6916,1.3%,LeBlanc | Aurora | Milio | Karma | Bard
Echoing Batblades,C,3.59,-0.00,39.0%,1912,0.3%,Jinx | Fiora | Xayah | Kindred | Graves
Searing Shortbow,C,3.65,-0.00,36.6%,1971,0.4%,Aurelion Sol | Aurora | Vex | Bard | Karma
Cyclonic Slicers,C,3.62,-0.00,37.8%,1880,0.3%,Fiora | Diana | Riven | Blitzcrank | The Mighty Mech
The Annihilator,C,3.62,-0.00,37.0%,1850,0.3%,Aurelion Sol | Aurora | Fiora | Corki | Vex
Tentacle Slam,C,4.74,-0.00,16.0%,8874,1.6%,Illaoi | The Mighty Mech | Tahm Kench | Rammus | Nunu & Willump
UwU Blaster,C,3.76,-0.00,35.4%,1820,0.3%,Jinx | Kindred | Fiora | Corki | Xayah
Guiding Hex,C,4.80,-0.00,15.5%,7570,1.4%,Aurora | Karma | Bard | Milio | Aurelion Sol
Evolved Embershot,C,1.57,-0.00,78.7%,89,0.0%,Aurora | Aurelion Sol | Vex | Bard | Karma
OwO Blaster,C,2.65,-0.00,64.5%,62,0.0%,Jinx | Fiora | Graves | Xayah | Corki
Leonine Lamentation,C,1.38,-0.00,88.2%,34,0.0%,The Mighty Mech | Illaoi | Rammus | Nunu & Willump | Fiora
Animapocalypse,C,1.71,-0.00,74.3%,35,0.0%,Aurelion Sol | Aurora | Fiora | Vex | Corki
Bunny Prime Ballista,C,2.70,-0.00,68.2%,44,0.0%,Jinx | Fiora | Xayah | Graves | Kindred
Vayne's Chromablades,C,1.84,-0.00,62.5%,32,0.0%,Fiora | Graves | Xayah | Jinx | Kindred
Deep Freeze,C,2.33,-0.00,66.7%,36,0.0%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Unceasing Cyclone,C,2.71,-0.00,64.7%,34,0.0%,Fiora | Diana | Blitzcrank | The Mighty Mech | Master Yi
Omniweapon,C,1.00,-0.00,100.0%,3,0.0%,Fiora | The Mighty Mech | Aurora | LeBlanc | Vex
Savage Slicer,D,5.08,+0.00,13.3%,5546,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.15,+0.00,11.7%,5309,1.0%,Jinx | Kindred | Corki | Karma | Riven
