Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.21,-3.29,88.5%,52,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Rammus | Tahm Kench
Radiant Field,S,3.25,-1.25,41.2%,2405,0.4%,Illaoi | The Mighty Mech | Rammus | Tahm Kench | Nunu & Willump
Sympathetic Implant,S,3.77,-0.73,15.3%,5533,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.86,-0.64,14.6%,2949,0.5%,Master Yi | Pyke | Fiora | Kindred | Sona
Malware Matrix,S,3.95,-0.55,13.1%,3318,0.6%,Master Yi | Pyke | Fiora | Graves | Kindred
Drone Uplink,A,4.28,-0.22,9.5%,2984,0.5%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,B,4.35,-0.15,10.5%,1166,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.19,-0.03,12.5%,18863,3.4%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.20,-0.02,12.9%,14081,2.5%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.40,-0.02,11.9%,16125,2.9%,Viktor | Urgot | Kindred | Sona | Fiora
Battle Bunny Crossbow,C,3.45,-0.02,38.7%,5972,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Biomatter Preserver,C,4.37,-0.02,11.3%,13619,2.4%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.50,-0.01,10.6%,15642,2.8%,Viktor | Sona | Maokai | Kindred | Urgot
Broken Prototype,C,4.46,-0.01,16.3%,8456,1.5%,Illaoi | The Mighty Mech | Meepsie | Leona | Nunu & Willump
Iceblast Armor,C,3.23,-0.01,44.6%,2498,0.4%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Lioness's Lament,C,3.31,-0.01,42.9%,2373,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Leaky Prototype,C,4.46,-0.01,15.8%,7116,1.3%,Aurora | LeBlanc | Milio | Bard | Karma
Sparking Prototype,C,4.54,-0.01,15.4%,7735,1.4%,Jinx | LeBlanc | Riven | Aurora | Kindred
The Annihilator,C,3.41,-0.01,40.3%,1891,0.3%,Aurelion Sol | Aurora | Fiora | Vex | Bard
Echoing Batblades,C,3.52,-0.01,39.2%,1987,0.4%,Xayah | Jinx | Fiora | Graves | Corki
Cyclonic Slicers,C,3.63,-0.00,37.6%,2020,0.4%,Fiora | Diana | Riven | Blitzcrank | Illaoi
Searing Shortbow,C,3.68,-0.00,36.3%,1989,0.4%,Aurora | Aurelion Sol | Vex | Bard | Karma
UwU Blaster,C,3.69,-0.00,35.4%,1931,0.3%,Jinx | Xayah | Corki | Kindred | Graves
Tentacle Slam,C,4.74,-0.00,16.2%,8617,1.5%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Guiding Hex,C,4.75,-0.00,15.9%,7013,1.2%,Aurora | Karma | Bard | Milio | Vex
Evolved Embershot,C,1.68,-0.00,81.6%,87,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
OwO Blaster,C,2.59,-0.00,59.0%,61,0.0%,Jinx | Graves | Xayah | Fiora | Corki
Animapocalypse,C,1.67,-0.00,74.4%,43,0.0%,Aurelion Sol | Aurora | Fiora | Corki | Graves
Deep Freeze,C,2.53,-0.00,66.0%,47,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Unceasing Cyclone,C,2.51,-0.00,66.7%,45,0.0%,Fiora | Blitzcrank | Diana | The Mighty Mech | Graves
Bunny Prime Ballista,C,2.11,-0.00,70.3%,37,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Leonine Lamentation,C,1.60,-0.00,83.3%,30,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Vayne's Chromablades,C,2.76,-0.00,48.3%,29,0.0%,Fiora | Graves | Jinx | Xayah | Kindred
Savage Slicer,D,5.09,+0.00,12.8%,5605,1.0%,Riven | Briar | Fiora | Jinx | Master Yi
Rocket Swarm,D,5.12,+0.00,11.7%,5355,1.0%,Jinx | Kindred | Jhin | Corki | Graves
