Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.22,-3.28,81.7%,60,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Radiant Field,S,3.26,-1.24,40.5%,2679,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Sympathetic Implant,S,3.79,-0.71,14.5%,5796,1.0%,Gragas | Sona | Viktor | Pyke | Fiora
Target-Lock Optics,S,3.93,-0.57,12.7%,3121,0.5%,Pyke | Master Yi | Fiora | Kindred | Urgot
Malware Matrix,S,3.99,-0.51,12.8%,3452,0.6%,Master Yi | Pyke | Fiora | Kindred | Graves
Drone Uplink,B,4.31,-0.19,9.2%,3223,0.5%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.45,-0.05,8.5%,1242,0.2%,Gragas | Tahm Kench | Master Yi | Pyke | Maokai
Malware Matrix,C,4.21,-0.03,12.0%,19717,3.2%,Master Yi | Kindred | Fiora | Pyke | Urgot
Target-Lock Optics,C,4.22,-0.02,12.1%,14688,2.4%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.41,-0.02,11.1%,16457,2.7%,Viktor | Urgot | Kindred | Sona | Fiora
Battle Bunny Crossbow,C,3.55,-0.02,37.2%,6381,1.1%,Jinx | Xayah | Graves | Corki | Kindred
Biomatter Preserver,C,4.37,-0.01,11.5%,14024,2.3%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Sympathetic Implant,C,4.52,-0.01,10.7%,16093,2.6%,Viktor | Sona | Maokai | Urgot | Kindred
Broken Prototype,C,4.50,-0.01,15.3%,9749,1.6%,Illaoi | Meepsie | The Mighty Mech | Leona | Nunu & Willump
Iceblast Armor,C,3.20,-0.01,45.0%,2646,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Lioness's Lament,C,3.40,-0.01,40.8%,2640,0.4%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Leaky Prototype,C,4.52,-0.01,14.8%,8139,1.3%,Aurora | LeBlanc | Milio | Bard | Jinx
Sparking Prototype,C,4.57,-0.01,14.3%,8819,1.5%,Jinx | LeBlanc | Riven | Aurora | Kindred
Echoing Batblades,C,3.54,-0.01,38.9%,2190,0.4%,Xayah | Jinx | Fiora | Graves | Corki
Searing Shortbow,C,3.62,-0.01,36.6%,2215,0.4%,Aurora | Aurelion Sol | Vex | Bard | Karma
Cyclonic Slicers,C,3.66,-0.00,38.2%,2260,0.4%,Fiora | Diana | Riven | Blitzcrank | Illaoi
The Annihilator,C,3.65,-0.00,35.7%,2135,0.4%,Aurelion Sol | Aurora | Fiora | Corki | Vex
UwU Blaster,C,3.74,-0.00,35.6%,2106,0.3%,Jinx | Xayah | Corki | Graves | Fiora
Tentacle Slam,C,4.73,-0.00,15.9%,9403,1.5%,Illaoi | Tahm Kench | The Mighty Mech | Nunu & Willump | Rammus
Guiding Hex,C,4.73,-0.00,16.5%,7474,1.2%,Aurora | Karma | Bard | Milio | Vex
Evolved Embershot,C,1.69,-0.00,74.8%,119,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
OwO Blaster,C,2.53,-0.00,59.0%,83,0.0%,Jinx | Graves | Xayah | Fiora | Corki
Animapocalypse,C,1.98,-0.00,73.2%,56,0.0%,Aurora | Aurelion Sol | Fiora | Corki | Vex
Deep Freeze,C,2.09,-0.00,71.9%,57,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Leonine Lamentation,C,2.10,-0.00,74.5%,51,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Rammus | Tahm Kench
Unceasing Cyclone,C,2.36,-0.00,62.2%,45,0.0%,Fiora | Diana | Blitzcrank | Riven | The Mighty Mech
Bunny Prime Ballista,C,2.59,-0.00,65.2%,46,0.0%,Graves | Xayah | Jinx | Fiora | Kindred
Vayne's Chromablades,C,2.91,-0.00,50.0%,34,0.0%,Fiora | Graves | Xayah | Jinx | Corki
Omniweapon,C,1.00,-0.00,100.0%,2,0.0%,Fiora | Vex | Jhin | LeBlanc | Shen
Savage Slicer,D,5.09,+0.00,12.5%,6056,1.0%,Riven | Briar | Fiora | Jinx | Blitzcrank
Rocket Swarm,D,5.16,+0.00,11.3%,5736,0.9%,Jinx | Kindred | Jhin | Graves | Corki
