Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.50,-3.00,92.9%,14,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Radiant Field,S,3.14,-1.36,44.9%,675,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Sympathetic Implant,S,3.89,-0.61,13.6%,1615,1.1%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.99,-0.51,12.8%,1023,0.7%,Pyke | Master Yi | Fiora | Sona | Viktor
Malware Matrix,S,4.14,-0.36,9.9%,945,0.6%,Master Yi | Pyke | Fiora | Sona | Viktor
Drone Uplink,C,4.44,-0.06,7.4%,1073,0.7%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.45,-0.05,9.5%,431,0.3%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.25,-0.02,11.2%,4075,2.8%,Master Yi | Kindred | Fiora | Pyke | Urgot
Drone Uplink,C,4.41,-0.02,10.7%,4873,3.3%,Viktor | Kindred | Urgot | Sona | Fiora
Battle Bunny Crossbow,C,3.43,-0.02,38.9%,1680,1.2%,Jinx | Xayah | Graves | Corki | Kindred
Sympathetic Implant,C,4.44,-0.02,10.7%,4632,3.2%,Viktor | Sona | Kindred | Maokai | Urgot
Target-Lock Optics,C,4.32,-0.02,11.0%,3569,2.4%,Master Yi | Kindred | Fiora | Pyke | Urgot
Biomatter Preserver,C,4.43,-0.01,9.9%,3378,2.3%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Iceblast Armor,C,3.03,-0.01,48.2%,652,0.4%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Sparking Prototype,C,4.40,-0.01,15.4%,2119,1.5%,Jinx | LeBlanc | Riven | Aurora | Kindred
Lioness's Lament,C,3.22,-0.01,45.7%,680,0.5%,Illaoi | The Mighty Mech | Rammus | Nunu & Willump | Tahm Kench
Broken Prototype,C,4.49,-0.01,14.8%,2319,1.6%,Illaoi | Meepsie | Leona | The Mighty Mech | Nunu & Willump
Leaky Prototype,C,4.44,-0.01,14.1%,1904,1.3%,Aurora | LeBlanc | Milio | Jinx | Bard
Echoing Batblades,C,3.30,-0.01,43.1%,562,0.4%,Xayah | Jinx | Fiora | Graves | Corki
Cyclonic Slicers,C,3.56,-0.01,39.3%,535,0.4%,Fiora | Diana | Blitzcrank | Riven | Illaoi
The Annihilator,C,3.53,-0.01,40.6%,515,0.4%,Aurora | Aurelion Sol | Fiora | Corki | Vex
Tentacle Slam,C,4.65,-0.01,17.0%,2179,1.5%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
UwU Blaster,C,3.66,-0.00,39.6%,525,0.4%,Xayah | Jinx | Graves | Corki | Fiora
Guiding Hex,C,4.63,-0.00,16.1%,1711,1.2%,Aurora | Karma | Bard | Vex | Milio
Searing Shortbow,C,3.89,-0.00,33.1%,529,0.4%,Aurora | Aurelion Sol | Vex | Bard | Karma
Evolved Embershot,C,1.27,-0.00,90.9%,33,0.0%,Aurora | Aurelion Sol | Vex | Bard | Xayah
OwO Blaster,C,1.58,-0.00,84.2%,19,0.0%,Jinx | Graves | Xayah | Fiora | Corki
Leonine Lamentation,C,1.00,-0.00,100.0%,16,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Rammus | Tahm Kench
Savage Slicer,C,4.95,-0.00,14.6%,1321,0.9%,Riven | Briar | Fiora | Jinx | Blitzcrank
Bunny Prime Ballista,C,2.47,-0.00,57.9%,19,0.0%,Graves | Fiora | Xayah | Jinx | Kindred
Vayne's Chromablades,C,2.64,-0.00,64.3%,14,0.0%,Fiora | Graves | Xayah | Jinx | Corki
Deep Freeze,C,3.07,-0.00,57.1%,14,0.0%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Unceasing Cyclone,C,3.71,-0.00,57.1%,21,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Riven
Animapocalypse,C,2.25,-0.00,50.0%,4,0.0%,Aurora | Aurelion Sol | Fiora | Vex | Corki
Rocket Swarm,D,5.13,+0.00,10.6%,1270,0.9%,Jinx | Jhin | Kindred | Graves | Corki
