Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.35,-3.15,84.2%,57,0.0%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Radiant Field,S,3.20,-1.30,43.1%,2844,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.75,-0.75,14.1%,5703,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.91,-0.59,12.9%,3362,0.6%,Pyke | Master Yi | Sona | Fiora | Viktor
Malware Matrix,S,4.06,-0.44,10.7%,3414,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Biomatter Preserver,B,4.33,-0.17,9.2%,1517,0.3%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Drone Uplink,B,4.37,-0.13,8.0%,3612,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Drone Uplink,C,4.36,-0.02,11.0%,18532,3.1%,Viktor | Kindred | Sona | Urgot | Fiora
Malware Matrix,C,4.28,-0.02,10.9%,16421,2.7%,Master Yi | Kindred | Pyke | Fiora | Sona
Sympathetic Implant,C,4.35,-0.02,11.0%,17737,3.0%,Sona | Kindred | Viktor | Urgot | Fiora
Battle Bunny Crossbow,C,3.42,-0.02,39.1%,7110,1.2%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.26,-0.02,11.0%,13857,2.3%,Master Yi | Kindred | Pyke | Fiora | Urgot
Biomatter Preserver,C,4.41,-0.01,10.1%,12719,2.1%,Tahm Kench | Maokai | Gragas | Illaoi | Nunu & Willump
Iceblast Armor,C,3.15,-0.01,46.6%,2959,0.5%,Illaoi | Nunu & Willump | The Mighty Mech | Tahm Kench | Rammus
Lioness's Lament,C,3.28,-0.01,43.5%,2772,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.54,-0.01,15.5%,8694,1.4%,Illaoi | Nunu & Willump | Meepsie | Leona | The Mighty Mech
Echoing Batblades,C,3.43,-0.01,41.2%,2474,0.4%,Xayah | Jinx | Fiora | Graves | Kindred
Sparking Prototype,C,4.53,-0.01,15.1%,7943,1.3%,Jinx | LeBlanc | Aurora | Vex | Graves
Leaky Prototype,C,4.53,-0.01,15.6%,7099,1.2%,Aurora | LeBlanc | Blitzcrank | Sona | Karma
The Annihilator,C,3.58,-0.01,38.5%,2353,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Jhin
UwU Blaster,C,3.64,-0.01,36.7%,2376,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Cyclonic Slicers,C,3.64,-0.01,38.5%,2377,0.4%,Fiora | Diana | Blitzcrank | Riven | Illaoi
Searing Shortbow,C,3.68,-0.01,36.9%,2290,0.4%,Aurora | Aurelion Sol | Vex | Bard | Sona
Tentacle Slam,C,4.74,-0.00,16.7%,8570,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.79,-0.00,16.1%,6920,1.2%,Aurora | Bard | Karma | Vex | Blitzcrank
Evolved Embershot,C,1.82,-0.00,80.9%,136,0.0%,Aurora | Vex | Aurelion Sol | Bard | Sona
Savage Slicer,C,4.95,-0.00,15.0%,5437,0.9%,Fiora | Briar | Riven | Graves | Blitzcrank
OwO Blaster,C,2.33,-0.00,64.9%,97,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Leonine Lamentation,C,2.28,-0.00,69.0%,71,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Bunny Prime Ballista,C,2.11,-0.00,75.8%,62,0.0%,Graves | Fiora | Xayah | Jinx | Vex
Deep Freeze,C,2.66,-0.00,61.2%,67,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Animapocalypse,C,2.00,-0.00,68.0%,50,0.0%,Aurora | Aurelion Sol | Fiora | Vex | Graves
Vayne's Chromablades,C,2.33,-0.00,61.2%,49,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Unceasing Cyclone,C,2.87,-0.00,60.0%,60,0.0%,Fiora | Diana | Riven | The Mighty Mech | Blitzcrank
Rocket Swarm,D,5.09,+0.00,11.8%,5356,0.9%,Jinx | Jhin | Graves | Kindred | Xayah
