Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.21,-3.29,93.2%,73,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.22,-1.28,44.1%,2892,0.5%,Illaoi | The Mighty Mech | Tahm Kench | Nunu & Willump | Rammus
Sympathetic Implant,S,3.77,-0.73,16.0%,5424,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.90,-0.60,13.3%,3236,0.6%,Pyke | Master Yi | Sona | Viktor | Fiora
Malware Matrix,S,4.07,-0.43,11.5%,3239,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.41,-0.09,7.6%,3445,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Biomatter Preserver,C,4.45,-0.05,10.6%,1355,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Pyke
Malware Matrix,C,4.27,-0.02,11.2%,15692,2.8%,Master Yi | Pyke | Kindred | Fiora | Sona
Drone Uplink,C,4.38,-0.02,10.8%,16646,2.9%,Viktor | Kindred | Sona | Urgot | Fiora
Sympathetic Implant,C,4.39,-0.02,10.6%,16926,3.0%,Kindred | Sona | Viktor | Urgot | Fiora
Battle Bunny Crossbow,C,3.49,-0.02,38.7%,6605,1.2%,Jinx | Xayah | Graves | Kindred | Corki
Target-Lock Optics,C,4.33,-0.02,11.0%,13491,2.4%,Master Yi | Pyke | Kindred | Fiora | Urgot
Biomatter Preserver,C,4.39,-0.01,10.4%,12598,2.2%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Iceblast Armor,C,3.16,-0.01,45.6%,2867,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.18,-0.01,45.2%,2807,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.50,-0.01,15.8%,8116,1.4%,Illaoi | Meepsie | Nunu & Willump | Leona | The Mighty Mech
Leaky Prototype,C,4.49,-0.01,16.0%,6854,1.2%,Aurora | LeBlanc | Blitzcrank | Sona | Karma
Searing Shortbow,C,3.52,-0.01,38.6%,2341,0.4%,Aurelion Sol | Aurora | Vex | Bard | Sona
Echoing Batblades,C,3.53,-0.01,40.7%,2305,0.4%,Xayah | Fiora | Jinx | Graves | Kindred
Sparking Prototype,C,4.56,-0.01,15.6%,7493,1.3%,Jinx | LeBlanc | Aurora | Vex | Fiora
The Annihilator,C,3.62,-0.01,38.0%,2327,0.4%,Aurelion Sol | Aurora | Vex | Fiora | Jhin
Cyclonic Slicers,C,3.67,-0.01,37.8%,2362,0.4%,Fiora | Diana | Blitzcrank | Riven | The Mighty Mech
UwU Blaster,C,3.76,-0.00,37.4%,2190,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.73,-0.00,16.6%,7976,1.4%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.74,-0.00,16.6%,6642,1.2%,Aurora | Karma | Bard | Vex | Blitzcrank
Evolved Embershot,C,1.72,-0.00,78.0%,141,0.0%,Aurora | Aurelion Sol | Vex | Sona | Fiora
Leonine Lamentation,C,1.32,-0.00,87.7%,65,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Fiora
OwO Blaster,C,2.33,-0.00,64.4%,87,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Deep Freeze,C,2.04,-0.00,75.7%,70,0.0%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Animapocalypse,C,2.19,-0.00,64.8%,54,0.0%,Aurora | Aurelion Sol | Vex | Graves | Fiora
Bunny Prime Ballista,C,2.45,-0.00,67.9%,53,0.0%,Graves | Xayah | Fiora | Jinx | Kindred
Unceasing Cyclone,C,2.74,-0.00,60.3%,58,0.0%,Fiora | Diana | Blitzcrank | Illaoi | Graves
Vayne's Chromablades,C,2.75,-0.00,64.3%,56,0.0%,Fiora | Xayah | Graves | Jinx | Kindred
Savage Slicer,D,5.06,+0.00,14.2%,5225,0.9%,Fiora | Briar | Riven | Graves | Blitzcrank
Rocket Swarm,D,5.14,+0.00,11.3%,4876,0.9%,Jinx | Jhin | Graves | Kindred | Xayah
