Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
Solar Eclipse,S,1.54,-2.96,83.6%,67,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Radiant Field,S,3.29,-1.21,40.9%,3086,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Sympathetic Implant,S,3.82,-0.68,14.1%,5860,1.0%,Gragas | Sona | Viktor | Master Yi | Pyke
Target-Lock Optics,S,3.97,-0.53,12.0%,3328,0.5%,Pyke | Master Yi | Sona | Viktor | Fiora
Malware Matrix,S,4.07,-0.43,11.5%,3408,0.6%,Master Yi | Pyke | Sona | Viktor | Fiora
Drone Uplink,C,4.45,-0.05,6.9%,3457,0.6%,Sona | Viktor | Gragas | Master Yi | Pyke
Drone Uplink,C,4.34,-0.02,11.1%,15712,2.6%,Viktor | Kindred | Sona | Urgot | Fiora
Malware Matrix,C,4.31,-0.02,10.5%,14217,2.3%,Master Yi | Pyke | Kindred | Fiora | Sona
Battle Bunny Crossbow,C,3.56,-0.02,37.7%,6697,1.1%,Jinx | Xayah | Graves | Kindred | Corki
Sympathetic Implant,C,4.40,-0.02,10.8%,15838,2.6%,Kindred | Sona | Viktor | Urgot | Master Yi
Target-Lock Optics,C,4.34,-0.01,10.9%,12499,2.1%,Master Yi | Pyke | Kindred | Fiora | Sona
Biomatter Preserver,C,4.41,-0.01,10.7%,11713,1.9%,Tahm Kench | Maokai | Gragas | Illaoi | Pantheon
Iceblast Armor,C,3.15,-0.01,47.0%,2941,0.5%,Illaoi | The Mighty Mech | Nunu & Willump | Tahm Kench | Rammus
Lioness's Lament,C,3.16,-0.01,45.5%,2921,0.5%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Broken Prototype,C,4.54,-0.01,15.8%,8295,1.4%,Illaoi | Meepsie | Leona | Nunu & Willump | The Mighty Mech
Searing Shortbow,C,3.53,-0.01,38.5%,2559,0.4%,Aurelion Sol | Aurora | Vex | Bard | Sona
Echoing Batblades,C,3.53,-0.01,40.1%,2465,0.4%,Xayah | Fiora | Jinx | Graves | Urgot
Sparking Prototype,C,4.58,-0.01,15.6%,7575,1.2%,Jinx | LeBlanc | Aurora | Kindred | Fiora
Leaky Prototype,C,4.54,-0.01,16.2%,6817,1.1%,LeBlanc | Aurora | Blitzcrank | Sona | Karma
The Annihilator,C,3.69,-0.01,36.0%,2381,0.4%,Aurelion Sol | Aurora | Fiora | Vex | Bard
Cyclonic Slicers,C,3.77,-0.00,36.8%,2415,0.4%,Fiora | Diana | Blitzcrank | The Mighty Mech | Riven
UwU Blaster,C,3.80,-0.00,35.9%,2343,0.4%,Xayah | Jinx | Graves | Fiora | Kindred
Tentacle Slam,C,4.74,-0.00,16.3%,7947,1.3%,Illaoi | Tahm Kench | Nunu & Willump | The Mighty Mech | Rammus
Guiding Hex,C,4.82,-0.00,16.4%,6596,1.1%,Aurora | Karma | Bard | Vex | Blitzcrank
Evolved Embershot,C,1.65,-0.00,81.9%,144,0.0%,Aurora | Aurelion Sol | Vex | Bard | Sona
OwO Blaster,C,2.24,-0.00,69.2%,91,0.0%,Jinx | Graves | Xayah | Fiora | Kindred
Deep Freeze,C,2.19,-0.00,73.4%,79,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Rammus
Unceasing Cyclone,C,2.30,-0.00,71.6%,81,0.0%,Fiora | Diana | The Mighty Mech | Blitzcrank | Illaoi
Leonine Lamentation,C,1.35,-0.00,88.2%,51,0.0%,The Mighty Mech | Illaoi | Nunu & Willump | Tahm Kench | Fiora
Animapocalypse,C,2.24,-0.00,70.7%,58,0.0%,Aurelion Sol | Aurora | Fiora | Graves | Bard
Bunny Prime Ballista,C,2.57,-0.00,69.2%,65,0.0%,Graves | Fiora | Xayah | Jinx | Kindred
Vayne's Chromablades,C,3.01,-0.00,50.0%,70,0.0%,Fiora | Graves | Xayah | Jinx | Kindred
Savage Slicer,D,5.08,+0.00,13.9%,4906,0.8%,Briar | Fiora | Riven | Blitzcrank | Graves
Rocket Swarm,D,5.22,+0.00,11.8%,4899,0.8%,Jinx | Jhin | Graves | Samira | Kindred
Biomatter Preserver,D,4.51,+0.01,7.5%,1494,0.2%,Gragas | Tahm Kench | Master Yi | Maokai | Illaoi
