Unit,Cost,Avg Place,Top 4%,Games,Win%
Apex Primordian,S,2.34,47.1%,104,0.0%
Shen,S,3.68,20.2%,"73,118",15.8%
Rhaast,S,3.68,21.5%,"81,579",17.6%
Bard,S,3.77,19.3%,"104,207",22.5%
Jhin,S,3.80,20.1%,"68,163",14.7%
Fiora,S,3.85,20.8%,"70,213",15.1%
Sona,S,3.91,18.9%,"81,105",17.5%
Blitzcrank,S,4.01,19.1%,"114,819",24.8%
Master Yi,S,4.11,15.0%,"61,080",13.2%
Vex,S,4.12,21.9%,"46,355",10.0%
Kindred,S,4.12,14.8%,"62,255",13.4%
Morgana,S,4.15,16.6%,"79,961",17.2%
Zed,S,4.16,22.6%,"6,971",1.5%
Gragas,A,4.21,14.1%,"60,994",13.2%
Urgot,A,4.21,15.2%,"71,596",15.4%
Bel'Veth,A,4.23,14.1%,"58,059",12.5%
Tahm Kench,A,4.28,15.9%,"116,961",25.2%
Maokai,A,4.30,15.0%,"103,776",22.4%
Riven,A,4.33,10.5%,"114,308",24.7%
Corki,A,4.35,9.2%,"95,746",20.6%
The Mighty Mech,A,4.37,11.1%,"156,559",33.8%
Fizz,A,4.40,8.9%,"86,829",18.7%
Milio,B,4.41,10.0%,"115,789",25.0%
Kai'Sa,B,4.42,13.6%,"52,587",11.3%
Karma,B,4.42,13.6%,"164,917",35.6%
Pyke,B,4.42,11.2%,"24,301",5.2%
Aatrox,B,4.44,16.0%,"58,537",12.6%
Cho'Gath,B,4.44,13.9%,"62,204",13.4%
Graves,B,4.45,20.4%,"28,893",6.2%
Meepsie,B,4.46,11.3%,"210,008",45.3%
Rammus,B,4.47,9.8%,"117,746",25.4%
Akali,B,4.48,16.1%,"50,922",11.0%
Lulu,B,4.53,13.8%,"27,124",5.8%
Nunu & Willump,B,4.53,14.0%,"161,947",34.9%
Mordekaiser,B,4.53,12.8%,"188,879",40.7%
Twisted Fate,B,4.55,12.6%,"30,580",6.6%
Pantheon,B,4.55,13.7%,"58,241",12.6%
Teemo,B,4.55,10.7%,"11,636",2.5%
Aurelion Sol,B,4.59,11.7%,"76,963",16.6%
Rek'Sai,B,4.60,11.8%,"12,708",2.7%
Illaoi,C,4.63,12.0%,"145,016",31.3%
Viktor,C,4.67,9.3%,"20,486",4.4%
Jax,C,4.68,12.5%,"54,784",11.8%
Lissandra,C,4.69,10.3%,"71,178",15.4%
Poppy,C,4.69,7.5%,"74,098",16.0%
Xayah,C,4.69,13.9%,"29,063",6.3%
LeBlanc,C,4.74,10.5%,"44,217",9.5%
Nami,C,4.75,8.8%,"28,854",6.2%
Caitlyn,C,4.76,8.2%,"10,326",2.2%
Gwen,C,4.78,10.0%,"11,672",2.5%
Zoe,C,4.79,8.3%,"24,932",5.4%
Samira,D,4.80,11.8%,"13,723",3.0%
Veigar,D,4.81,13.8%,"6,878",1.5%
Talon,D,4.82,9.1%,"11,065",2.4%
Ornn,D,4.88,10.1%,"24,475",5.3%
Miss Fortune,D,4.93,8.6%,"11,017",2.4%
Leona,D,4.93,9.3%,"49,934",10.8%
Aurora,D,4.96,13.0%,"18,317",4.0%
Gnar,D,4.97,11.9%,"17,896",3.9%
Diana,D,5.02,11.9%,"16,643",3.6%
Ezreal,D,5.03,12.3%,"11,825",2.6%
Nasus,D,5.09,7.5%,"17,118",3.7%
Jinx,D,5.11,14.7%,"13,936",3.0%
Briar,D,5.28,8.7%,"9,946",2.1%
