Tier,Name,Level,Difficulty,Avg Place,Pick Rate,Win Rate,Top 4 Rate,Units,UnitDetails
S,여행자 빅토르,7,Medium,3.90,0.51,12.6%,62.3%,빅토르 | 일라오이 | 나미 | 라아스트 | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라,"빅토르★ (드론 업링크, 보석 건틀릿, 라바돈의 죽음모자) | 일라오이★ (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 나미 (거인 학살자, 쇼진의 창, 공허의 지팡이) | 라아스트★ (수호자의 맹세, 태양불꽃 망토, 워모그의 갑옷) | 꼬마 정령 | 모데카이저 | 파이크 | 리산드라"
S,태고족 벨베스,6,Medium,4.13,0.46,9.6%,58.8%,벨베스 | 렉사이 | 아칼리 | 킨드레드 | 마오카이 | 아트록스 | 브라이어 | 케이틀린,"벨베스★ (불한당 상징, 거인 학살자, 수은) | 렉사이★ (수호자의 맹세, 태양불꽃 망토, 저녁갑주) | 아칼리★ (밤의 끝자락, 타격대의 철퇴, 정의의 손길) | 킨드레드 (죽음의 검, 구인수의 격노검, 거인 학살자) | 마오카이 | 아트록스 | 브라이어★ | 케이틀린"
S,선봉대 티모,5,Medium,4.22,0.27,8.7%,56.8%,티모 | 레오나 | 리산드라 | 나서스 | 나미 | 일라오이 | 모데카이저 | 조이,"티모★ (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 리산드라★ (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 나서스★ (이온 충격기, 태양불꽃 망토, 워모그의 갑옷) | 나미 | 일라오이 | 모데카이저 | 조이★"
S,선봉대 누누와 윌럼프,,Medium,4.24,0.37,14.5%,54.3%,누누와 윌럼프 | 카르마 | 벡스 | 바드 | 블리츠크랭크 | 소나 | 일라오이 | 꼬마 정령 | 모데카이저,"누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 카르마 (라바돈의 죽음모자, 쇼진의 창, 공허의 지팡이) | 벡스 (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 바드 | 블리츠크랭크 | 소나 | 일라오이 | 꼬마 정령 | 모데카이저"
A,메카 우르곳,7,Medium,4.26,0.40,12.4%,55.3%,우르곳 | 오로라 | 마오카이 | 거대 메크 로봇 | 라아스트 | 아칼리,"우르곳★ (무한의 대검, 거인 학살자, 수은) | 오로라★ (보석 건틀릿, 타격대의 철퇴, 쇼진의 창) | 마오카이★ (수호자의 맹세, 저녁갑주, 워모그의 갑옷) | 거대 메크 로봇 (가고일 돌갑옷, 저녁갑주, 스테락의 도전) | 라아스트★ | 아칼리"
A,운명술사 트위스티드 페이트,5,Medium,4.27,0.40,9.8%,55.5%,트위스티드 페이트 | 잭스 | 케이틀린 | 탈론 | 코르키 | 리븐 | 밀리오 | 아트록스,"트위스티드 페이트★ (내셔의 이빨, 내셔의 이빨, 라바돈의 죽음모자) | 잭스★ (크라운가드, 가고일 돌갑옷, 가고일 돌갑옷) | 케이틀린★ (죽음의 검, 구인수의 격노검, 거인 학살자) | 탈론★ (밤의 끝자락, 마법공학 총검, 쇼진의 창) | 코르키 | 리븐 | 밀리오 | 아트록스★"
A,저격수 자야,,Medium,4.31,0.71,20.7%,52.0%,자야 | 누누와 윌럼프 | 람머스 | 진 | 바드 | 라아스트 | 나르 | 잭스 | 모데카이저,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 람머스 (태양불꽃 망토, 저녁갑주, 워모그의 갑옷) | 진 (무한의 대검, 최후의 속삭임, 거인 학살자) | 바드 | 라아스트 | 나르 | 잭스 | 모데카이저"
A,정령족 베이가,5,Medium,4.34,0.13,11.7%,52.8%,베이가 | 뽀삐 | 리산드라 | 람머스 | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저,"베이가★ (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 뽀삐★ (크라운가드, 수호자의 맹세, 이온 충격기) | 리산드라★ (보석 건틀릿, 쇼진의 창, 공허의 지팡이) | 람머스 (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 코르키 | 일라오이 | 꼬마 정령 | 모데카이저"
A,선봉대 레오나,5,Medium,4.39,0.07,9.7%,52.5%,레오나 | 르블랑 | 티모 | 누누와 윌럼프 | 블리츠크랭크 | 일라오이 | 모데카이저 | 조이 | 나서스,"레오나★ (가고일 돌갑옷, 가고일 돌갑옷, 워모그의 갑옷) | 르블랑 (구인수의 격노검, 모렐로노미콘, 공허의 지팡이) | 티모★ (구인수의 격노검, 거인 학살자, 라바돈의 죽음모자) | 누누와 윌럼프 (수호자의 맹세, 정령의 형상, 워모그의 갑옷) | 블리츠크랭크 | 일라오이 | 모데카이저 | 조이 | 나서스★"
A,시간 균열자 파이크,6,Easy,4.40,0.05,6.0%,53.9%,파이크 | 그웬 | 판테온 | 밀리오 | 코르키 | 리븐 | 그라가스 | 꼬마 정령,"파이크★ (불한당 상징, 표적 고정 광학 장치, 무한의 대검) | 그웬★ (마법공학 총검, 보석 건틀릿, 라바돈의 죽음모자) | 판테온★ (덤불 조끼, 가고일 돌갑옷, 워모그의 갑옷) | 밀리오★ (모렐로노미콘, 쇼진의 창, 공허의 지팡이) | 코르키 | 리븐 | 그라가스★ | 꼬마 정령★"
A,우주 그루브 사미라,7,Medium,4.41,0.21,13.8%,51.0%,사미라 | 사미라 | 오른 | 오른 | 자야 | 누누와 윌럼프 | 블리츠크랭크 | 잭스,"사미라★ (죽음의 검, 무한의 대검, 쇼진의 창) | 사미라 | 오른★ (용의 발톱, 가고일 돌갑옷, 워모그의 갑옷) | 오른 | 자야 (구인수의 격노검, 최후의 속삭임, 붉은 덩굴정령) | 누누와 윌럼프 (적응형 투구, 수호자의 맹세, 수호자의 맹세) | 블리츠크랭크 | 잭스"
A,우주 그루브 나미,,Medium,4.41,0.39,14.7%,51.3%,리븐 | 나미 | 탐 켄치 | 블리츠크랭크 | 쉔 | 누누와 윌럼프 | 오른 | 그웬 | 판테온,"리븐 (우주 그루브 상징, 피바라기, 거인의 결의) | 나미 (보석 건틀릿, 내셔의 이빨, 내셔의 이빨) | 탐 켄치 (수호자의 맹세, 태양불꽃 망토, 워모그의 갑옷) | 블리츠크랭크 (보석 건틀릿, 타격대의 철퇴, 정의의 손길) | 쉔 | 누누와 윌럼프 | 오른 | 그웬 | 판테온"
A,암흑의 별 자야,,Easy,4.43,0.08,14.0%,51.0%,자야 | 누누와 윌럼프 | 진 | 카르마 | 탐 켄치 | 카이사 | 모데카이저 | 초가스 | 리산드라,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (수호자의 맹세, 수호자의 맹세, 수호자의 맹세) | 진 (무한의 대검, 거인 학살자, 타격대의 철퇴) | 카르마 (푸른 파수꾼, 보석 건틀릿, 공허의 지팡이) | 탐 켄치 | 카이사 | 모데카이저 | 초가스 | 리산드라"
A,암흑의 별 카르마,,Easy,4.43,0.09,11.3%,51.5%,카르마 | 탐 켄치 | 진 | 거대 메크 로봇 | 블리츠크랭크 | 카이사 | 모데카이저 | 초가스 | 리산드라,"카르마 (보석 건틀릿, 내셔의 이빨, 타격대의 철퇴) | 탐 켄치 (태양불꽃 망토, 저녁갑주, 워모그의 갑옷) | 진 (무한의 대검, 최후의 속삭임, 타격대의 철퇴) | 거대 메크 로봇 (가고일 돌갑옷, 정령의 형상, 워모그의 갑옷) | 블리츠크랭크 | 카이사 | 모데카이저 | 초가스 | 리산드라"
A,불한당 카이사 피즈,7,Easy,4.43,0.05,8.7%,51.7%,카이사 | 피즈 | 오른 | 마오카이 | 라아스트 | 아트록스 | 초가스,"카이사★ (죽음의 검, 무한의 대검, 타격대의 철퇴) | 피즈★ (내셔의 이빨, 거인 학살자, 정의의 손길) | 오른★ (굳건한 심장, 태양불꽃 망토, 워모그의 갑옷) | 마오카이★ (수호자의 맹세, 가고일 돌갑옷, 태양불꽃 망토) | 라아스트★ | 아트록스 | 초가스"
A,여행자 르블랑,,Easy,4.45,0.05,10.6%,50.7%,르블랑 | 거대 메크 로봇 | 카르마 | 일라오이 | 모르가나 | 소나 | 꼬마 정령 | 레오나 | 리산드라,"르블랑 (구인수의 격노검, 보석 건틀릿, 거인 학살자) | 거대 메크 로봇 (용의 발톱, 가고일 돌갑옷, 굳건한 심장) | 카르마 (길잡이 상징, 모렐로노미콘, 공허의 지팡이) | 일라오이 (가고일 돌갑옷, 태양불꽃 망토, 정령의 형상) | 모르가나 | 소나 | 꼬마 정령 | 레오나 | 리산드라"
A,정령족 코르키,,Medium,4.48,0.16,15.8%,48.0%,코르키 | 람머스 | 리븐 | 거대 메크 로봇 | 피즈 | 꼬마 정령 | 밀리오 | 뽀삐,"코르키 (불한당 상징, 최후의 속삭임, 쇼진의 창) | 람머스 (수호자의 맹세, 태양불꽃 망토, 정령의 형상) | 리븐 (피바라기, 거인 학살자, 스테락의 도전) | 거대 메크 로봇 | 피즈 | 꼬마 정령 | 밀리오 | 뽀삐"
B,N.O.V.A. 킨드레드,,Medium,4.50,0.26,11.0%,49.7%,킨드레드 | 마스터 이 | 탐 켄치 | 피오라 | 쉔 | 마오카이 | 아칼리 | 벨베스 | 아트록스,"킨드레드 (습격자 상징, 구인수의 격노검, 크라켄의 분노) | 마스터 이 (밤의 끝자락, 거인 학살자, 정의의 손길) | 탐 켄치 (수호자의 맹세, 태양불꽃 망토, 워모그의 갑옷) | 피오라 (N.O.V.A. 상징, 밤의 끝자락, 거인 학살자) | 쉔 | 마오카이 | 아칼리 | 벨베스 | 아트록스"
B,불한당 카이사,7,Medium,4.53,0.19,8.9%,49.4%,카이사 | 피즈 | 오른 | 라아스트 | 카르마 | 람머스 | 꼬마 정령,"카이사★ (죽음의 검, 무한의 대검, 거인 학살자) | 피즈★ (보석 건틀릿, 내셔의 이빨, 정의의 손길) | 오른★ (용의 발톱, 저녁갑주, 워모그의 갑옷) | 라아스트★ (가고일 돌갑옷, 태양불꽃 망토, 저녁갑주) | 카르마 | 람머스 | 꼬마 정령"
B,저격수 자야 탐 켄치,,Easy,4.59,0.06,17.8%,47.7%,자야 | 누누와 윌럼프 | 탐 켄치 | 진 | 리븐 | 모데카이저 | 판테온 | 이즈리얼 | 탈론,"자야 (전투 토끼 석궁, 구인수의 격노검, 무한의 대검) | 누누와 윌럼프 (수호자의 맹세, 수호자의 맹세, 워모그의 갑옷) | 탐 켄치 (용의 발톱, 태양불꽃 망토, 워모그의 갑옷) | 진 (별돌보미 상징, 무한의 대검, 붉은 덩굴정령) | 리븐 | 모데카이저 | 판테온 | 이즈리얼 | 탈론"
B,메카 거대 메크 로봇,,Medium,4.71,0.32,16.3%,45.5%,거대 메크 로봇 | 아우렐리온 솔 | 우르곳 | 탐 켄치 | 피오라 | 카르마,"거대 메크 로봇 (얼음작렬 갑옷, 사자의 비가, 가고일 돌갑옷) | 아우렐리온 솔 (보석 건틀릿, 라바돈의 죽음모자, 라바돈의 죽음모자) | 우르곳 (무한의 대검, 최후의 속삭임, 정의의 손길) | 탐 켄치 (수호자의 맹세, 워모그의 갑옷) | 피오라 | 카르마"
B,전달자 미스 포츈,7,Easy,4.71,0.03,5.4%,45.9%,미스 포츈 | 빅토르 | 오른 | 마오카이 | 라아스트 | 그라가스 | 아트록스,"미스 포츈★ (무한의 대검, 거인 학살자, 타격대의 철퇴) | 빅토르★ (대천사의 지팡이, 마법공학 총검, 보석 건틀릿) | 오른★ (가고일 돌갑옷, 굳건한 심장, 정령의 형상) | 마오카이★ (용의 발톱, 가고일 돌갑옷, 워모그의 갑옷) | 라아스트★ | 그라가스 | 아트록스"
B,여행자 나미,,Easy,4.71,0.05,7.9%,46.0%,나미 | 카르마 | 누누와 윌럼프 | 일라오이 | 거대 메크 로봇 | 라아스트 | 꼬마 정령 | 리산드라,"나미 (여행자 상징, 보석 건틀릿, 내셔의 이빨) | 카르마 (타격대의 철퇴, 쇼진의 창, 공허의 지팡이) | 누누와 윌럼프 (적응형 투구, 적응형 투구, 수호자의 맹세) | 일라오이 (가고일 돌갑옷, 태양불꽃 망토, 정령의 형상) | 거대 메크 로봇 | 라아스트 | 꼬마 정령 | 리산드라"
B,복제자 룰루 마오카이,7,Easy,4.72,0.05,10.9%,45.5%,룰루 | 마오카이 | 밀리오 | 잭스 | 라아스트 | 판테온 | 아트록스 | 트위스티드 페이트,"룰루★ (보석 건틀릿, 내셔의 이빨, 쇼진의 창) | 마오카이★ (용의 발톱, 가고일 돌갑옷, 정령의 형상) | 밀리오★ (대천사의 지팡이, 타격대의 철퇴, 쇼진의 창) | 잭스★ (크라운가드, 수호자의 맹세, 가고일 돌갑옷) | 라아스트★ | 판테온★ | 아트록스 | 트위스티드 페이트"
B,암흑의 별 카이사,7,Easy,4.72,0.04,10.1%,45.2%,카이사 | 초가스 | 카르마 | 진 | 리븐 | 모데카이저 | 판테온 | 리산드라,"카이사★ (푸른 파수꾼, 무한의 대검, 타격대의 철퇴) | 초가스★ (용의 발톱, 태양불꽃 망토, 워모그의 갑옷) | 카르마 (보석 건틀릿, 거인 학살자, 쇼진의 창) | 진 (무한의 대검, 거인 학살자, 타격대의 철퇴) | 리븐 | 모데카이저 | 판테온 | 리산드라"
B,요새 람머스,,Hard,4.73,0.22,13.1%,45.0%,람머스 | 벡스 | 바드 | 블리츠크랭크 | 쉔 | 카르마 | 라아스트 | 꼬마 정령 | 모데카이저,"람머스 (가고일 돌갑옷, 굳건한 심장, 워모그의 갑옷) | 벡스 (구인수의 격노검, 마법공학 총검, 거인 학살자) | 바드 (라바돈의 죽음모자, 쇼진의 창, 공허의 지팡이) | 블리츠크랭크 (보석 건틀릿, 라바돈의 죽음모자, 정의의 손길) | 쉔 | 카르마 | 라아스트 | 꼬마 정령 | 모데카이저"
