Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.65,-2.85,76.5%,34,0.0%,진 | 킨드레드 | 르블랑 | 카이사 | 코르키
거대한 히드라,S,3.95,-0.55,16.5%,504,0.3%,리븐 | 우르곳 | 피오라 | 마스터 이
지옥불 손도끼,S,4.02,-0.48,14.3%,435,0.3%,리븐 | 피오라 | 마스터 이
아리의 오라,S,4.06,-0.44,14.4%,1859,1.2%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
은빛 여명,S,4.10,-0.40,15.3%,816,0.5%,거대 메크 로봇 | 람머스
죽음의 저항,S,4.15,-0.35,15.6%,838,0.6%,리븐 | 피오라 | 마스터 이
지평선의 초점,S,4.15,-0.35,17.2%,483,0.3%,누누와 윌럼프 | 마오카이
라이트실드 문장,A,4.21,-0.29,13.9%,892,0.6%,람머스 | 오른 | 누누와 윌럼프 | 탐 켄치
에코의 인내,A,4.23,-0.27,16.1%,1311,0.9%,아우렐리온 솔 | 카르마 | 빅토르 | 나미 | 바드
거물의 갑옷,A,4.25,-0.25,14.8%,1852,1.2%,람머스 | 거대 메크 로봇 | 오른 | 누누와 윌럼프 | 마오카이
자객의 발톱,A,4.25,-0.25,12.6%,570,0.4%,리븐 | 마스터 이 | 피오라 | 아칼리
스태틱의 단검,A,4.25,-0.25,14.4%,715,0.5%,르블랑 | 벡스 | 킨드레드
명멸검,A,4.26,-0.24,13.6%,1107,0.7%,킨드레드 | 르블랑 | 진 | 자야
황금 징수의 총,A,4.27,-0.23,16.0%,561,0.4%,진 | 킨드레드 | 코르키 | 카이사
마법사의 최후,A,4.28,-0.22,13.0%,675,0.5%,르블랑 | 피즈 | 벡스
공허 건틀릿,B,4.30,-0.20,14.5%,732,0.5%,람머스 | 누누와 윌럼프 | 오른 | 마오카이
역병의 보석,B,4.31,-0.19,12.5%,695,0.5%,카르마 | 빅토르 | 아우렐리온 솔 | 나미
무한한 삼위일체,B,4.33,-0.17,12.9%,1268,0.9%,리븐 | 피오라 | 마스터 이
카파 주스,B,4.33,-0.17,13.9%,373,0.3%,킨드레드 | 진 | 코르키 | 카이사 | 르블랑
불굴,B,4.34,-0.16,12.1%,1284,0.9%,람머스 | 누누와 윌럼프 | 오른 | 거대 메크 로봇
황혼의 방패,B,4.38,-0.12,11.8%,844,0.6%,람머스 | 오른 | 누누와 윌럼프
방한 장갑,B,4.39,-0.11,13.2%,838,0.6%,마스터 이 | 리븐 | 피오라
이블린의 본능,B,4.40,-0.10,11.5%,1455,1.0%,마스터 이 | 리븐 | 벨베스 | 피즈 | 피오라
리치베인,C,4.40,-0.10,11.0%,589,0.4%,카르마 | 르블랑 | 피즈
생선대가리,C,4.40,-0.10,11.2%,570,0.4%,킨드레드 | 진 | 코르키 | 카이사
존야의 역설,C,4.41,-0.09,13.8%,724,0.5%,피즈 | 블리츠크랭크
영원한 서약,C,4.44,-0.06,10.3%,613,0.4%,카르마 | 나미
고속 연사포,C,4.44,-0.06,12.6%,634,0.4%,킨드레드 | 마스터 이 | 진 | 벨베스
바루스의 집착,C,4.46,-0.04,11.1%,1554,1.0%,르블랑 | 킨드레드 | 코르키 | 진 | 아우렐리온 솔
소라카의 기적,C,4.47,-0.03,12.0%,2194,1.5%,람머스 | 누누와 윌럼프 | 오른 | 거대 메크 로봇 | 일라오이
추적자의 팔목 보호대,C,4.47,-0.03,14.8%,790,0.5%,아우렐리온 솔 | 피즈
데마시아의 왕관,C,4.48,-0.02,10.0%,771,0.5%,초가스 | 카이사 | 킨드레드
새벽의 방패,C,4.49,-0.01,9.4%,727,0.5%,람머스 | 오른 | 누누와 윌럼프 | 탐 켄치
선체분쇄자,C,4.50,-0.00,11.9%,804,0.5%,거대 메크 로봇 | 람머스 | 누누와 윌럼프
저격수의 집중,D,4.51,+0.01,11.9%,776,0.5%,킨드레드 | 진 | 코르키 | 카이사 | 자야
도박꾼의 칼날,D,4.51,+0.01,10.5%,831,0.6%,킨드레드 | 진 | 자야 | 르블랑 | 카이사
쓰레쉬의 랜턴,D,4.51,+0.01,11.4%,1153,0.8%,람머스 | 오른 | 누누와 윌럼프 | 마오카이 | 탐 켄치
새벽심장,D,4.52,+0.02,12.0%,656,0.4%,카르마 | 나미 | 바드
야스오의 검술,D,4.64,+0.14,9.9%,831,0.6%,킨드레드 | 진 | 마스터 이 | 자야 | 카이사
루덴의 폭풍,D,4.65,+0.15,9.7%,559,0.4%,카르마 | 나미 | 빅토르 | 아우렐리온 솔
승천의 부적,D,4.68,+0.18,10.5%,409,0.3%,람머스 | 초가스 | 오른
케일의 승천,D,5.03,+0.53,7.2%,1074,0.7%,킨드레드 | 진 | 르블랑 | 카이사 | 코르키
