Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.81,-2.69,57.3%,150,0.0%,진 | 킨드레드 | 르블랑 | 카이사 | 코르키
아리의 오라,S,4.02,-0.48,15.4%,6117,1.2%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
거대한 히드라,S,4.06,-0.44,16.2%,1822,0.4%,리븐 | 우르곳 | 피오라 | 마스터 이 | 그레이브즈
은빛 여명,S,4.11,-0.39,16.0%,2712,0.5%,거대 메크 로봇 | 람머스 | 모데카이저 | 라아스트 | 우르곳
죽음의 저항,S,4.17,-0.33,15.5%,2774,0.5%,리븐 | 피오라 | 마스터 이 | 우르곳 | 벨베스
라이트실드 문장,A,4.21,-0.29,13.6%,3058,0.6%,람머스 | 오른 | 누누와 윌럼프 | 일라오이 | 탐 켄치
에코의 인내,A,4.21,-0.29,16.0%,4747,0.9%,아우렐리온 솔 | 빅토르 | 카르마 | 나미 | 바드
지옥불 손도끼,A,4.22,-0.28,14.0%,1555,0.3%,리븐 | 피오라 | 우르곳 | 마스터 이 | 벨베스
거물의 갑옷,A,4.23,-0.27,15.1%,6527,1.3%,거대 메크 로봇 | 람머스 | 누누와 윌럼프 | 오른 | 일라오이
지평선의 초점,A,4.27,-0.23,14.3%,1667,0.3%,누누와 윌럼프 | 마오카이 | 꼬마 정령 | 라아스트 | 블리츠크랭크
생선대가리,A,4.29,-0.21,13.3%,2038,0.4%,킨드레드 | 진 | 코르키 | 카이사 | 자야
황금 징수의 총,A,4.30,-0.20,15.6%,1929,0.4%,진 | 킨드레드 | 코르키 | 카이사 | 사미라
존야의 역설,A,4.30,-0.20,14.0%,2400,0.5%,아우렐리온 솔 | 피즈 | 블리츠크랭크 | 모르가나 | 카르마
영원한 서약,B,4.30,-0.20,13.2%,2007,0.4%,카르마 | 나미 | 아우렐리온 솔 | 빅토르 | 바드
리치베인,B,4.30,-0.20,11.5%,1950,0.4%,카르마 | 르블랑 | 나미 | 피즈 | 트위스티드 페이트
방한 장갑,B,4.31,-0.19,13.7%,2665,0.5%,마스터 이 | 피오라 | 리븐 | 벨베스 | 그레이브즈
무한한 삼위일체,B,4.31,-0.19,13.3%,4121,0.8%,리븐 | 피오라 | 마스터 이 | 우르곳 | 진
불굴,B,4.32,-0.18,13.5%,4188,0.8%,람머스 | 누누와 윌럼프 | 거대 메크 로봇 | 오른 | 탐 켄치
명멸검,B,4.32,-0.18,12.5%,3775,0.7%,킨드레드 | 르블랑 | 자야 | 진 | 벡스
스태틱의 단검,B,4.33,-0.17,12.4%,2440,0.5%,르블랑 | 벡스 | 킨드레드 | 카르마 | 티모
공허 건틀릿,B,4.33,-0.17,13.0%,2503,0.5%,람머스 | 누누와 윌럼프 | 탐 켄치 | 마오카이 | 오른
마법사의 최후,B,4.35,-0.15,12.9%,2225,0.4%,르블랑 | 피즈 | 벡스 | 리븐 | 마스터 이
자객의 발톱,B,4.36,-0.14,11.7%,1837,0.4%,리븐 | 마스터 이 | 피오라 | 아칼리 | 파이크
