Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.85,-2.65,63.1%,179,0.0%,벡스 | 르블랑 | 킨드레드 | 아우렐리온 솔 | 자야
아리의 오라,S,4.08,-0.42,14.4%,5767,1.1%,아우렐리온 솔 | 나미 | 카르마 | 빅토르 | 벡스
거대한 히드라,S,4.11,-0.39,16.9%,1747,0.3%,우르곳 | 리븐 | 그레이브즈 | 피오라 | 마스터 이
무한한 삼위일체,S,4.16,-0.34,13.8%,4162,0.8%,리븐 | 피오라 | 마스터 이 | 아칼리 | 우르곳
지평선의 초점,S,4.17,-0.33,15.4%,1639,0.3%,누누와 윌럼프 | 마오카이 | 꼬마 정령 | 블리츠크랭크 | 라아스트
라이트실드 문장,S,4.20,-0.30,14.3%,3228,0.6%,누누와 윌럼프 | 탐 켄치 | 람머스 | 거대 메크 로봇 | 일라오이
불굴,A,4.23,-0.27,14.3%,4183,0.8%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이
거물의 갑옷,A,4.24,-0.26,14.9%,4038,0.8%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이
죽음의 저항,A,4.28,-0.22,13.5%,2608,0.5%,리븐 | 피오라 | 마스터 이 | 거대 메크 로봇 | 그레이브즈
생선대가리,A,4.29,-0.21,12.9%,2117,0.4%,킨드레드 | 자야 | 그레이브즈 | 코르키 | 진
황금 징수의 총,A,4.29,-0.21,14.2%,2038,0.4%,킨드레드 | 코르키 | 그레이브즈 | 진 | 자야
지옥불 손도끼,A,4.29,-0.21,13.9%,1614,0.3%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 우르곳
은빛 여명,A,4.30,-0.20,14.2%,2364,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 라아스트 | 리븐
에코의 인내,A,4.30,-0.20,14.1%,4405,0.8%,아우렐리온 솔 | 빅토르 | 카르마 | 나미 | 벡스
존야의 역설,B,4.30,-0.20,14.2%,2366,0.4%,아우렐리온 솔 | 리븐 | 르블랑 | 블리츠크랭크 | 피즈
방한 장갑,B,4.31,-0.19,13.6%,2587,0.5%,마스터 이 | 리븐 | 피오라 | 벨베스 | 그레이브즈
명멸검,B,4.32,-0.18,12.9%,3863,0.7%,르블랑 | 벡스 | 자야 | 킨드레드 | 벨베스
자객의 발톱,B,4.32,-0.18,12.3%,1902,0.4%,리븐 | 피오라 | 마스터 이 | 아칼리 | 우르곳
도박꾼의 칼날,B,4.33,-0.17,14.2%,3085,0.6%,벡스 | 르블랑 | 자야 | 킨드레드 | 카르마
스태틱의 단검,B,4.33,-0.17,12.6%,2470,0.5%,르블랑 | 벡스 | 킨드레드 | 트위스티드 페이트 | 나미
리치베인,B,4.34,-0.16,12.0%,1929,0.4%,르블랑 | 벡스 | 카르마 | 피즈 | 리븐
영원한 서약,B,4.34,-0.16,13.4%,1943,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
마법사의 최후,B,4.35,-0.15,13.4%,2194,0.4%,르블랑 | 벡스 | 리븐 | 마스터 이 | 피즈
고속 연사포,B,4.36,-0.14,12.1%,2250,0.4%,마스터 이 | 벨베스 | 그레이브즈 | 르블랑 | 우르곳
선체분쇄자,B,4.37,-0.13,12.4%,2518,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
카파 주스,B,4.37,-0.13,14.0%,1492,0.3%,아우렐리온 솔 | 르블랑 | 벡스 | 킨드레드 | 빅토르
공허 건틀릿,B,4.37,-0.13,12.7%,2473,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 탐 켄치 | 람머스 | 일라오이
이블린의 본능,B,4.39,-0.11,11.2%,5218,1.0%,벨베스 | 리븐 | 마스터 이 | 피오라 | 그레이브즈
추적자의 팔목 보호대,C,4.41,-0.09,13.5%,2614,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 르블랑 | 벡스
역병의 보석,C,4.41,-0.09,12.0%,2234,0.4%,아우렐리온 솔 | 벡스 | 카르마 | 빅토르 | 르블랑
루덴의 폭풍,C,4.41,-0.09,11.5%,2009,0.4%,카르마 | 나미 | 아우렐리온 솔 | 빅토르 | 트위스티드 페이트
황혼의 방패,C,4.41,-0.09,12.2%,2752,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 일라오이 | 탐 켄치 | 람머스
데마시아의 왕관,C,4.44,-0.06,9.7%,2824,0.5%,르블랑 | 벡스 | 아우렐리온 솔 | 카이사 | 자야
새벽의 방패,C,4.46,-0.04,13.0%,2776,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 탐 켄치 | 일라오이
소라카의 기적,C,4.46,-0.04,12.0%,7401,1.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
승천의 부적,C,4.48,-0.02,11.1%,1753,0.3%,아우렐리온 솔 | 거대 메크 로봇 | 초가스 | 누누와 윌럼프 | 블리츠크랭크
바루스의 집착,C,4.49,-0.01,11.5%,4971,0.9%,아우렐리온 솔 | 르블랑 | 벡스 | 빅토르 | 킨드레드
저격수의 집중,C,4.50,-0.00,11.7%,2698,0.5%,아우렐리온 솔 | 벡스 | 킨드레드 | 르블랑 | 자야
새벽심장,D,4.54,+0.04,11.8%,2502,0.5%,나미 | 카르마 | 아우렐리온 솔 | 바드 | 이즈리얼
쓰레쉬의 랜턴,D,4.61,+0.11,10.4%,4324,0.8%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 거대 메크 로봇
야스오의 검술,D,4.78,+0.28,8.4%,3527,0.7%,킨드레드 | 자야 | 그레이브즈 | 마스터 이 | 벨베스
케일의 승천,D,4.99,+0.49,6.0%,4448,0.8%,아우렐리온 솔 | 르블랑 | 벡스 | 킨드레드 | 자야
