Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.97,-2.53,59.3%,528,0.0%,벡스 | 르블랑 | 아우렐리온 솔 | 자야 | 킨드레드
거대한 히드라,S,4.07,-0.43,17.0%,4918,0.3%,리븐 | 피오라 | 우르곳 | 그레이브즈 | 마스터 이
아리의 오라,S,4.13,-0.37,14.1%,15739,1.1%,아우렐리온 솔 | 나미 | 카르마 | 빅토르 | 벡스
지평선의 초점,S,4.19,-0.31,15.3%,4718,0.3%,누누와 윌럼프 | 마오카이 | 꼬마 정령 | 라아스트 | 블리츠크랭크
라이트실드 문장,S,4.20,-0.30,14.0%,9323,0.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇 | 일라오이
거물의 갑옷,A,4.23,-0.27,14.4%,11206,0.8%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 탐 켄치 | 일라오이
무한한 삼위일체,A,4.23,-0.27,13.5%,11579,0.8%,리븐 | 피오라 | 마스터 이 | 아칼리 | 그레이브즈
은빛 여명,A,4.26,-0.24,13.7%,6689,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 라아스트 | 리븐
죽음의 저항,A,4.27,-0.23,14.5%,7397,0.5%,리븐 | 피오라 | 마스터 이 | 거대 메크 로봇 | 그레이브즈
불굴,A,4.27,-0.23,13.8%,12080,0.8%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이
마법사의 최후,A,4.28,-0.22,14.0%,6227,0.4%,르블랑 | 벡스 | 리븐 | 마스터 이 | 피즈
존야의 역설,B,4.31,-0.19,14.3%,6571,0.4%,아우렐리온 솔 | 블리츠크랭크 | 리븐 | 르블랑 | 피즈
황금 징수의 총,B,4.31,-0.19,14.0%,5942,0.4%,코르키 | 킨드레드 | 그레이브즈 | 진 | 자야
생선대가리,B,4.31,-0.19,13.0%,6293,0.4%,자야 | 킨드레드 | 그레이브즈 | 벨베스 | 코르키
에코의 인내,B,4.32,-0.18,14.1%,13707,0.9%,아우렐리온 솔 | 빅토르 | 조이 | 나미 | 카르마
스태틱의 단검,B,4.32,-0.18,13.0%,6898,0.5%,르블랑 | 벡스 | 트위스티드 페이트 | 킨드레드 | 나미
도박꾼의 칼날,B,4.32,-0.18,13.7%,8632,0.6%,벡스 | 르블랑 | 자야 | 킨드레드 | 바드
명멸검,B,4.33,-0.17,12.9%,11065,0.7%,벡스 | 르블랑 | 자야 | 킨드레드 | 벨베스
방한 장갑,B,4.33,-0.17,13.0%,7203,0.5%,리븐 | 마스터 이 | 피오라 | 벨베스 | 그레이브즈
리치베인,B,4.34,-0.16,12.1%,5741,0.4%,벡스 | 르블랑 | 카르마 | 피즈 | 나미
영원한 서약,B,4.34,-0.16,13.2%,5415,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
자객의 발톱,B,4.35,-0.15,12.6%,5363,0.4%,리븐 | 피오라 | 아칼리 | 마스터 이 | 우르곳
지옥불 손도끼,B,4.38,-0.12,13.0%,4474,0.3%,리븐 | 피오라 | 그레이브즈 | 마스터 이 | 우르곳
선체분쇄자,B,4.38,-0.12,12.2%,7162,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
공허 건틀릿,B,4.38,-0.12,12.5%,7021,0.5%,누누와 윌럼프 | 탐 켄치 | 거대 메크 로봇 | 람머스 | 일라오이
황혼의 방패,B,4.40,-0.10,12.1%,8328,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 일라오이 | 람머스 | 탐 켄치
이블린의 본능,B,4.40,-0.10,10.8%,15179,1.0%,벨베스 | 리븐 | 마스터 이 | 피오라 | 그레이브즈
고속 연사포,C,4.41,-0.09,11.7%,6446,0.4%,벨베스 | 마스터 이 | 그레이브즈 | 자야 | 르블랑
카파 주스,C,4.42,-0.08,14.0%,4231,0.3%,아우렐리온 솔 | 르블랑 | 벡스 | 킨드레드 | 빅토르
추적자의 팔목 보호대,C,4.43,-0.07,13.2%,7364,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 벡스 | 르블랑
새벽의 방패,C,4.43,-0.07,12.4%,7950,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 탐 켄치 | 일라오이
