Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.94,-2.56,58.5%,1005,0.0%,벡스 | 자야 | 아우렐리온 솔 | 킨드레드 | 르블랑
거대한 히드라,S,4.06,-0.44,16.5%,9253,0.3%,리븐 | 피오라 | 그레이브즈 | 우르곳 | 마스터 이
아리의 오라,S,4.16,-0.34,13.6%,28743,1.0%,아우렐리온 솔 | 나미 | 빅토르 | 카르마 | 벡스
라이트실드 문장,A,4.21,-0.29,13.9%,17472,0.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 거대 메크 로봇
지평선의 초점,A,4.22,-0.28,14.6%,8960,0.3%,누누와 윌럼프 | 마오카이 | 꼬마 정령 | 라아스트 | 블리츠크랭크
무한한 삼위일체,A,4.25,-0.25,13.3%,21041,0.8%,리븐 | 피오라 | 마스터 이 | 아칼리 | 벨베스
거물의 갑옷,A,4.25,-0.25,14.4%,20939,0.8%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
죽음의 저항,A,4.26,-0.24,14.4%,13909,0.5%,리븐 | 피오라 | 마스터 이 | 거대 메크 로봇 | 그레이브즈
불굴,A,4.26,-0.24,14.1%,22633,0.8%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
은빛 여명,A,4.27,-0.23,14.0%,12308,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 라아스트 | 리븐
황금 징수의 총,A,4.29,-0.21,13.8%,11257,0.4%,진 | 코르키 | 자야 | 킨드레드 | 그레이브즈
생선대가리,A,4.29,-0.21,12.9%,12194,0.4%,자야 | 킨드레드 | 벨베스 | 그레이브즈 | 진
에코의 인내,A,4.30,-0.20,14.0%,27056,1.0%,아우렐리온 솔 | 조이 | 빅토르 | 나미 | 카르마
마법사의 최후,B,4.31,-0.19,13.2%,11530,0.4%,벡스 | 르블랑 | 리븐 | 피즈 | 마스터 이
존야의 역설,B,4.33,-0.17,14.3%,12107,0.4%,아우렐리온 솔 | 블리츠크랭크 | 리븐 | 르블랑 | 피즈
스태틱의 단검,B,4.33,-0.17,12.9%,12747,0.5%,벡스 | 르블랑 | 티모 | 트위스티드 페이트 | 나미
영원한 서약,B,4.33,-0.17,13.4%,9992,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
도박꾼의 칼날,B,4.34,-0.16,13.5%,16153,0.6%,벡스 | 자야 | 르블랑 | 킨드레드 | 진
방한 장갑,B,4.34,-0.16,12.9%,13500,0.5%,벨베스 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
명멸검,B,4.35,-0.15,12.7%,20757,0.8%,벡스 | 자야 | 르블랑 | 킨드레드 | 벨베스
