Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.96,-2.54,57.2%,1811,0.0%,벡스 | 자야 | 킨드레드 | 아우렐리온 솔 | 진
거대한 히드라,S,4.07,-0.43,15.9%,15684,0.4%,우르곳 | 리븐 | 피오라 | 그레이브즈 | 벨베스
아리의 오라,S,4.19,-0.31,13.0%,45154,1.0%,아우렐리온 솔 | 나미 | 빅토르 | 카르마 | 벡스
죽음의 저항,A,4.22,-0.28,14.2%,22775,0.5%,리븐 | 피오라 | 마스터 이 | 아칼리 | 우르곳
라이트실드 문장,A,4.23,-0.27,13.9%,29379,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 거대 메크 로봇
지평선의 초점,A,4.24,-0.26,14.9%,15308,0.3%,누누와 윌럼프 | 마오카이 | 꼬마 정령 | 라아스트 | 블리츠크랭크
무한한 삼위일체,A,4.24,-0.26,13.3%,33940,0.8%,리븐 | 피오라 | 벨베스 | 아칼리 | 마스터 이
불굴,A,4.27,-0.23,14.2%,37444,0.8%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
에코의 인내,A,4.28,-0.22,13.7%,48541,1.1%,아우렐리온 솔 | 조이 | 빅토르 | 나미 | 카르마
은빛 여명,A,4.28,-0.22,14.1%,19657,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 라아스트 | 리븐
거물의 갑옷,A,4.28,-0.22,13.7%,34210,0.8%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
존야의 역설,A,4.28,-0.22,14.2%,18889,0.4%,아우렐리온 솔 | 블리츠크랭크 | 리븐 | 피즈 | 벡스
황금 징수의 총,A,4.30,-0.20,13.7%,19026,0.4%,자야 | 진 | 코르키 | 그레이브즈 | 킨드레드
생선대가리,B,4.31,-0.19,12.7%,21211,0.5%,자야 | 벨베스 | 킨드레드 | 진 | 그레이브즈
마법사의 최후,B,4.32,-0.18,12.9%,18443,0.4%,벡스 | 르블랑 | 리븐 | 피즈 | 티모
방한 장갑,B,4.33,-0.17,13.2%,22290,0.5%,벨베스 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
영원한 서약,B,4.33,-0.17,13.0%,16333,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
스태틱의 단검,B,4.34,-0.16,12.7%,20712,0.5%,벡스 | 르블랑 | 티모 | 나미 | 트위스티드 페이트
지옥불 손도끼,B,4.35,-0.15,13.4%,14133,0.3%,리븐 | 피오라 | 우르곳 | 그레이브즈 | 벨베스
도박꾼의 칼날,B,4.36,-0.14,13.0%,26665,0.6%,벡스 | 자야 | 르블랑 | 킨드레드 | 티모
공허 건틀릿,B,4.36,-0.14,12.9%,21831,0.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇 | 일라오이
이블린의 본능,B,4.36,-0.14,10.5%,51942,1.2%,벨베스 | 리븐 | 피오라 | 마스터 이 | 피즈
자객의 발톱,B,4.37,-0.13,11.7%,17039,0.4%,리븐 | 피오라 | 아칼리 | 우르곳 | 마스터 이
리치베인,B,4.38,-0.12,11.3%,17539,0.4%,벡스 | 피즈 | 나미 | 카르마 | 르블랑
명멸검,B,4.38,-0.12,12.6%,34558,0.8%,자야 | 벡스 | 르블랑 | 벨베스 | 킨드레드
카파 주스,B,4.38,-0.12,13.3%,13176,0.3%,아우렐리온 솔 | 벡스 | 자야 | 빅토르 | 르블랑
선체분쇄자,C,4.40,-0.10,12.5%,21242,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
