Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.97,-2.53,56.9%,2218,0.0%,벡스 | 아우렐리온 솔 | 진 | 르블랑 | 자야
거대한 히드라,S,4.08,-0.42,15.6%,18640,0.4%,우르곳 | 그레이브즈 | 피오라 | 벨베스 | 리븐
아리의 오라,S,4.19,-0.31,13.2%,51133,1.0%,아우렐리온 솔 | 나미 | 카르마 | 빅토르 | 트위스티드 페이트
죽음의 저항,A,4.21,-0.29,14.2%,26340,0.5%,리븐 | 피오라 | 우르곳 | 마스터 이 | 아칼리
라이트실드 문장,A,4.22,-0.28,14.1%,34361,0.7%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
지평선의 초점,A,4.23,-0.27,15.3%,17999,0.3%,누누와 윌럼프 | 마오카이 | 라아스트 | 꼬마 정령 | 블리츠크랭크
무한한 삼위일체,A,4.24,-0.26,13.3%,39628,0.8%,리븐 | 아칼리 | 우르곳 | 피오라 | 벨베스
존야의 역설,A,4.24,-0.26,14.5%,21416,0.4%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
불굴,A,4.26,-0.24,14.2%,43313,0.8%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
은빛 여명,A,4.27,-0.23,14.1%,22558,0.4%,거대 메크 로봇 | 누누와 윌럼프 | 우르곳 | 람머스 | 라아스트
에코의 인내,A,4.29,-0.21,13.6%,57092,1.1%,아우렐리온 솔 | 조이 | 빅토르 | 카르마 | 나미
거물의 갑옷,A,4.29,-0.21,13.5%,39359,0.8%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 레오나 | 일라오이
황금 징수의 총,B,4.30,-0.20,13.9%,22556,0.4%,자야 | 우르곳 | 진 | 그레이브즈 | 카이사
마법사의 최후,B,4.31,-0.19,12.8%,20970,0.4%,벡스 | 르블랑 | 리븐 | 티모 | 피즈
자객의 발톱,B,4.31,-0.19,12.5%,21052,0.4%,우르곳 | 아칼리 | 피오라 | 리븐 | 마스터 이
생선대가리,B,4.32,-0.18,12.7%,24871,0.5%,자야 | 벨베스 | 킨드레드 | 우르곳 | 카이사
방한 장갑,B,4.32,-0.18,13.1%,25839,0.5%,벨베스 | 우르곳 | 리븐 | 마스터 이 | 피오라
영원한 서약,B,4.33,-0.17,12.7%,19204,0.4%,아우렐리온 솔 | 나미 | 카르마 | 바드 | 빅토르
리치베인,B,4.34,-0.16,11.6%,20082,0.4%,카르마 | 벡스 | 나미 | 피즈 | 트위스티드 페이트
스태틱의 단검,B,4.34,-0.16,12.4%,23979,0.5%,벡스 | 르블랑 | 티모 | 나미 | 카르마
이블린의 본능,B,4.36,-0.14,10.4%,60958,1.2%,벨베스 | 리븐 | 마스터 이 | 우르곳 | 피오라
카파 주스,B,4.36,-0.14,13.3%,15254,0.3%,아우렐리온 솔 | 자야 | 벡스 | 킨드레드 | 르블랑
공허 건틀릿,B,4.37,-0.13,12.8%,25394,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 탐 켄치 | 람머스 | 일라오이
지옥불 손도끼,B,4.37,-0.13,12.9%,16683,0.3%,우르곳 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
도박꾼의 칼날,B,4.37,-0.13,12.8%,30859,0.6%,벡스 | 자야 | 르블랑 | 티모 | 킨드레드
선체분쇄자,C,4.40,-0.10,12.4%,24532,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
명멸검,C,4.40,-0.10,12.2%,40274,0.8%,자야 | 벡스 | 벨베스 | 르블랑 | 킨드레드
새벽의 방패,C,4.42,-0.08,11.8%,31364,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 탐 켄치 | 일라오이
황혼의 방패,C,4.43,-0.07,11.8%,29638,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
소라카의 기적,C,4.44,-0.06,11.9%,77523,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 잭스
추적자의 팔목 보호대,C,4.44,-0.06,12.3%,25690,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
역병의 보석,C,4.45,-0.05,11.8%,21771,0.4%,아우렐리온 솔 | 나미 | 벡스 | 카르마 | 빅토르
고속 연사포,C,4.45,-0.05,11.4%,24198,0.5%,벨베스 | 마스터 이 | 자야 | 우르곳 | 그레이브즈
루덴의 폭풍,C,4.47,-0.03,10.1%,22327,0.4%,트위스티드 페이트 | 나미 | 카르마 | 빅토르 | 아우렐리온 솔
데마시아의 왕관,C,4.49,-0.01,9.7%,25043,0.5%,자야 | 벡스 | 티모 | 카이사 | 르블랑
바루스의 집착,D,4.51,+0.01,10.6%,48294,0.9%,아우렐리온 솔 | 벡스 | 티모 | 자야 | 르블랑
저격수의 집중,D,4.51,+0.01,11.4%,28995,0.6%,자야 | 벡스 | 킨드레드 | 아우렐리온 솔 | 진
쓰레쉬의 랜턴,D,4.52,+0.02,11.0%,44282,0.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 거대 메크 로봇
승천의 부적,D,4.56,+0.06,10.2%,19461,0.4%,아우렐리온 솔 | 초가스 | 거대 메크 로봇 | 우르곳 | 블리츠크랭크
새벽심장,D,4.57,+0.07,10.6%,26743,0.5%,나미 | 카르마 | 아우렐리온 솔 | 이즈리얼 | 베이가
야스오의 검술,D,4.76,+0.26,8.6%,39825,0.8%,자야 | 우르곳 | 킨드레드 | 벨베스 | 그레이브즈
케일의 승천,D,4.97,+0.47,6.1%,49339,1.0%,자야 | 벡스 | 아우렐리온 솔 | 르블랑 | 킨드레드
