Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.99,-2.51,56.6%,2550,0.0%,벡스 | 아우렐리온 솔 | 자야 | 르블랑 | 진
거대한 히드라,S,4.10,-0.40,15.1%,22102,0.4%,우르곳 | 벨베스 | 그레이브즈 | 피오라 | 리븐
아리의 오라,S,4.19,-0.31,13.2%,56731,1.0%,아우렐리온 솔 | 나미 | 카르마 | 빅토르 | 트위스티드 페이트
죽음의 저항,S,4.20,-0.30,14.2%,29923,0.5%,리븐 | 우르곳 | 피오라 | 마스터 이 | 아칼리
라이트실드 문장,A,4.21,-0.29,14.2%,38971,0.7%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
지평선의 초점,A,4.23,-0.27,15.6%,20489,0.4%,누누와 윌럼프 | 마오카이 | 라아스트 | 꼬마 정령 | 블리츠크랭크
무한한 삼위일체,A,4.24,-0.26,13.3%,45042,0.8%,우르곳 | 리븐 | 아칼리 | 피오라 | 벨베스
자객의 발톱,A,4.24,-0.26,13.7%,26213,0.5%,우르곳 | 아칼리 | 피오라 | 리븐 | 마스터 이
존야의 역설,A,4.25,-0.25,14.6%,23887,0.4%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
은빛 여명,A,4.25,-0.25,14.1%,25566,0.4%,거대 메크 로봇 | 우르곳 | 누누와 윌럼프 | 라아스트 | 람머스
불굴,A,4.27,-0.23,14.1%,48417,0.8%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 마오카이
황금 징수의 총,A,4.27,-0.23,14.2%,26307,0.5%,우르곳 | 자야 | 진 | 카이사 | 그레이브즈
거물의 갑옷,A,4.28,-0.22,13.7%,44012,0.8%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 레오나 | 일라오이
에코의 인내,A,4.30,-0.20,13.5%,63737,1.1%,아우렐리온 솔 | 조이 | 빅토르 | 나미 | 카르마
생선대가리,B,4.31,-0.19,12.8%,28454,0.5%,자야 | 벨베스 | 우르곳 | 킨드레드 | 카이사
마법사의 최후,B,4.33,-0.17,12.7%,23254,0.4%,벡스 | 르블랑 | 리븐 | 티모 | 피즈
방한 장갑,B,4.33,-0.17,13.1%,29280,0.5%,벨베스 | 우르곳 | 리븐 | 마스터 이 | 피오라
스태틱의 단검,B,4.34,-0.16,12.3%,26754,0.5%,벡스 | 르블랑 | 티모 | 나미 | 카르마
영원한 서약,B,4.34,-0.16,12.4%,21969,0.4%,아우렐리온 솔 | 나미 | 카르마 | 빅토르 | 바드
리치베인,B,4.34,-0.16,11.9%,22534,0.4%,카르마 | 피즈 | 벡스 | 나미 | 트위스티드 페이트
이블린의 본능,B,4.35,-0.15,10.2%,71723,1.2%,벨베스 | 우르곳 | 리븐 | 마스터 이 | 피오라
공허 건틀릿,B,4.36,-0.14,12.9%,28774,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 탐 켄치 | 마오카이
지옥불 손도끼,B,4.37,-0.13,12.5%,19305,0.3%,우르곳 | 피오라 | 리븐 | 그레이브즈 | 벨베스
도박꾼의 칼날,B,4.37,-0.13,12.8%,34562,0.6%,벡스 | 자야 | 티모 | 르블랑 | 킨드레드
카파 주스,B,4.38,-0.12,13.3%,17135,0.3%,아우렐리온 솔 | 자야 | 벡스 | 킨드레드 | 나미
선체분쇄자,B,4.39,-0.11,12.7%,27758,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
새벽의 방패,C,4.40,-0.10,12.2%,36026,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 탐 켄치 | 마오카이
명멸검,C,4.41,-0.09,12.1%,45323,0.8%,자야 | 벡스 | 벨베스 | 르블랑 | 킨드레드
황혼의 방패,C,4.42,-0.08,11.8%,33474,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
소라카의 기적,C,4.43,-0.07,12.0%,87337,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 잭스
고속 연사포,C,4.43,-0.07,11.6%,27832,0.5%,벨베스 | 우르곳 | 마스터 이 | 자야 | 그레이브즈
추적자의 팔목 보호대,C,4.45,-0.05,12.3%,28726,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
역병의 보석,C,4.46,-0.04,11.4%,24509,0.4%,아우렐리온 솔 | 나미 | 카르마 | 벡스 | 빅토르
루덴의 폭풍,C,4.48,-0.02,9.9%,25342,0.4%,트위스티드 페이트 | 나미 | 카르마 | 빅토르 | 아우렐리온 솔
데마시아의 왕관,C,4.48,-0.02,9.8%,27523,0.5%,자야 | 티모 | 벡스 | 카이사 | 트위스티드 페이트
저격수의 집중,D,4.51,+0.01,11.3%,32404,0.6%,자야 | 벡스 | 진 | 킨드레드 | 아우렐리온 솔
바루스의 집착,D,4.51,+0.01,10.6%,53350,0.9%,아우렐리온 솔 | 티모 | 벡스 | 자야 | 르블랑
쓰레쉬의 랜턴,D,4.52,+0.02,10.9%,49964,0.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
승천의 부적,D,4.55,+0.05,10.3%,22416,0.4%,초가스 | 아우렐리온 솔 | 거대 메크 로봇 | 우르곳 | 누누와 윌럼프
새벽심장,D,4.58,+0.08,10.3%,30106,0.5%,나미 | 카르마 | 이즈리얼 | 아우렐리온 솔 | 베이가
야스오의 검술,D,4.75,+0.25,8.7%,46193,0.8%,우르곳 | 자야 | 킨드레드 | 벨베스 | 그레이브즈
케일의 승천,D,4.97,+0.47,6.1%,56410,1.0%,자야 | 벡스 | 아우렐리온 솔 | 르블랑 | 킨드레드
