Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,2.00,-2.50,56.3%,2823,0.0%,벡스 | 자야 | 아우렐리온 솔 | 티모 | 트위스티드 페이트
거대한 히드라,S,4.10,-0.40,15.0%,25660,0.4%,우르곳 | 벨베스 | 그레이브즈 | 피오라 | 리븐
자객의 발톱,S,4.18,-0.32,14.6%,32301,0.5%,우르곳 | 리븐 | 아칼리 | 피오라 | 마스터 이
죽음의 저항,S,4.19,-0.31,14.3%,33422,0.5%,우르곳 | 리븐 | 피오라 | 마스터 이 | 아칼리
아리의 오라,S,4.20,-0.30,13.1%,61542,1.0%,아우렐리온 솔 | 나미 | 빅토르 | 카르마 | 오로라
지평선의 초점,A,4.21,-0.29,16.0%,23112,0.4%,누누와 윌럼프 | 마오카이 | 라아스트 | 꼬마 정령 | 잭스
라이트실드 문장,A,4.21,-0.29,14.2%,42929,0.7%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
무한한 삼위일체,A,4.23,-0.27,13.3%,50596,0.8%,우르곳 | 리븐 | 벨베스 | 아칼리 | 피오라
불굴,A,4.25,-0.25,14.2%,52690,0.8%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 마오카이 | 일라오이
존야의 역설,A,4.25,-0.25,14.7%,25911,0.4%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
은빛 여명,A,4.26,-0.24,14.1%,28336,0.4%,거대 메크 로봇 | 우르곳 | 누누와 윌럼프 | 라아스트 | 람머스
황금 징수의 총,A,4.26,-0.24,14.6%,29649,0.5%,우르곳 | 자야 | 진 | 카이사 | 그레이브즈
거물의 갑옷,A,4.28,-0.22,13.8%,47785,0.8%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 레오나 | 일라오이
생선대가리,A,4.29,-0.21,13.1%,31916,0.5%,자야 | 우르곳 | 벨베스 | 킨드레드 | 카이사
에코의 인내,B,4.32,-0.18,13.2%,68219,1.1%,아우렐리온 솔 | 조이 | 빅토르 | 나미 | 카르마
방한 장갑,B,4.32,-0.18,12.9%,32593,0.5%,우르곳 | 벨베스 | 리븐 | 피오라 | 마스터 이
영원한 서약,B,4.32,-0.18,12.6%,24253,0.4%,아우렐리온 솔 | 나미 | 카르마 | 오로라 | 빅토르
마법사의 최후,B,4.33,-0.17,12.5%,25348,0.4%,벡스 | 리븐 | 르블랑 | 티모 | 피즈
리치베인,B,4.33,-0.17,11.7%,24912,0.4%,피즈 | 카르마 | 벡스 | 나미 | 트위스티드 페이트
이블린의 본능,B,4.35,-0.15,10.2%,83426,1.3%,벨베스 | 우르곳 | 리븐 | 마스터 이 | 피오라
공허 건틀릿,B,4.35,-0.15,13.0%,31807,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 마오카이 | 탐 켄치 | 람머스
스태틱의 단검,B,4.36,-0.14,12.2%,29074,0.5%,벡스 | 르블랑 | 티모 | 나미 | 카르마
도박꾼의 칼날,B,4.37,-0.13,12.7%,37730,0.6%,벡스 | 자야 | 티모 | 르블랑 | 킨드레드
선체분쇄자,B,4.37,-0.13,12.9%,30501,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 마오카이
지옥불 손도끼,B,4.37,-0.13,12.0%,22028,0.3%,우르곳 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
새벽의 방패,B,4.38,-0.12,12.4%,40027,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마오카이 | 탐 켄치
