Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,2.02,-2.48,55.4%,2996,0.0%,벡스 | 자야 | 진 | 아우렐리온 솔 | 티모
거대한 히드라,S,4.10,-0.40,14.8%,29666,0.4%,우르곳 | 벨베스 | 그레이브즈 | 피오라 | 리븐
자객의 발톱,S,4.13,-0.37,15.1%,38496,0.6%,우르곳 | 리븐 | 피오라 | 아칼리 | 마스터 이
죽음의 저항,S,4.19,-0.31,14.2%,36993,0.5%,우르곳 | 리븐 | 피오라 | 브라이어 | 마스터 이
라이트실드 문장,A,4.20,-0.30,14.3%,46901,0.7%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
아리의 오라,A,4.21,-0.29,13.0%,67186,1.0%,아우렐리온 솔 | 나미 | 빅토르 | 카르마 | 오로라
지평선의 초점,A,4.23,-0.27,15.8%,25597,0.4%,누누와 윌럼프 | 마오카이 | 라아스트 | 꼬마 정령 | 잭스
무한한 삼위일체,A,4.23,-0.27,13.3%,56494,0.8%,우르곳 | 벨베스 | 리븐 | 피오라 | 브라이어
황금 징수의 총,A,4.24,-0.26,14.7%,33048,0.5%,우르곳 | 자야 | 진 | 카이사 | 킨드레드
불굴,A,4.25,-0.25,14.4%,57487,0.8%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마오카이 | 일라오이
존야의 역설,A,4.26,-0.24,14.4%,27779,0.4%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 오로라
거물의 갑옷,A,4.26,-0.24,13.8%,51881,0.8%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 레오나 | 일라오이
은빛 여명,A,4.27,-0.23,14.1%,30809,0.4%,거대 메크 로봇 | 우르곳 | 누누와 윌럼프 | 라아스트 | 람머스
생선대가리,A,4.27,-0.23,13.3%,35707,0.5%,우르곳 | 자야 | 벨베스 | 킨드레드 | 카이사
에코의 인내,B,4.31,-0.19,13.2%,72267,1.0%,아우렐리온 솔 | 조이 | 빅토르 | 나미 | 카르마
영원한 서약,B,4.32,-0.18,12.6%,26367,0.4%,아우렐리온 솔 | 카르마 | 나미 | 오로라 | 빅토르
방한 장갑,B,4.33,-0.17,12.5%,35975,0.5%,우르곳 | 벨베스 | 리븐 | 마스터 이 | 피오라
공허 건틀릿,B,4.34,-0.16,13.3%,34686,0.5%,누누와 윌럼프 | 거대 메크 로봇 | 마오카이 | 람머스 | 탐 켄치
마법사의 최후,B,4.34,-0.16,12.2%,27612,0.4%,벡스 | 티모 | 리븐 | 르블랑 | 벨베스
이블린의 본능,B,4.35,-0.15,10.2%,95927,1.4%,벨베스 | 우르곳 | 리븐 | 마스터 이 | 피오라
리치베인,B,4.36,-0.14,11.5%,27267,0.4%,피즈 | 카르마 | 벡스 | 트위스티드 페이트 | 나미
스태틱의 단검,B,4.36,-0.14,12.2%,31403,0.5%,벡스 | 티모 | 르블랑 | 나미 | 킨드레드
새벽의 방패,B,4.37,-0.13,12.5%,44341,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마오카이 | 탐 켄치
지옥불 손도끼,B,4.37,-0.13,11.8%,24973,0.4%,우르곳 | 브라이어 | 리븐 | 피오라 | 벨베스
도박꾼의 칼날,B,4.38,-0.12,12.5%,40919,0.6%,벡스 | 자야 | 티모 | 르블랑 | 킨드레드
선체분쇄자,B,4.38,-0.12,12.8%,32934,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 마오카이
명멸검,B,4.39,-0.11,12.1%,54479,0.8%,자야 | 벡스 | 벨베스 | 킨드레드 | 티모
카파 주스,C,4.40,-0.10,13.3%,20397,0.3%,아우렐리온 솔 | 자야 | 벡스 | 진 | 오로라
소라카의 기적,C,4.42,-0.08,12.2%,106495,1.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 잭스
황혼의 방패,C,4.42,-0.08,12.1%,40208,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
역병의 보석,C,4.43,-0.07,11.2%,29326,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 벡스
고속 연사포,C,4.44,-0.06,11.6%,35523,0.5%,벨베스 | 우르곳 | 마스터 이 | 자야 | 그레이브즈
루덴의 폭풍,C,4.45,-0.05,10.2%,30960,0.4%,트위스티드 페이트 | 오로라 | 나미 | 카르마 | 빅토르
추적자의 팔목 보호대,C,4.49,-0.01,12.0%,33431,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
바루스의 집착,C,4.49,-0.01,10.7%,62343,0.9%,아우렐리온 솔 | 티모 | 자야 | 벡스 | 트위스티드 페이트
쓰레쉬의 랜턴,C,4.50,-0.00,10.9%,59478,0.9%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 마오카이
데마시아의 왕관,D,4.50,+0.00,9.7%,31484,0.5%,자야 | 티모 | 벡스 | 카이사 | 트위스티드 페이트
저격수의 집중,D,4.51,+0.01,11.5%,38888,0.6%,자야 | 진 | 킨드레드 | 벡스 | 카이사
승천의 부적,D,4.54,+0.04,10.6%,27332,0.4%,거대 메크 로봇 | 초가스 | 우르곳 | 아우렐리온 솔 | 누누와 윌럼프
