Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,2.01,-2.49,55.2%,3220,0.0%,벡스 | 티모 | 자야 | 트위스티드 페이트 | 오로라
거대한 히드라,S,4.09,-0.41,15.1%,34094,0.5%,우르곳 | 벨베스 | 그레이브즈 | 브라이어 | 자야
자객의 발톱,S,4.12,-0.38,15.2%,44602,0.6%,우르곳 | 리븐 | 피오라 | 브라이어 | 아칼리
죽음의 저항,S,4.19,-0.31,14.2%,40819,0.6%,우르곳 | 리븐 | 피오라 | 브라이어 | 마스터 이
라이트실드 문장,S,4.20,-0.30,14.2%,50488,0.7%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 일라오이
아리의 오라,A,4.22,-0.28,12.8%,72529,1.0%,아우렐리온 솔 | 나미 | 빅토르 | 오로라 | 카르마
무한한 삼위일체,A,4.22,-0.28,13.3%,61487,0.8%,우르곳 | 벨베스 | 리븐 | 브라이어 | 피오라
존야의 역설,A,4.24,-0.26,14.6%,29605,0.4%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 오로라 | 피즈
불굴,A,4.24,-0.26,14.3%,61976,0.8%,누누와 윌럼프 | 거대 메크 로봇 | 마오카이 | 람머스 | 일라오이
지평선의 초점,A,4.24,-0.26,15.8%,28001,0.4%,누누와 윌럼프 | 마오카이 | 라아스트 | 꼬마 정령 | 잭스
황금 징수의 총,A,4.25,-0.25,14.4%,36089,0.5%,우르곳 | 자야 | 진 | 카이사 | 벨베스
생선대가리,A,4.26,-0.24,13.4%,39153,0.5%,우르곳 | 자야 | 벨베스 | 킨드레드 | 진
거물의 갑옷,A,4.27,-0.23,13.6%,55870,0.8%,누누와 윌럼프 | 람머스 | 레오나 | 거대 메크 로봇 | 일라오이
에코의 인내,B,4.31,-0.19,13.2%,76906,1.0%,아우렐리온 솔 | 조이 | 빅토르 | 나미 | 카르마
은빛 여명,B,4.31,-0.19,13.7%,32641,0.4%,거대 메크 로봇 | 우르곳 | 누누와 윌럼프 | 라아스트 | 람머스
영원한 서약,B,4.32,-0.18,12.5%,27863,0.4%,아우렐리온 솔 | 카르마 | 오로라 | 나미 | 빅토르
방한 장갑,B,4.33,-0.17,12.2%,38979,0.5%,우르곳 | 벨베스 | 리븐 | 피오라 | 마스터 이
마법사의 최후,B,4.34,-0.16,12.0%,29818,0.4%,벡스 | 티모 | 리븐 | 르블랑 | 벨베스
공허 건틀릿,B,4.34,-0.16,13.4%,37285,0.5%,누누와 윌럼프 | 마오카이 | 거대 메크 로봇 | 람머스 | 탐 켄치
이블린의 본능,B,4.36,-0.14,10.1%,106422,1.4%,벨베스 | 우르곳 | 리븐 | 마스터 이 | 피오라
새벽의 방패,B,4.36,-0.14,12.5%,48308,0.7%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마오카이 | 탐 켄치
리치베인,B,4.36,-0.14,11.3%,29541,0.4%,피즈 | 카르마 | 벡스 | 트위스티드 페이트 | 오로라
스태틱의 단검,B,4.37,-0.13,12.1%,33826,0.5%,벡스 | 티모 | 르블랑 | 나미 | 킨드레드
지옥불 손도끼,B,4.37,-0.13,11.7%,27922,0.4%,우르곳 | 브라이어 | 리븐 | 피오라 | 마스터 이
도박꾼의 칼날,B,4.38,-0.12,12.4%,43965,0.6%,벡스 | 자야 | 티모 | 킨드레드 | 르블랑
카파 주스,B,4.39,-0.11,13.3%,22432,0.3%,자야 | 아우렐리온 솔 | 오로라 | 벡스 | 진
선체분쇄자,B,4.39,-0.11,12.5%,35135,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 마오카이 | 일라오이
명멸검,C,4.40,-0.10,12.0%,59609,0.8%,자야 | 벡스 | 벨베스 | 티모 | 킨드레드
역병의 보석,C,4.42,-0.08,11.3%,31429,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
황혼의 방패,C,4.42,-0.08,12.0%,43241,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 마오카이
소라카의 기적,C,4.42,-0.08,12.3%,115394,1.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 마오카이
고속 연사포,C,4.43,-0.07,11.7%,38887,0.5%,벨베스 | 우르곳 | 마스터 이 | 자야 | 그레이브즈
루덴의 폭풍,C,4.45,-0.05,10.3%,33917,0.5%,트위스티드 페이트 | 오로라 | 나미 | 카르마 | 빅토르
바루스의 집착,C,4.49,-0.01,10.7%,66607,0.9%,티모 | 아우렐리온 솔 | 자야 | 벡스 | 트위스티드 페이트
쓰레쉬의 랜턴,C,4.49,-0.01,11.1%,64208,0.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
추적자의 팔목 보호대,C,4.50,-0.00,11.8%,35881,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
저격수의 집중,D,4.52,+0.02,11.5%,42016,0.6%,자야 | 진 | 킨드레드 | 벡스 | 카이사
데마시아의 왕관,D,4.53,+0.03,9.5%,33399,0.5%,티모 | 자야 | 카이사 | 벡스 | 트위스티드 페이트
승천의 부적,D,4.56,+0.06,10.5%,29684,0.4%,거대 메크 로봇 | 초가스 | 우르곳 | 아우렐리온 솔 | 누누와 윌럼프
새벽심장,D,4.58,+0.08,10.2%,38474,0.5%,나미 | 카르마 | 오로라 | 이즈리얼 | 카이사
야스오의 검술,D,4.72,+0.22,8.8%,63925,0.9%,우르곳 | 자야 | 벨베스 | 킨드레드 | 그레이브즈
케일의 승천,D,4.96,+0.46,6.2%,71903,1.0%,자야 | 벡스 | 티모 | 킨드레드 | 르블랑
