Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,2.02,-2.48,54.3%,3425,0.0%,벡스 | 티모 | 진 | 오로라 | 자야
거대한 히드라,S,4.08,-0.42,15.2%,37897,0.5%,우르곳 | 자야 | 벨베스 | 브라이어 | 그레이브즈
자객의 발톱,S,4.10,-0.40,15.4%,48674,0.6%,우르곳 | 리븐 | 피오라 | 브라이어 | 마스터 이
죽음의 저항,S,4.19,-0.31,14.1%,43331,0.6%,우르곳 | 리븐 | 브라이어 | 피오라 | 마스터 이
라이트실드 문장,S,4.19,-0.31,14.3%,52581,0.7%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 마오카이
아리의 오라,A,4.22,-0.28,12.7%,76231,1.0%,아우렐리온 솔 | 나미 | 오로라 | 빅토르 | 카르마
무한한 삼위일체,A,4.24,-0.26,13.0%,64390,0.8%,우르곳 | 벨베스 | 리븐 | 브라이어 | 피오라
불굴,A,4.24,-0.26,14.3%,64978,0.9%,누누와 윌럼프 | 거대 메크 로봇 | 마오카이 | 람머스 | 일라오이
존야의 역설,A,4.24,-0.26,14.5%,30721,0.4%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 오로라 | 피즈
생선대가리,A,4.25,-0.25,13.5%,41717,0.5%,우르곳 | 벨베스 | 자야 | 킨드레드 | 진
지평선의 초점,A,4.25,-0.25,15.6%,29432,0.4%,누누와 윌럼프 | 마오카이 | 라아스트 | 꼬마 정령 | 렉사이
거물의 갑옷,A,4.25,-0.25,13.6%,58221,0.8%,누누와 윌럼프 | 람머스 | 레오나 | 거대 메크 로봇 | 일라오이
황금 징수의 총,A,4.27,-0.23,14.1%,38093,0.5%,우르곳 | 자야 | 진 | 카이사 | 벨베스
에코의 인내,B,4.31,-0.19,13.2%,80015,1.0%,아우렐리온 솔 | 조이 | 빅토르 | 오로라 | 나미
은빛 여명,B,4.32,-0.18,13.6%,33322,0.4%,거대 메크 로봇 | 우르곳 | 라아스트 | 누누와 윌럼프 | 람머스
영원한 서약,B,4.33,-0.17,12.5%,29094,0.4%,아우렐리온 솔 | 오로라 | 카르마 | 나미 | 빅토르
공허 건틀릿,B,4.33,-0.17,13.4%,38887,0.5%,누누와 윌럼프 | 마오카이 | 거대 메크 로봇 | 람머스 | 탐 켄치
방한 장갑,B,4.35,-0.15,12.0%,40739,0.5%,우르곳 | 벨베스 | 리븐 | 마스터 이 | 피오라
스태틱의 단검,B,4.35,-0.15,11.9%,35391,0.5%,벡스 | 티모 | 르블랑 | 나미 | 오로라
마법사의 최후,B,4.35,-0.15,11.7%,31261,0.4%,벡스 | 티모 | 리븐 | 르블랑 | 벨베스
리치베인,B,4.36,-0.14,11.5%,30782,0.4%,피즈 | 카르마 | 벡스 | 오로라 | 트위스티드 페이트
이블린의 본능,B,4.37,-0.13,10.0%,113538,1.5%,벨베스 | 우르곳 | 리븐 | 마스터 이 | 피오라
지옥불 손도끼,B,4.37,-0.13,11.8%,29784,0.4%,우르곳 | 브라이어 | 리븐 | 피오라 | 마스터 이
도박꾼의 칼날,B,4.38,-0.12,12.3%,45851,0.6%,벡스 | 자야 | 티모 | 킨드레드 | 르블랑
새벽의 방패,B,4.38,-0.12,12.4%,50907,0.7%,누누와 윌럼프 | 마오카이 | 거대 메크 로봇 | 람머스 | 탐 켄치
카파 주스,B,4.38,-0.12,13.2%,23731,0.3%,자야 | 아우렐리온 솔 | 오로라 | 벡스 | 우르곳
선체분쇄자,B,4.39,-0.11,12.4%,36486,0.5%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 마오카이 | 일라오이
명멸검,C,4.41,-0.09,12.0%,62818,0.8%,자야 | 벡스 | 벨베스 | 티모 | 킨드레드
황혼의 방패,C,4.41,-0.09,12.1%,45073,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 마오카이
소라카의 기적,C,4.42,-0.08,12.4%,121074,1.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마오카이 | 일라오이
고속 연사포,C,4.42,-0.08,11.9%,41328,0.5%,벨베스 | 우르곳 | 마스터 이 | 자야 | 그레이브즈
역병의 보석,C,4.43,-0.07,11.2%,33238,0.4%,아우렐리온 솔 | 카르마 | 나미 | 빅토르 | 바드
루덴의 폭풍,C,4.46,-0.04,10.4%,35550,0.5%,트위스티드 페이트 | 오로라 | 나미 | 카르마 | 빅토르
바루스의 집착,C,4.48,-0.02,10.7%,69437,0.9%,티모 | 아우렐리온 솔 | 자야 | 벡스 | 트위스티드 페이트
쓰레쉬의 랜턴,C,4.49,-0.01,11.1%,67051,0.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
추적자의 팔목 보호대,D,4.52,+0.02,11.7%,37476,0.5%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
저격수의 집중,D,4.53,+0.03,11.4%,44119,0.6%,자야 | 진 | 킨드레드 | 벡스 | 오로라
데마시아의 왕관,D,4.54,+0.04,9.5%,35151,0.5%,티모 | 자야 | 벡스 | 카이사 | 트위스티드 페이트
승천의 부적,D,4.56,+0.06,10.3%,31626,0.4%,거대 메크 로봇 | 우르곳 | 초가스 | 아우렐리온 솔 | 누누와 윌럼프
새벽심장,D,4.57,+0.07,10.2%,40529,0.5%,나미 | 카르마 | 오로라 | 이즈리얼 | 카이사
야스오의 검술,D,4.71,+0.21,8.8%,67841,0.9%,우르곳 | 자야 | 벨베스 | 킨드레드 | 그레이브즈
케일의 승천,D,4.95,+0.45,6.2%,75587,1.0%,자야 | 벡스 | 티모 | 킨드레드 | 르블랑
