Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
지평선의 초점,S,4.03,-0.47,17.9%,268,0.6%,누누와 윌럼프 | 마오카이 | 라아스트 | 꼬마 정령 | 렉사이
거대한 히드라,S,4.03,-0.47,16.2%,421,0.9%,우르곳 | 자야 | 브라이어 | 벨베스 | 그레이브즈
은빛 여명,S,4.04,-0.46,17.8%,321,0.7%,거대 메크 로봇 | 우르곳 | 라아스트 | 누누와 윌럼프 | 람머스
이블린의 본능,S,4.19,-0.31,11.0%,1003,2.2%,벨베스 | 우르곳 | 마스터 이 | 리븐 | 피오라
거물의 갑옷,S,4.20,-0.30,14.2%,430,0.9%,누누와 윌럼프 | 람머스 | 레오나 | 거대 메크 로봇 | 탐 켄치
추적자의 팔목 보호대,A,4.21,-0.29,15.1%,292,0.6%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 피즈 | 벡스
라이트실드 문장,A,4.22,-0.28,14.8%,452,1.0%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 탐 켄치 | 마오카이
카파 주스,A,4.22,-0.28,19.7%,244,0.5%,자야 | 아우렐리온 솔 | 벡스 | 오로라 | 킨드레드
무한한 삼위일체,A,4.24,-0.26,13.4%,686,1.5%,우르곳 | 벨베스 | 리븐 | 마스터 이 | 브라이어
저격수의 집중,A,4.25,-0.25,14.5%,359,0.8%,자야 | 킨드레드 | 진 | 벡스 | 오로라
존야의 역설,A,4.29,-0.21,16.2%,303,0.7%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 오로라 | 피즈
새벽심장,A,4.30,-0.20,15.7%,324,0.7%,이즈리얼 | 카르마 | 나미 | 오로라 | 카이사
방한 장갑,B,4.30,-0.20,13.6%,457,1.0%,우르곳 | 벨베스 | 마스터 이 | 리븐 | 피오라
영원한 서약,B,4.31,-0.19,12.7%,275,0.6%,아우렐리온 솔 | 카르마 | 오로라 | 나미 | 바드
명멸검,B,4.31,-0.19,13.0%,537,1.2%,자야 | 벡스 | 벨베스 | 티모 | 킨드레드
공허 건틀릿,B,4.32,-0.18,15.7%,319,0.7%,누누와 윌럼프 | 마오카이 | 거대 메크 로봇 | 탐 켄치 | 람머스
리치베인,B,4.33,-0.17,10.2%,225,0.5%,카르마 | 벡스 | 트위스티드 페이트 | 오로라 | 피즈
불굴,B,4.34,-0.16,13.7%,586,1.3%,누누와 윌럼프 | 거대 메크 로봇 | 마오카이 | 람머스 | 탐 켄치
쓰레쉬의 랜턴,B,4.34,-0.16,12.8%,491,1.1%,누누와 윌럼프 | 람머스 | 탐 켄치 | 마오카이 | 일라오이
황금 징수의 총,B,4.34,-0.16,12.0%,366,0.8%,우르곳 | 진 | 자야 | 카이사 | 코르키
선체분쇄자,B,4.35,-0.15,14.2%,318,0.7%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 마오카이 | 잭스
생선대가리,B,4.36,-0.14,10.1%,445,1.0%,우르곳 | 벨베스 | 자야 | 킨드레드 | 진
황혼의 방패,B,4.37,-0.13,15.3%,333,0.7%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 마오카이
스태틱의 단검,B,4.37,-0.13,9.2%,273,0.6%,벡스 | 티모 | 르블랑 | 트위스티드 페이트 | 킨드레드
자객의 발톱,B,4.38,-0.12,12.9%,450,1.0%,우르곳 | 리븐 | 브라이어 | 피오라 | 마스터 이
에코의 인내,B,4.39,-0.11,14.9%,530,1.1%,아우렐리온 솔 | 조이 | 빅토르 | 오로라 | 카르마
새벽의 방패,C,4.41,-0.09,12.8%,352,0.8%,누누와 윌럼프 | 마오카이 | 거대 메크 로봇 | 람머스 | 탐 켄치
죽음의 저항,C,4.41,-0.09,10.8%,445,1.0%,우르곳 | 리븐 | 브라이어 | 피오라 | 마스터 이
소라카의 기적,C,4.41,-0.09,12.5%,1092,2.3%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 마오카이 | 잭스
도박꾼의 칼날,C,4.41,-0.09,11.8%,357,0.8%,벡스 | 자야 | 티모 | 킨드레드 | 르블랑
마법사의 최후,C,4.43,-0.07,12.6%,294,0.6%,벡스 | 티모 | 리븐 | 르블랑 | 벨베스
승천의 부적,C,4.46,-0.04,12.8%,179,0.4%,초가스 | 거대 메크 로봇 | 우르곳 | 마오카이 | 탐 켄치
고속 연사포,C,4.48,-0.02,12.0%,391,0.8%,벨베스 | 우르곳 | 마스터 이 | 자야 | 그레이브즈
아리의 오라,D,4.50,+0.00,11.9%,545,1.2%,아우렐리온 솔 | 오로라 | 나미 | 카르마 | 빅토르
지옥불 손도끼,D,4.55,+0.05,8.8%,294,0.6%,우르곳 | 브라이어 | 리븐 | 피오라 | 마스터 이
바루스의 집착,D,4.55,+0.05,10.9%,540,1.2%,티모 | 아우렐리온 솔 | 이즈리얼 | 자야 | 벡스
야스오의 검술,D,4.57,+0.07,10.9%,569,1.2%,우르곳 | 벨베스 | 자야 | 킨드레드 | 마스터 이
루덴의 폭풍,D,4.57,+0.07,10.7%,233,0.5%,트위스티드 페이트 | 오로라 | 카르마 | 나미 | 빅토르
데마시아의 왕관,D,4.71,+0.21,8.6%,370,0.8%,티모 | 자야 | 이즈리얼 | 트위스티드 페이트 | 초가스
역병의 보석,D,4.80,+0.30,11.6%,215,0.5%,아우렐리온 솔 | 카르마 | 바드 | 나미 | 빅토르
