Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
죽음의 저항,S,4.05,-0.45,16.1%,384,1.0%,우르곳 | 리븐 | 브라이어 | 피오라 | 마스터 이
거대한 히드라,S,4.09,-0.41,17.1%,334,0.9%,우르곳 | 자야 | 브라이어 | 마스터 이 | 벨베스
라이트실드 문장,S,4.10,-0.40,13.3%,391,1.0%,누누와 윌럼프 | 람머스 | 탐 켄치 | 거대 메크 로봇 | 마오카이
은빛 여명,S,4.13,-0.37,15.5%,238,0.6%,거대 메크 로봇 | 우르곳 | 라아스트 | 누누와 윌럼프 | 람머스
고속 연사포,S,4.13,-0.37,14.8%,331,0.9%,벨베스 | 우르곳 | 마스터 이 | 자야 | 킨드레드
무한한 삼위일체,A,4.24,-0.26,14.7%,577,1.5%,우르곳 | 마스터 이 | 리븐 | 벨베스 | 피오라
황혼의 방패,A,4.25,-0.25,15.4%,228,0.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
자객의 발톱,A,4.26,-0.24,14.6%,378,1.0%,우르곳 | 리븐 | 마스터 이 | 브라이어 | 피오라
방한 장갑,A,4.26,-0.24,13.7%,314,0.8%,우르곳 | 벨베스 | 마스터 이 | 리븐 | 피오라
생선대가리,A,4.28,-0.22,14.2%,337,0.9%,우르곳 | 벨베스 | 자야 | 킨드레드 | 카이사
거물의 갑옷,A,4.28,-0.22,14.2%,358,0.9%,누누와 윌럼프 | 레오나 | 람머스 | 탐 켄치 | 거대 메크 로봇
선체분쇄자,A,4.28,-0.22,14.7%,272,0.7%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 마오카이 | 잭스
스태틱의 단검,A,4.29,-0.21,14.9%,241,0.6%,벡스 | 티모 | 르블랑 | 킨드레드 | 트위스티드 페이트
도박꾼의 칼날,A,4.30,-0.20,14.2%,310,0.8%,벡스 | 자야 | 티모 | 킨드레드 | 르블랑
지평선의 초점,B,4.31,-0.19,17.3%,208,0.6%,누누와 윌럼프 | 마오카이 | 라아스트 | 렉사이 | 꼬마 정령
마법사의 최후,B,4.32,-0.18,11.6%,199,0.5%,티모 | 벡스 | 리븐 | 르블랑 | 벨베스
쓰레쉬의 랜턴,B,4.32,-0.18,12.9%,387,1.0%,누누와 윌럼프 | 탐 켄치 | 람머스 | 마오카이 | 일라오이
이블린의 본능,B,4.33,-0.17,11.2%,792,2.1%,벨베스 | 우르곳 | 마스터 이 | 리븐 | 피오라
새벽심장,B,4.35,-0.15,15.0%,301,0.8%,이즈리얼 | 카르마 | 오로라 | 나미 | 카이사
명멸검,B,4.37,-0.13,14.2%,451,1.2%,자야 | 킨드레드 | 벡스 | 티모 | 벨베스
지옥불 손도끼,B,4.38,-0.12,14.2%,240,0.6%,우르곳 | 브라이어 | 리븐 | 마스터 이 | 피오라
불굴,B,4.38,-0.12,15.7%,466,1.2%,누누와 윌럼프 | 거대 메크 로봇 | 마오카이 | 람머스 | 탐 켄치
데마시아의 왕관,B,4.39,-0.11,13.6%,317,0.8%,티모 | 이즈리얼 | 초가스 | 자야 | 트위스티드 페이트
저격수의 집중,B,4.39,-0.11,12.0%,276,0.7%,킨드레드 | 자야 | 진 | 벡스 | 카이사
에코의 인내,B,4.40,-0.10,15.3%,444,1.2%,조이 | 아우렐리온 솔 | 빅토르 | 카르마 | 오로라
공허 건틀릿,C,4.41,-0.09,13.5%,296,0.8%,마오카이 | 누누와 윌럼프 | 탐 켄치 | 거대 메크 로봇 | 람머스
존야의 역설,C,4.43,-0.07,13.9%,244,0.6%,아우렐리온 솔 | 리븐 | 블리츠크랭크 | 오로라 | 카르마
새벽의 방패,C,4.43,-0.07,13.6%,309,0.8%,누누와 윌럼프 | 람머스 | 마오카이 | 탐 켄치 | 거대 메크 로봇
아리의 오라,C,4.46,-0.04,11.4%,394,1.0%,아우렐리온 솔 | 카르마 | 오로라 | 나미 | 트위스티드 페이트
바루스의 집착,C,4.49,-0.01,10.6%,511,1.4%,티모 | 이즈리얼 | 아우렐리온 솔 | 트위스티드 페이트 | 킨드레드
리치베인,D,4.50,+0.00,11.5%,191,0.5%,카르마 | 트위스티드 페이트 | 벡스 | 피즈 | 티모
황금 징수의 총,D,4.51,+0.01,13.0%,277,0.7%,우르곳 | 코르키 | 진 | 킨드레드 | 자야
추적자의 팔목 보호대,D,4.52,+0.02,11.8%,229,0.6%,리븐 | 아우렐리온 솔 | 블리츠크랭크 | 피즈 | 벡스
소라카의 기적,D,4.54,+0.04,13.3%,847,2.2%,누누와 윌럼프 | 거대 메크 로봇 | 초가스 | 람머스 | 마오카이
루덴의 폭풍,D,4.56,+0.06,11.5%,191,0.5%,트위스티드 페이트 | 카르마 | 오로라 | 나미 | 빅토르
영원한 서약,D,4.57,+0.07,14.8%,196,0.5%,카르마 | 오로라 | 아우렐리온 솔 | 나미 | 트위스티드 페이트
카파 주스,D,4.61,+0.11,11.5%,157,0.4%,킨드레드 | 티모 | 이즈리얼 | 자야 | 벡스
야스오의 검술,D,4.73,+0.23,7.8%,372,1.0%,우르곳 | 킨드레드 | 벨베스 | 자야 | 마스터 이
승천의 부적,D,4.86,+0.36,9.9%,152,0.4%,초가스 | 거대 메크 로봇 | 우르곳 | 마오카이 | 탐 켄치
역병의 보석,D,4.92,+0.42,7.9%,203,0.5%,아우렐리온 솔 | 카르마 | 조이 | 바드 | 벡스
