Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
우주 그루브 상징,A,4.18,-0.21,16.8%,75214,5.0%,리븐 | 탐 켄치 | 쉔 | 누누와 윌럼프 | 그레이브즈
여행자 상징,B,4.18,-0.17,16.0%,27930,1.9%,일라오이 | 모데카이저 | 바드 | 블리츠크랭크 | 탐 켄치
불한당 상징,B,4.22,-0.15,14.3%,26234,1.8%,라아스트 | 카르마 | 블리츠크랭크 | 코르키 | 피오라
선봉대 상징,B,4.29,-0.13,14.8%,31742,2.1%,꼬마 정령 | 르블랑 | 탐 켄치 | 람머스 | 오른
시간 균열자 상징,B,4.26,-0.13,16.3%,22248,1.5%,블리츠크랭크 | 쉔 | 진 | 자야 | 탐 켄치
길잡이 상징,B,4.30,-0.11,14.0%,19488,1.3%,카르마 | 모데카이저 | 블리츠크랭크 | 레오나 | 누누와 윌럼프
암흑의 별 상징,C,4.39,-0.09,13.8%,27644,1.9%,자야 | 리븐 | 블리츠크랭크 | 바드 | 르블랑
N.O.V.A. 상징,C,4.44,-0.08,11.6%,60836,4.1%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 쉔
습격자 상징,C,4.38,-0.08,14.3%,19463,1.3%,킨드레드 | 그레이브즈 | 리븐 | 쉔 | 블리츠크랭크
요새 상징,C,4.42,-0.07,13.2%,27379,1.8%,누누와 윌럼프 | 탐 켄치 | 블리츠크랭크 | 리븐 | 마오카이
별돌보미 상징,C,4.46,-0.07,13.6%,60732,4.1%,진 | 리븐 | 쉔 | 람머스 | 모데카이저
태고족 상징,C,4.39,-0.07,12.2%,13089,0.9%,마오카이 | 탐 켄치 | 아칼리 | 아트록스 | 누누와 윌럼프
싸움꾼 상징,C,4.46,-0.06,12.9%,24230,1.6%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 리븐 | 오른
초능력 상징,C,4.58,-0.02,10.9%,19351,1.3%,피오라 | 일라오이 | 탐 켄치 | 블리츠크랭크 | 라아스트
정령족 상징,C,4.58,-0.02,14.8%,28829,1.9%,리븐 | 쉔 | 누누와 윌럼프 | 거대 메크 로봇 | 블리츠크랭크
저격수 상징,C,4.59,-0.01,13.2%,18724,1.3%,바드 | 그레이브즈 | 코르키 | 리븐 | 나미
도전자 상징,D,4.69,+0.02,10.2%,20431,1.4%,마스터 이 | 피오라 | 아칼리 | 그레이브즈 | 르블랑
중재자 상징,D,4.85,+0.07,9.0%,17976,1.2%,카르마 | 누누와 윌럼프 | 일라오이 | 블리츠크랭크 | 모데카이저
동물특공대 상징,D,5.37,+0.23,10.1%,12862,0.9%,모데카이저 | 꼬마 정령 | 탐 켄치 | 누누와 윌럼프 | 블리츠크랭크
