Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,3.13,-1.37,31.8%,214,0.5%,리산드라 | 카르마 | 밀리오 | 소나 | 아칼리
싸움꾼 상징,A,4.00,-0.27,18.4%,1719,3.7%,누누와 윌럼프 | 마스터 이 | 거대 메크 로봇 | 리븐 | 람머스
여행자 상징,A,4.08,-0.23,17.6%,1569,3.4%,라아스트 | 모데카이저 | 일라오이 | 마오카이 | 바드
암흑의 별 상징,A,4.18,-0.22,16.9%,2639,5.7%,자야 | 리븐 | 블리츠크랭크 | 이즈리얼 | 바드
불한당 상징,B,4.17,-0.20,14.5%,1644,3.5%,카르마 | 라아스트 | 코르키 | 벨베스 | 블리츠크랭크
습격자 상징,B,4.17,-0.19,15.5%,1403,3.0%,킨드레드 | 그레이브즈 | 리븐 | 브라이어 | 거대 메크 로봇
시간 균열자 상징,B,4.24,-0.17,17.1%,1620,3.5%,블리츠크랭크 | 진 | 코르키 | 자야 | 쉔
길잡이 상징,B,4.27,-0.14,13.9%,1170,2.5%,카르마 | 모데카이저 | 블리츠크랭크 | 누누와 윌럼프 | 바드
별돌보미 상징,B,4.34,-0.14,15.9%,2521,5.4%,진 | 리븐 | 람머스 | 바드 | 아트록스
요새 상징,B,4.35,-0.11,13.5%,1449,3.1%,누누와 윌럼프 | 탐 켄치 | 리븐 | 블리츠크랭크 | 마오카이
N.O.V.A. 상징,B,4.40,-0.11,12.9%,2238,4.8%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 브라이어
선봉대 상징,C,4.42,-0.09,13.5%,1740,3.7%,람머스 | 르블랑 | 꼬마 정령 | 탐 켄치 | 리븐
초능력 상징,C,4.43,-0.08,11.6%,1257,2.7%,피오라 | 일라오이 | 모데카이저 | 블리츠크랭크 | 탐 켄치
태고족 상징,C,4.46,-0.06,14.1%,924,2.0%,마오카이 | 탐 켄치 | 아칼리 | 누누와 윌럼프 | 모데카이저
정령족 상징,C,4.53,-0.04,15.0%,1586,3.4%,리븐 | 누누와 윌럼프 | 거대 메크 로봇 | 일라오이 | 블리츠크랭크
저격수 상징,C,4.59,-0.01,13.7%,1168,2.5%,바드 | 카르마 | 카이사 | 그레이브즈 | 코르키
도전자 상징,C,4.60,-0.01,11.2%,1252,2.7%,마스터 이 | 피오라 | 브라이어 | 아칼리 | 르블랑
전략가의 망토,C,4.38,-0.01,11.5%,391,0.8%,리산드라 | 카르마 | 나르 | 아칼리 | 밀리오
전략가의 방패,C,2.85,-0.00,30.8%,13,0.0%,모데카이저 | 아칼리 | 아트록스 | 꼬마 정령 | 리산드라
우주 그루브 상징,D,4.66,+0.02,11.5%,1682,3.6%,리븐 | 탐 켄치 | 누누와 윌럼프 | 쉔 | 판테온
중재자 상징,D,4.76,+0.05,11.0%,1034,2.2%,일라오이 | 카르마 | 모데카이저 | 누누와 윌럼프 | 나서스
동물특공대 상징,D,5.11,+0.17,10.3%,708,1.5%,모데카이저 | 탐 켄치 | 누누와 윌럼프 | 꼬마 정령 | 마오카이
