Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
전략가의 왕관,S,3.44,-1.06,26.2%,233,0.6%,리산드라 | 밀리오 | 카르마 | 아칼리 | 소나
싸움꾼 상징,A,3.99,-0.28,17.7%,1513,4.0%,마스터 이 | 누누와 윌럼프 | 리븐 | 거대 메크 로봇 | 피오라
습격자 상징,A,4.05,-0.24,17.1%,1196,3.2%,킨드레드 | 그레이브즈 | 리븐 | 브라이어 | 진
불한당 상징,A,4.17,-0.20,16.6%,1401,3.7%,코르키 | 카르마 | 벨베스 | 라아스트 | 진
암흑의 별 상징,B,4.25,-0.19,14.5%,2646,7.0%,자야 | 리븐 | 블리츠크랭크 | 이즈리얼 | 바드
여행자 상징,B,4.24,-0.17,14.5%,1261,3.3%,라아스트 | 모데카이저 | 일라오이 | 마오카이 | 바드
요새 상징,B,4.30,-0.14,13.5%,1283,3.4%,누누와 윌럼프 | 탐 켄치 | 리븐 | 마오카이 | 블리츠크랭크
N.O.V.A. 상징,B,4.33,-0.13,14.0%,1710,4.5%,마스터 이 | 피오라 | 벨베스 | 그레이브즈 | 우르곳
시간 균열자 상징,B,4.39,-0.10,14.1%,1387,3.7%,진 | 코르키 | 자야 | 블리츠크랭크 | 카이사
초능력 상징,C,4.41,-0.09,11.3%,1049,2.8%,피오라 | 탐 켄치 | 우르곳 | 일라오이 | 마오카이
별돌보미 상징,C,4.46,-0.08,15.9%,2131,5.6%,진 | 리븐 | 람머스 | 아트록스 | 케이틀린
태고족 상징,C,4.42,-0.08,11.4%,784,2.1%,마오카이 | 탐 켄치 | 아칼리 | 초가스 | 모데카이저
길잡이 상징,C,4.47,-0.06,12.4%,950,2.5%,카르마 | 모데카이저 | 누누와 윌럼프 | 블리츠크랭크 | 레오나
선봉대 상징,C,4.50,-0.05,13.4%,1459,3.9%,람머스 | 꼬마 정령 | 르블랑 | 탐 켄치 | 거대 메크 로봇
정령족 상징,C,4.55,-0.03,14.6%,1329,3.5%,리븐 | 거대 메크 로봇 | 누누와 윌럼프 | 일라오이 | 밀리오
저격수 상징,C,4.54,-0.03,14.7%,1020,2.7%,바드 | 카르마 | 카이사 | 코르키 | 그레이브즈
전략가의 망토,C,4.43,-0.01,13.6%,345,0.9%,리산드라 | 카르마 | 밀리오 | 나르 | 아칼리
도전자 상징,C,4.62,-0.00,11.0%,1118,3.0%,마스터 이 | 피오라 | 브라이어 | 아칼리 | 르블랑
전략가의 방패,C,4.22,-0.00,22.2%,9,0.0%,아칼리 | 아트록스 | 꼬마 정령 | 모데카이저 | 리산드라
우주 그루브 상징,D,4.74,+0.05,11.5%,1204,3.2%,리븐 | 탐 켄치 | 누누와 윌럼프 | 쉔 | 피오라
중재자 상징,D,4.92,+0.11,8.6%,874,2.3%,일라오이 | 카르마 | 모데카이저 | 누누와 윌럼프 | 나서스
동물특공대 상징,D,5.01,+0.13,12.5%,578,1.5%,모데카이저 | 탐 켄치 | 꼬마 정령 | 누누와 윌럼프 | 마오카이
