Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.31,14.2%,57630,38.7%,르블랑 | 킨드레드 | 진 | 코르키 | 벡스
보석 건틀릿,S,4.36,-0.31,13.4%,71570,48.1%,빅토르 | 나미 | 카르마 | 르블랑 | 아우렐리온 솔
도적의 장갑,A,4.09,-0.27,16.2%,44454,29.9%,쉔 | 블리츠크랭크 | 모데카이저 | 라아스트 | 꼬마 정령
태양불꽃 망토,A,4.38,-0.27,13.0%,64248,43.1%,람머스 | 누누와 윌럼프 | 오른 | 탐 켄치 | 일라오이
공허의 지팡이,A,4.18,-0.26,14.7%,47837,32.1%,카르마 | 나미 | 바드 | 아우렐리온 솔 | 벡스
가고일 돌갑옷,A,4.41,-0.26,13.1%,64767,43.5%,람머스 | 오른 | 거대 메크 로봇 | 누누와 윌럼프 | 일라오이
구인수의 격노검,A,4.50,-0.25,12.4%,74207,49.8%,킨드레드 | 르블랑 | 진 | 벡스 | 자야
워모그의 갑옷,A,4.21,-0.24,14.3%,45769,30.7%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 탐 켄치
수호자의 맹세,A,4.08,-0.24,15.6%,38389,25.8%,누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치 | 마오카이
정령의 형상,A,4.35,-0.22,13.0%,50237,33.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 오른 | 마오카이
타격대의 철퇴,A,4.13,-0.21,15.1%,36531,24.5%,카이사 | 킨드레드 | 코르키 | 진 | 미스 포츈
스테락의 도전,A,4.23,-0.21,15.7%,40688,27.3%,거대 메크 로봇 | 피오라 | 리븐 | 마스터 이
적응형 투구,A,4.02,-0.21,15.7%,32024,21.5%,카르마 | 바드 | 누누와 윌럼프 | 나미
쇼진의 창,B,4.30,-0.19,13.8%,40871,27.4%,카르마 | 나미 | 코르키 | 바드 | 카이사
정의의 손길,B,4.12,-0.18,15.4%,30605,20.6%,피오라 | 피즈 | 리븐 | 블리츠크랭크 | 아칼리
용의 발톱,B,4.26,-0.18,13.0%,36267,24.4%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 탐 켄치
피바라기,B,4.29,-0.18,15.1%,36730,24.7%,리븐 | 피오라 | 마스터 이 | 블리츠크랭크 | 우르곳
마법공학 총검,B,4.18,-0.18,14.7%,31683,21.3%,르블랑 | 벡스 | 카르마 | 바드 | 아우렐리온 솔
라바돈의 죽음모자,B,3.98,-0.17,16.3%,25095,16.9%,아우렐리온 솔 | 카르마 | 나미 | 트위스티드 페이트
크라운가드,B,3.92,-0.17,16.8%,23681,15.9%,일라오이 | 람머스 | 누누와 윌럼프 | 블리츠크랭크 | 탐 켄치
밤의 끝자락,B,4.09,-0.17,16.2%,27550,18.5%,마스터 이 | 피오라 | 리븐 | 아칼리 | 파이크
대천사의 지팡이,B,4.20,-0.16,13.8%,30498,20.5%,빅토르 | 아우렐리온 솔 | 카르마 | 바드 | 나미
굳건한 심장,B,4.14,-0.16,14.2%,27523,18.5%,람머스 | 탐 켄치 | 누누와 윌럼프 | 오른 | 일라오이
모렐로노미콘,B,4.11,-0.14,15.5%,23997,16.1%,카르마 | 바드 | 나미 | 모르가나
붉은 덩굴정령,B,4.05,-0.13,16.0%,21150,14.2%,진 | 코르키 | 킨드레드 | 카이사 | 자야
내셔의 이빨,B,4.34,-0.13,13.4%,29096,19.5%,트위스티드 페이트 | 나미 | 카르마
수은,B,4.11,-0.12,15.7%,20957,14.1%,벨베스 | 그레이브즈 | 피오라 | 마스터 이 | 리븐
무한의 대검,B,4.45,-0.12,12.6%,33766,22.7%,진 | 카이사 | 코르키 | 킨드레드 | 미스 포츈
거인의 결의,B,4.40,-0.12,14.3%,30803,20.7%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이
이온 충격기,B,4.06,-0.12,15.7%,18970,12.7%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 모데카이저 | 람머스
죽음의 검,B,4.10,-0.11,15.5%,18544,12.5%,코르키 | 진 | 킨드레드 | 케이틀린 | 카이사
덤불 조끼,B,4.16,-0.11,13.8%,19739,13.3%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 탐 켄치
최후의 속삭임,C,4.14,-0.10,16.3%,17086,11.5%,코르키 | 진 | 킨드레드 | 자야
크라켄의 분노,C,4.26,-0.09,13.5%,18522,12.4%,킨드레드 | 자야 | 진 | 벨베스
푸른 파수꾼,C,4.21,-0.09,14.4%,16524,11.1%,카르마 | 코르키 | 카이사 | 바드 | 나미
저녁갑주,C,4.32,-0.07,14.3%,16319,11.0%,오른 | 람머스 | 탐 켄치 | 마오카이 | 누누와 윌럼프
