Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.31,14.2%,199712,39.1%,르블랑 | 킨드레드 | 진 | 벡스 | 코르키
보석 건틀릿,S,4.36,-0.31,13.6%,247563,48.5%,빅토르 | 나미 | 카르마 | 아우렐리온 솔 | 르블랑
가고일 돌갑옷,A,4.39,-0.28,13.2%,233228,45.7%,람머스 | 거대 메크 로봇 | 누누와 윌럼프 | 오른 | 일라오이
태양불꽃 망토,A,4.37,-0.27,13.1%,222104,43.5%,람머스 | 누누와 윌럼프 | 탐 켄치 | 오른 | 일라오이
도적의 장갑,A,4.08,-0.27,16.3%,149639,29.3%,블리츠크랭크 | 쉔 | 모데카이저 | 라아스트 | 꼬마 정령
공허의 지팡이,A,4.17,-0.26,14.9%,161056,31.5%,카르마 | 나미 | 아우렐리온 솔 | 바드 | 벡스
워모그의 갑옷,A,4.21,-0.25,14.2%,161782,31.7%,람머스 | 누누와 윌럼프 | 일라오이 | 오른 | 탐 켄치
구인수의 격노검,A,4.51,-0.24,12.4%,252220,49.4%,킨드레드 | 르블랑 | 진 | 벡스 | 자야
수호자의 맹세,A,4.08,-0.23,15.6%,129588,25.4%,누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치 | 마오카이
정령의 형상,A,4.33,-0.23,13.2%,173399,34.0%,누누와 윌럼프 | 람머스 | 탐 켄치 | 오른 | 마오카이
스테락의 도전,A,4.24,-0.20,15.8%,136135,26.7%,거대 메크 로봇 | 피오라 | 리븐 | 마스터 이 | 우르곳
타격대의 철퇴,A,4.14,-0.20,15.2%,121136,23.7%,킨드레드 | 카이사 | 코르키 | 진 | 미스 포츈
적응형 투구,A,3.99,-0.20,15.9%,102485,20.1%,카르마 | 바드 | 누누와 윌럼프 | 나미 | 람머스
쇼진의 창,B,4.29,-0.20,13.9%,143080,28.0%,카르마 | 나미 | 코르키 | 바드 | 카이사
용의 발톱,B,4.25,-0.19,13.4%,127167,24.9%,람머스 | 누누와 윌럼프 | 일라오이 | 오른 | 탐 켄치
정의의 손길,B,4.12,-0.18,15.3%,105512,20.7%,피오라 | 피즈 | 리븐 | 블리츠크랭크 | 아칼리
피바라기,B,4.27,-0.18,15.4%,124476,24.4%,리븐 | 피오라 | 마스터 이 | 블리츠크랭크 | 우르곳
라바돈의 죽음모자,B,3.99,-0.17,16.4%,87225,17.1%,아우렐리온 솔 | 카르마 | 나미 | 트위스티드 페이트 | 바드
대천사의 지팡이,B,4.19,-0.17,13.7%,107644,21.1%,빅토르 | 아우렐리온 솔 | 카르마 | 나미 | 바드
마법공학 총검,B,4.18,-0.17,14.8%,104269,20.4%,르블랑 | 벡스 | 카르마 | 바드 | 아우렐리온 솔
밤의 끝자락,B,4.10,-0.16,16.1%,92557,18.1%,마스터 이 | 피오라 | 리븐 | 아칼리 | 파이크
크라운가드,B,3.90,-0.16,16.6%,75817,14.8%,일라오이 | 람머스 | 누누와 윌럼프 | 블리츠크랭크 | 탐 켄치
굳건한 심장,B,4.12,-0.16,14.3%,93012,18.2%,람머스 | 탐 켄치 | 누누와 윌럼프 | 일라오이 | 오른
모렐로노미콘,B,4.07,-0.14,15.7%,77171,15.1%,카르마 | 바드 | 나미 | 모르가나 | 소나
붉은 덩굴정령,B,4.03,-0.13,16.5%,68579,13.4%,진 | 코르키 | 킨드레드 | 자야 | 카이사
내셔의 이빨,B,4.34,-0.13,13.2%,99546,19.5%,트위스티드 페이트 | 나미 | 카르마 | 바드 | 베이가
무한의 대검,B,4.45,-0.13,12.7%,119940,23.5%,진 | 카이사 | 코르키 | 킨드레드 | 사미라
거인의 결의,B,4.40,-0.12,14.5%,103689,20.3%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 우르곳
이온 충격기,B,4.04,-0.12,15.6%,64591,12.6%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 모데카이저 | 라아스트
덤불 조끼,B,4.14,-0.12,13.8%,69659,13.6%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 탐 켄치
수은,B,4.14,-0.12,15.6%,69381,13.6%,벨베스 | 그레이브즈 | 피오라 | 마스터 이 | 리븐
죽음의 검,B,4.10,-0.11,15.4%,62824,12.3%,코르키 | 진 | 킨드레드 | 케이틀린 | 카이사
최후의 속삭임,C,4.15,-0.10,16.3%,58297,11.4%,코르키 | 진 | 킨드레드 | 자야 | 우르곳
크라켄의 분노,C,4.29,-0.09,13.0%,64801,12.7%,킨드레드 | 자야 | 벨베스 | 진 | 케이틀린
푸른 파수꾼,C,4.22,-0.09,14.6%,56838,11.1%,카르마 | 코르키 | 카이사 | 바드 | 나미
저녁갑주,C,4.33,-0.07,14.2%,55879,10.9%,오른 | 람머스 | 탐 켄치 | 누누와 윌럼프 | 마오카이
