Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.32,14.2%,213295,40.2%,벡스 | 르블랑 | 킨드레드 | 마스터 이 | 벨베스
태양불꽃 망토,A,4.35,-0.29,13.2%,239278,45.0%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 오른
보석 건틀릿,A,4.38,-0.29,13.4%,246027,46.3%,아우렐리온 솔 | 나미 | 빅토르 | 르블랑 | 벡스
가고일 돌갑옷,A,4.40,-0.28,13.1%,244415,46.0%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
구인수의 격노검,A,4.48,-0.27,12.7%,271784,51.2%,벡스 | 르블랑 | 킨드레드 | 자야 | 진
워모그의 갑옷,A,4.22,-0.27,14.2%,180500,34.0%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
정령의 형상,A,4.30,-0.25,13.3%,187099,35.2%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
도적의 장갑,A,4.12,-0.24,15.6%,148371,27.9%,블리츠크랭크 | 쉔 | 모르가나 | 피오라 | 탐 켄치
수호자의 맹세,A,4.07,-0.24,15.8%,139425,26.2%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 잭스
공허의 지팡이,A,4.18,-0.23,15.1%,146833,27.6%,카르마 | 아우렐리온 솔 | 나미 | 벡스 | 바드
쇼진의 창,A,4.26,-0.22,14.2%,157242,29.6%,나미 | 카르마 | 바드 | 코르키 | 제드
타격대의 철퇴,B,4.12,-0.20,15.3%,120737,22.7%,아우렐리온 솔 | 벡스 | 킨드레드 | 코르키 | 그레이브즈
적응형 투구,B,3.96,-0.20,16.4%,100868,19.0%,누누와 윌럼프 | 탐 켄치 | 바드 | 람머스 | 카르마
용의 발톱,B,4.24,-0.19,13.6%,133767,25.2%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
정의의 손길,B,4.12,-0.19,15.1%,114678,21.6%,피오라 | 블리츠크랭크 | 리븐 | 그레이브즈 | 아칼리
피바라기,B,4.28,-0.17,15.1%,128918,24.3%,리븐 | 피오라 | 블리츠크랭크 | 마스터 이 | 그레이브즈
굳건한 심장,B,4.07,-0.17,14.8%,97457,18.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
크라운가드,B,3.88,-0.17,17.0%,78523,14.8%,누누와 윌럼프 | 람머스 | 블리츠크랭크 | 탐 켄치 | 일라오이
밤의 끝자락,B,4.10,-0.16,15.5%,96845,18.2%,마스터 이 | 피오라 | 리븐 | 아칼리 | 그레이브즈
무한의 대검,B,4.39,-0.16,13.1%,142187,26.8%,진 | 카이사 | 자야 | 코르키 | 그레이브즈
라바돈의 죽음모자,B,4.04,-0.16,15.8%,90394,17.0%,아우렐리온 솔 | 트위스티드 페이트 | 빅토르 | 블리츠크랭크 | 나미
스테락의 도전,B,4.27,-0.16,15.7%,118126,22.2%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
마법공학 총검,B,4.16,-0.16,15.2%,102137,19.2%,벡스 | 르블랑 | 아우렐리온 솔 | 카르마 | 바드
대천사의 지팡이,B,4.24,-0.14,13.5%,99407,18.7%,빅토르 | 아우렐리온 솔 | 벡스 | 카르마 | 바드
내셔의 이빨,B,4.30,-0.14,13.3%,107250,20.2%,나미 | 트위스티드 페이트 | 카르마 | 베이가 | 오로라
덤불 조끼,B,4.09,-0.14,14.4%,78783,14.8%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
모렐로노미콘,B,4.05,-0.12,16.1%,69244,13.0%,카르마 | 바드 | 나미 | 모르가나 | 블리츠크랭크
죽음의 검,B,4.09,-0.12,15.5%,71794,13.5%,코르키 | 진 | 킨드레드 | 그레이브즈 | 자야
붉은 덩굴정령,B,4.01,-0.12,16.6%,65988,12.4%,카르마 | 바드 | 벡스 | 자야 | 나미
수은,B,4.13,-0.12,15.4%,72498,13.6%,벨베스 | 그레이브즈 | 피오라 | 마스터 이 | 리븐
이온 충격기,B,4.06,-0.12,15.3%,65361,12.3%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 탐 켄치 | 람머스
크라켄의 분노,B,4.24,-0.11,13.1%,75828,14.3%,킨드레드 | 자야 | 벨베스 | 그레이브즈 | 케이틀린
최후의 속삭임,C,4.17,-0.10,15.7%,63238,11.9%,코르키 | 진 | 자야 | 사미라 | 우르곳
거인의 결의,C,4.44,-0.10,14.0%,93026,17.5%,거대 메크 로봇 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
푸른 파수꾼,C,4.21,-0.09,14.6%,60834,11.5%,카르마 | 바드 | 코르키 | 카이사 | 나미
저녁갑주,C,4.32,-0.08,14.0%,64035,12.1%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 마오카이
