Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.32,14.2%,600836,40.2%,벡스 | 르블랑 | 벨베스 | 킨드레드 | 그레이브즈
태양불꽃 망토,A,4.35,-0.29,13.2%,671375,45.0%,누누와 윌럼프 | 탐 켄치 | 람머스 | 일라오이 | 오른
보석 건틀릿,A,4.37,-0.29,13.4%,682876,45.7%,나미 | 빅토르 | 아우렐리온 솔 | 르블랑 | 벡스
가고일 돌갑옷,A,4.39,-0.28,13.2%,692799,46.4%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치
워모그의 갑옷,A,4.22,-0.27,14.2%,517577,34.7%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
구인수의 격노검,A,4.48,-0.27,12.8%,767246,51.4%,벡스 | 르블랑 | 킨드레드 | 자야 | 진
정령의 형상,A,4.30,-0.25,13.3%,529287,35.4%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
수호자의 맹세,A,4.07,-0.24,15.9%,394541,26.4%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 잭스
도적의 장갑,A,4.13,-0.24,15.6%,415123,27.8%,블리츠크랭크 | 쉔 | 모르가나 | 피오라 | 탐 켄치
공허의 지팡이,A,4.16,-0.22,15.3%,397445,26.6%,카르마 | 나미 | 아우렐리온 솔 | 벡스 | 바드
쇼진의 창,A,4.28,-0.22,14.1%,444398,29.8%,나미 | 카르마 | 바드 | 코르키 | 사미라
타격대의 철퇴,B,4.12,-0.20,15.3%,338240,22.6%,벡스 | 코르키 | 킨드레드 | 진 | 아우렐리온 솔
적응형 투구,B,3.96,-0.20,16.4%,282269,18.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 바드 | 카르마
용의 발톱,B,4.24,-0.19,13.5%,376149,25.2%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
정의의 손길,B,4.12,-0.19,15.0%,325317,21.8%,피오라 | 블리츠크랭크 | 리븐 | 아칼리 | 그레이브즈
피바라기,B,4.29,-0.17,15.0%,361226,24.2%,리븐 | 피오라 | 블리츠크랭크 | 그레이브즈 | 마스터 이
굳건한 심장,B,4.07,-0.17,14.9%,272489,18.2%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
무한의 대검,B,4.39,-0.17,13.1%,415005,27.8%,진 | 카이사 | 자야 | 코르키 | 사미라
밤의 끝자락,B,4.08,-0.17,15.7%,272691,18.3%,마스터 이 | 피오라 | 리븐 | 아칼리 | 그레이브즈
크라운가드,B,3.89,-0.16,16.7%,221123,14.8%,누누와 윌럼프 | 람머스 | 블리츠크랭크 | 탐 켄치 | 일라오이
라바돈의 죽음모자,B,4.04,-0.16,15.7%,255472,17.1%,아우렐리온 솔 | 트위스티드 페이트 | 빅토르 | 나미 | 블리츠크랭크
마법공학 총검,B,4.15,-0.16,15.3%,279993,18.7%,벡스 | 르블랑 | 아우렐리온 솔 | 카르마 | 바드
스테락의 도전,B,4.24,-0.16,16.0%,311542,20.9%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
내셔의 이빨,B,4.31,-0.14,13.2%,306958,20.6%,나미 | 트위스티드 페이트 | 카르마 | 베이가 | 오로라
대천사의 지팡이,B,4.23,-0.14,13.6%,271832,18.2%,빅토르 | 아우렐리온 솔 | 벡스 | 카르마 | 나미
덤불 조끼,B,4.08,-0.14,14.4%,225259,15.1%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
죽음의 검,B,4.09,-0.13,15.4%,208991,14.0%,진 | 코르키 | 킨드레드 | 그레이브즈 | 자야
붉은 덩굴정령,B,4.01,-0.12,16.7%,185430,12.4%,카르마 | 자야 | 벡스 | 바드 | 나미
모렐로노미콘,B,4.03,-0.12,16.2%,188772,12.6%,카르마 | 바드 | 나미 | 블리츠크랭크 | 모르가나
수은,B,4.14,-0.12,15.2%,203087,13.6%,벨베스 | 그레이브즈 | 피오라 | 마스터 이 | 리븐
이온 충격기,B,4.06,-0.11,15.3%,180433,12.1%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 탐 켄치 | 람머스
크라켄의 분노,B,4.23,-0.11,13.2%,214529,14.4%,자야 | 킨드레드 | 벨베스 | 케이틀린 | 그레이브즈
최후의 속삭임,B,4.16,-0.10,15.9%,178664,12.0%,코르키 | 진 | 자야 | 사미라 | 그레이브즈
거인의 결의,C,4.43,-0.10,14.0%,251077,16.8%,거대 메크 로봇 | 리븐 | 피오라 | 마스터 이 | 그레이브즈
푸른 파수꾼,C,4.22,-0.09,14.5%,170381,11.4%,카르마 | 바드 | 코르키 | 카이사 | 나미
저녁갑주,C,4.32,-0.08,14.0%,184864,12.4%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 마오카이
