Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.32,14.2%,1110806,40.2%,벡스 | 르블랑 | 벨베스 | 진 | 킨드레드
태양불꽃 망토,A,4.35,-0.29,13.2%,1238598,44.8%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
가고일 돌갑옷,A,4.38,-0.29,13.2%,1294424,46.9%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 탐 켄치
보석 건틀릿,A,4.37,-0.28,13.4%,1250428,45.3%,나미 | 빅토르 | 아우렐리온 솔 | 벡스 | 르블랑
워모그의 갑옷,A,4.22,-0.27,14.2%,969538,35.1%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
구인수의 격노검,A,4.47,-0.27,12.9%,1422223,51.5%,벡스 | 자야 | 르블랑 | 킨드레드 | 진
정령의 형상,A,4.30,-0.25,13.4%,983066,35.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
수호자의 맹세,A,4.08,-0.25,16.0%,735970,26.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 잭스
도적의 장갑,A,4.12,-0.24,15.7%,760932,27.5%,블리츠크랭크 | 쉔 | 모르가나 | 피오라 | 라아스트
공허의 지팡이,A,4.15,-0.22,15.4%,715547,25.9%,카르마 | 나미 | 아우렐리온 솔 | 벡스 | 바드
쇼진의 창,A,4.28,-0.22,13.9%,829962,30.0%,나미 | 카르마 | 바드 | 사미라 | 코르키
타격대의 철퇴,B,4.11,-0.20,15.3%,620661,22.5%,진 | 벡스 | 코르키 | 그레이브즈 | 킨드레드
적응형 투구,B,3.95,-0.20,16.4%,515997,18.7%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 카르마
용의 발톱,B,4.23,-0.19,13.6%,695953,25.2%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
정의의 손길,B,4.12,-0.19,14.9%,601244,21.8%,피오라 | 블리츠크랭크 | 아칼리 | 리븐 | 그레이브즈
무한의 대검,B,4.39,-0.17,13.2%,791002,28.6%,진 | 자야 | 카이사 | 사미라 | 그레이브즈
굳건한 심장,B,4.06,-0.17,14.9%,500109,18.1%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
피바라기,B,4.30,-0.17,14.9%,659549,23.9%,리븐 | 피오라 | 블리츠크랭크 | 그레이브즈 | 마스터 이
밤의 끝자락,B,4.08,-0.17,15.7%,501954,18.2%,피오라 | 마스터 이 | 리븐 | 아칼리 | 파이크
라바돈의 죽음모자,B,4.05,-0.17,15.6%,479302,17.4%,아우렐리온 솔 | 트위스티드 페이트 | 빅토르 | 나미 | 카르마
크라운가드,B,3.89,-0.16,16.7%,407346,14.7%,누누와 윌럼프 | 람머스 | 블리츠크랭크 | 탐 켄치 | 일라오이
마법공학 총검,B,4.14,-0.16,15.4%,503918,18.2%,벡스 | 르블랑 | 진 | 카르마 | 티모
스테락의 도전,B,4.23,-0.15,16.1%,546123,19.8%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
내셔의 이빨,B,4.31,-0.14,13.1%,578345,20.9%,나미 | 트위스티드 페이트 | 베이가 | 카르마 | 피즈
덤불 조끼,B,4.07,-0.14,14.4%,423084,15.3%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
대천사의 지팡이,B,4.23,-0.14,13.6%,489363,17.7%,빅토르 | 아우렐리온 솔 | 벡스 | 카르마 | 나미
죽음의 검,B,4.10,-0.13,15.4%,395673,14.3%,진 | 코르키 | 킨드레드 | 그레이브즈 | 자야
붉은 덩굴정령,B,3.99,-0.12,16.8%,339631,12.3%,자야 | 카르마 | 벡스 | 나미 | 진
모렐로노미콘,B,4.02,-0.12,16.3%,340369,12.3%,카르마 | 바드 | 나미 | 블리츠크랭크 | 모르가나
수은,B,4.15,-0.12,14.9%,374091,13.5%,벨베스 | 그레이브즈 | 피오라 | 마스터 이 | 리븐
이온 충격기,B,4.06,-0.11,15.3%,330244,12.0%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 탐 켄치 | 람머스
크라켄의 분노,B,4.23,-0.11,13.2%,401689,14.5%,자야 | 킨드레드 | 벨베스 | 케이틀린 | 진
최후의 속삭임,B,4.15,-0.10,15.9%,330296,12.0%,코르키 | 진 | 자야 | 사미라 | 킨드레드
거인의 결의,C,4.42,-0.09,14.0%,448427,16.2%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 그레이브즈
푸른 파수꾼,C,4.22,-0.09,14.4%,315384,11.4%,카르마 | 카이사 | 바드 | 코르키 | 나미
저녁갑주,C,4.32,-0.09,14.2%,351188,12.7%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 마오카이
