Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.33,14.1%,1805207,40.3%,벡스 | 벨베스 | 르블랑 | 진 | 자야
가고일 돌갑옷,S,4.36,-0.31,13.3%,2147064,48.0%,누누와 윌럼프 | 람머스 | 거대 메크 로봇 | 일라오이 | 잭스
태양불꽃 망토,A,4.35,-0.29,13.3%,2000338,44.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
워모그의 갑옷,A,4.21,-0.28,14.2%,1620709,36.2%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
보석 건틀릿,A,4.36,-0.28,13.2%,1954596,43.7%,나미 | 빅토르 | 아우렐리온 솔 | 벡스 | 카르마
구인수의 격노검,A,4.48,-0.27,13.1%,2348042,52.4%,벡스 | 자야 | 킨드레드 | 르블랑 | 진
정령의 형상,A,4.29,-0.25,13.6%,1596503,35.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
수호자의 맹세,A,4.09,-0.25,16.2%,1249429,27.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
도적의 장갑,A,4.12,-0.24,15.6%,1206020,26.9%,블리츠크랭크 | 쉔 | 라아스트 | 모르가나 | 모데카이저
쇼진의 창,A,4.28,-0.22,13.7%,1366281,30.5%,나미 | 카르마 | 바드 | 사미라 | 코르키
공허의 지팡이,A,4.11,-0.21,15.4%,1072988,24.0%,나미 | 카르마 | 벡스 | 바드 | 아우렐리온 솔
타격대의 철퇴,B,4.09,-0.20,15.4%,973178,21.7%,진 | 벡스 | 그레이브즈 | 코르키 | 카이사
용의 발톱,B,4.22,-0.20,13.8%,1116146,24.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
적응형 투구,B,3.94,-0.20,16.7%,824774,18.4%,누누와 윌럼프 | 람머스 | 바드 | 블리츠크랭크 | 탐 켄치
무한의 대검,B,4.39,-0.19,13.8%,1399151,31.3%,진 | 자야 | 카이사 | 사미라 | 그레이브즈
정의의 손길,B,4.12,-0.19,14.6%,950108,21.2%,피오라 | 아칼리 | 블리츠크랭크 | 리븐 | 그레이브즈
