Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.33,14.0%,2114523,40.9%,벡스 | 벨베스 | 진 | 르블랑 | 자야
가고일 돌갑옷,S,4.35,-0.31,13.3%,2511349,48.5%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 일라오이 | 잭스
태양불꽃 망토,A,4.34,-0.29,13.4%,2304848,44.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
워모그의 갑옷,A,4.21,-0.29,14.3%,1899512,36.7%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
보석 건틀릿,A,4.35,-0.28,13.1%,2211485,42.7%,나미 | 빅토르 | 아우렐리온 솔 | 카르마 | 벡스
구인수의 격노검,A,4.48,-0.27,13.2%,2734712,52.8%,벡스 | 자야 | 킨드레드 | 르블랑 | 티모
수호자의 맹세,A,4.10,-0.26,16.4%,1480780,28.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
정령의 형상,A,4.28,-0.26,13.7%,1839874,35.6%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 오른
도적의 장갑,A,4.12,-0.24,15.5%,1377812,26.6%,블리츠크랭크 | 쉔 | 모르가나 | 라아스트 | 피오라
쇼진의 창,A,4.28,-0.22,13.6%,1580576,30.5%,나미 | 카르마 | 바드 | 사미라 | 코르키
공허의 지팡이,A,4.09,-0.21,15.4%,1200847,23.2%,나미 | 카르마 | 바드 | 아우렐리온 솔 | 벡스
무한의 대검,B,4.39,-0.20,14.1%,1690889,32.7%,자야 | 진 | 카이사 | 사미라 | 그레이브즈
적응형 투구,B,3.94,-0.20,16.8%,955034,18.5%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 블리츠크랭크
용의 발톱,B,4.21,-0.20,13.9%,1272968,24.6%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
타격대의 철퇴,B,4.09,-0.19,15.4%,1101153,21.3%,진 | 코르키 | 벡스 | 그레이브즈 | 나미
정의의 손길,B,4.11,-0.18,14.5%,1077077,20.8%,피오라 | 아칼리 | 블리츠크랭크 | 리븐 | 그레이브즈
라바돈의 죽음모자,B,4.05,-0.17,15.0%,954967,18.5%,트위스티드 페이트 | 아우렐리온 솔 | 빅토르 | 나미 | 벡스
굳건한 심장,B,4.01,-0.17,15.4%,898891,17.4%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
