Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.19,-0.35,13.9%,2732015,43.0%,벡스 | 우르곳 | 벨베스 | 진 | 자야
가고일 돌갑옷,S,4.34,-0.32,13.3%,3112631,49.0%,누누와 윌럼프 | 거대 메크 로봇 | 람머스 | 잭스 | 일라오이
워모그의 갑옷,A,4.21,-0.30,14.3%,2368995,37.3%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
태양불꽃 망토,A,4.33,-0.29,13.6%,2785157,43.9%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
보석 건틀릿,A,4.34,-0.27,13.0%,2596536,40.9%,나미 | 빅토르 | 아우렐리온 솔 | 카르마 | 벡스
수호자의 맹세,A,4.12,-0.27,16.4%,1924635,30.3%,누누와 윌럼프 | 람머스 | 탐 켄치 | 마오카이 | 일라오이
구인수의 격노검,A,4.49,-0.27,13.3%,3321263,52.3%,자야 | 벡스 | 킨드레드 | 르블랑 | 티모
정령의 형상,A,4.27,-0.26,13.8%,2227167,35.1%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
도적의 장갑,A,4.11,-0.23,15.4%,1654858,26.1%,블리츠크랭크 | 쉔 | 라아스트 | 모데카이저 | 모르가나
쇼진의 창,A,4.25,-0.23,13.7%,1934083,30.5%,나미 | 카르마 | 바드 | 오로라 | 사미라
무한의 대검,A,4.38,-0.22,14.4%,2262811,35.6%,자야 | 진 | 우르곳 | 카이사 | 사미라
공허의 지팡이,A,4.06,-0.21,15.4%,1388781,21.9%,나미 | 카르마 | 바드 | 리산드라 | 아우렐리온 솔
적응형 투구,B,3.94,-0.20,16.9%,1178435,18.6%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 블리츠크랭크
용의 발톱,B,4.19,-0.19,14.1%,1482853,23.3%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
타격대의 철퇴,B,4.07,-0.19,15.5%,1265593,19.9%,진 | 코르키 | 벡스 | 나미 | 그레이브즈
라바돈의 죽음모자,B,4.07,-0.18,14.7%,1223248,19.3%,트위스티드 페이트 | 빅토르 | 아우렐리온 솔 | 벡스 | 나미
정의의 손길,B,4.12,-0.18,14.2%,1270906,20.0%,피오라 | 아칼리 | 블리츠크랭크 | 리븐 | 그레이브즈
굳건한 심장,B,3.98,-0.17,15.7%,1072413,16.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 라아스트
크라운가드,B,3.86,-0.17,16.8%,928042,14.6%,누누와 윌럼프 | 람머스 | 잭스 | 블리츠크랭크 | 탐 켄치
덤불 조끼,B,3.99,-0.16,15.1%,1008436,15.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
밤의 끝자락,B,4.05,-0.15,15.1%,1034291,16.3%,피오라 | 리븐 | 마스터 이 | 아칼리 | 파이크
내셔의 이빨,B,4.29,-0.15,12.5%,1312943,20.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
피바라기,B,4.31,-0.14,14.1%,1334282,21.0%,리븐 | 피오라 | 블리츠크랭크 | 그레이브즈 | 브라이어
마법공학 총검,B,4.10,-0.14,15.0%,1003583,15.8%,벡스 | 티모 | 르블랑 | 진 | 탈론
죽음의 검,B,4.11,-0.14,15.6%,983082,15.5%,진 | 자야 | 코르키 | 킨드레드 | 케이틀린
수은,B,4.17,-0.14,13.8%,1042744,16.4%,우르곳 | 벨베스 | 그레이브즈 | 피오라 | 마스터 이
스테락의 도전,B,4.15,-0.13,16.2%,981534,15.5%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 브라이어
저녁갑주,B,4.24,-0.12,15.6%,1038886,16.4%,누누와 윌럼프 | 람머스 | 마오카이 | 오른 | 탐 켄치
대천사의 지팡이,B,4.18,-0.12,13.3%,948306,14.9%,빅토르 | 아우렐리온 솔 | 카르마 | 나미 | 오로라
붉은 덩굴정령,B,3.96,-0.12,17.1%,745272,11.7%,자야 | 카르마 | 진 | 나미 | 벡스
모렐로노미콘,B,3.96,-0.12,16.4%,714010,11.2%,카르마 | 바드 | 나미 | 오로라 | 블리츠크랭크
최후의 속삭임,B,4.09,-0.11,17.0%,788095,12.4%,진 | 자야 | 코르키 | 사미라 | 카이사
크라켄의 분노,B,4.26,-0.11,13.5%,958548,15.1%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 진
이온 충격기,B,4.04,-0.10,14.9%,673250,10.6%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 람머스 | 탐 켄치
푸른 파수꾼,C,4.19,-0.09,14.1%,716295,11.3%,카르마 | 나미 | 바드 | 카이사 | 오로라
거인의 결의,C,4.39,-0.08,13.3%,864938,13.6%,리븐 | 거대 메크 로봇 | 피오라 | 브라이어 | 마스터 이
여신의 눈물,C,4.72,-0.01,10.4%,258809,4.1%,바드 | 누누와 윌럼프 | 카르마 | 리산드라 | 블리츠크랭크
음전자 망토,C,4.79,-0.01,10.2%,262162,4.1%,모데카이저 | 누누와 윌럼프 | 라아스트 | 일라오이 | 람머스
쇠사슬 조끼,C,4.79,-0.01,10.3%,260230,4.1%,라아스트 | 누누와 윌럼프 | 모데카이저 | 람머스 | 일라오이
거인의 허리띠,C,4.86,-0.01,10.0%,344528,5.4%,누누와 윌럼프 | 모데카이저 | 일라오이 | 람머스 | 탐 켄치
쓸데없이 큰 지팡이,C,4.82,-0.01,9.9%,264354,4.2%,바드 | 카르마 | 블리츠크랭크 | 리산드라 | 오로라
연습용 장갑,C,4.81,-0.01,9.8%,229765,3.6%,진 | 카르마 | 블리츠크랭크 | 바드 | 리산드라
곡궁,C,4.85,-0.01,9.9%,279163,4.4%,카르마 | 바드 | 리산드라 | 진 | 자야
B.F. 대검,C,4.93,-0.00,9.4%,253991,4.0%,진 | 파이크 | 아칼리 | 피오라 | 자야
프라이팬,D,5.36,+0.00,7.1%,1959,0.0%,라아스트 | 파이크 | 카르마 | 아칼리 | 오른
뒤집개,D,5.78,+0.22,4.8%,8911,0.1%,리븐 | 카르마 | 리산드라 | 진 | 소나
