Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.20,-0.36,13.8%,3281112,44.6%,우르곳 | 벡스 | 벨베스 | 진 | 자야
가고일 돌갑옷,S,4.33,-0.33,13.3%,3624346,49.2%,누누와 윌럼프 | 거대 메크 로봇 | 레오나 | 람머스 | 잭스
워모그의 갑옷,S,4.21,-0.30,14.4%,2783202,37.8%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
태양불꽃 망토,A,4.32,-0.29,13.6%,3168333,43.0%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
수호자의 맹세,A,4.14,-0.27,16.5%,2328225,31.6%,누누와 윌럼프 | 람머스 | 마오카이 | 탐 켄치 | 라아스트
보석 건틀릿,A,4.33,-0.27,13.0%,2912707,39.6%,나미 | 빅토르 | 아우렐리온 솔 | 카르마 | 벡스
구인수의 격노검,A,4.49,-0.26,13.4%,3832915,52.1%,자야 | 벡스 | 킨드레드 | 티모 | 르블랑
정령의 형상,A,4.26,-0.25,13.9%,2519782,34.2%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
쇼진의 창,A,4.24,-0.23,13.7%,2231498,30.3%,나미 | 카르마 | 오로라 | 바드 | 사미라
무한의 대검,A,4.38,-0.23,14.5%,2743946,37.3%,자야 | 진 | 우르곳 | 카이사 | 사미라
도적의 장갑,A,4.11,-0.23,15.4%,1903202,25.9%,블리츠크랭크 | 라아스트 | 쉔 | 모데카이저 | 일라오이
공허의 지팡이,A,4.04,-0.20,15.4%,1548450,21.0%,나미 | 카르마 | 바드 | 리산드라 | 아우렐리온 솔
적응형 투구,B,3.93,-0.20,17.1%,1355511,18.4%,누누와 윌럼프 | 람머스 | 바드 | 탐 켄치 | 블리츠크랭크
용의 발톱,B,4.18,-0.18,14.2%,1645729,22.4%,누누와 윌럼프 | 일라오이 | 람머스 | 탐 켄치 | 오른
라바돈의 죽음모자,B,4.08,-0.18,14.5%,1469261,20.0%,트위스티드 페이트 | 빅토르 | 오로라 | 아우렐리온 솔 | 벡스
타격대의 철퇴,B,4.04,-0.18,15.6%,1365629,18.6%,진 | 코르키 | 벡스 | 카이사 | 나미
굳건한 심장,B,3.96,-0.17,15.9%,1209806,16.4%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 라아스트
정의의 손길,B,4.13,-0.17,13.9%,1422491,19.3%,피오라 | 블리츠크랭크 | 아칼리 | 리븐 | 그레이브즈
크라운가드,B,3.86,-0.17,16.8%,1072626,14.6%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 블리츠크랭크
