Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
거인 학살자,S,4.22,-0.38,13.9%,22647,48.7%,우르곳 | 벡스 | 벨베스 | 진 | 티모
가고일 돌갑옷,S,4.29,-0.30,14.1%,20076,43.2%,누누와 윌럼프 | 레오나 | 잭스 | 거대 메크 로봇 | 람머스
구인수의 격노검,A,4.37,-0.29,13.7%,21672,46.6%,자야 | 벡스 | 킨드레드 | 티모 | 르블랑
수호자의 맹세,A,4.14,-0.29,15.5%,15505,33.4%,누누와 윌럼프 | 람머스 | 마오카이 | 탐 켄치 | 렉사이
태양불꽃 망토,A,4.39,-0.28,13.0%,20928,45.0%,누누와 윌럼프 | 람머스 | 탐 켄치 | 마오카이 | 일라오이
워모그의 갑옷,A,4.15,-0.26,14.9%,14486,31.2%,누누와 윌럼프 | 람머스 | 일라오이 | 마오카이 | 탐 켄치
도적의 장갑,A,4.11,-0.24,15.2%,12669,27.3%,블리츠크랭크 | 라아스트 | 모데카이저 | 쉔 | 일라오이
쇼진의 창,A,4.31,-0.23,14.4%,15515,33.4%,나미 | 카르마 | 오로라 | 바드 | 코르키
타격대의 철퇴,A,4.08,-0.23,15.2%,11499,24.7%,진 | 코르키 | 카이사 | 벡스 | 킨드레드
정령의 형상,A,4.29,-0.22,13.5%,14628,31.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 마오카이 | 일라오이
적응형 투구,A,4.09,-0.22,15.4%,11387,24.5%,누누와 윌럼프 | 람머스 | 탐 켄치 | 바드 | 카르마
크라운가드,A,4.07,-0.22,15.5%,10957,23.6%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 마오카이
스테락의 도전,A,4.04,-0.20,16.2%,9886,21.3%,거대 메크 로봇 | 브라이어 | 피오라 | 리븐 | 그레이브즈
보석 건틀릿,A,4.41,-0.20,13.1%,16086,34.6%,나미 | 빅토르 | 카르마 | 아우렐리온 솔 | 벡스
무한의 대검,B,4.41,-0.19,14.6%,14629,31.5%,자야 | 진 | 우르곳 | 카이사 | 사미라
밤의 끝자락,B,4.15,-0.18,15.0%,10027,21.6%,마스터 이 | 피오라 | 리븐 | 파이크 | 탈론
공허의 지팡이,B,4.25,-0.18,14.3%,10910,23.5%,카르마 | 나미 | 바드 | 리산드라 | 아우렐리온 솔
죽음의 검,B,4.05,-0.17,16.0%,8284,17.8%,진 | 코르키 | 자야 | 킨드레드 | 케이틀린
피바라기,B,4.24,-0.17,14.5%,10362,22.3%,리븐 | 브라이어 | 피오라 | 블리츠크랭크 | 마스터 이
라바돈의 죽음모자,B,4.07,-0.17,15.4%,8408,18.1%,트위스티드 페이트 | 빅토르 | 오로라 | 카르마 | 벡스
정의의 손길,B,4.16,-0.16,13.9%,8920,19.2%,피오라 | 블리츠크랭크 | 리븐 | 아칼리 | 마스터 이
저녁갑주,B,4.34,-0.16,13.5%,11263,24.2%,마오카이 | 람머스 | 누누와 윌럼프 | 탐 켄치 | 렉사이
굳건한 심장,B,4.05,-0.16,14.9%,7753,16.7%,누누와 윌럼프 | 람머스 | 탐 켄치 | 일라오이 | 마오카이
최후의 속삭임,B,4.16,-0.16,15.8%,8745,18.8%,진 | 코르키 | 자야 | 킨드레드 | 카이사
수은,B,4.36,-0.16,12.7%,11478,24.7%,우르곳 | 벨베스 | 마스터 이 | 그레이브즈 | 피오라
마법공학 총검,B,4.06,-0.16,15.0%,7762,16.7%,벡스 | 티모 | 르블랑 | 진 | 탈론
붉은 덩굴정령,B,4.05,-0.16,16.1%,7663,16.5%,자야 | 진 | 카르마 | 킨드레드 | 나미
덤불 조끼,B,3.89,-0.15,16.6%,6467,13.9%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
모렐로노미콘,B,4.26,-0.13,14.3%,8436,18.1%,카르마 | 오로라 | 바드 | 나미 | 리산드라
크라켄의 분노,B,4.21,-0.13,14.0%,7426,16.0%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 진
내셔의 이빨,B,4.32,-0.12,13.2%,8335,17.9%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
거인의 결의,B,4.29,-0.12,14.0%,7605,16.4%,리븐 | 브라이어 | 거대 메크 로봇 | 피오라 | 마스터 이
용의 발톱,B,4.28,-0.11,13.4%,7361,15.8%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 마오카이
푸른 파수꾼,B,4.19,-0.10,15.3%,5942,12.8%,카르마 | 카이사 | 오로라 | 바드 | 나미
대천사의 지팡이,C,4.16,-0.10,14.2%,5541,11.9%,빅토르 | 아우렐리온 솔 | 오로라 | 카르마 | 나미
이온 충격기,C,4.25,-0.08,13.0%,5076,10.9%,일라오이 | 블리츠크랭크 | 누누와 윌럼프 | 탐 켄치 | 람머스
쇠사슬 조끼,C,4.70,-0.01,10.7%,1536,3.3%,라아스트 | 누누와 윌럼프 | 모데카이저 | 일라오이 | 마오카이
여신의 눈물,C,4.76,-0.01,8.9%,1569,3.4%,바드 | 누누와 윌럼프 | 카르마 | 리산드라 | 마오카이
음전자 망토,C,4.76,-0.01,10.3%,1500,3.2%,모데카이저 | 일라오이 | 라아스트 | 누누와 윌럼프 | 람머스
쓸데없이 큰 지팡이,C,4.84,-0.01,9.3%,1590,3.4%,바드 | 카르마 | 오로라 | 리산드라 | 블리츠크랭크
연습용 장갑,C,4.85,-0.00,8.9%,1292,2.8%,진 | 카르마 | 블리츠크랭크 | 아칼리 | 바드
곡궁,C,4.93,-0.00,8.5%,1843,4.0%,카르마 | 진 | 바드 | 리산드라 | 킨드레드
B.F. 대검,C,4.92,-0.00,9.2%,1400,3.0%,진 | 파이크 | 아칼리 | 킨드레드 | 리븐
거인의 허리띠,C,4.96,-0.00,9.9%,2085,4.5%,누누와 윌럼프 | 일라오이 | 라아스트 | 마오카이 | 모데카이저
프라이팬,D,6.67,+0.00,0.0%,3,0.0%,라아스트 | 모데카이저 | 아칼리 | 블리츠크랭크 | 거대 메크 로봇
뒤집개,D,5.67,+0.20,9.0%,67,0.1%,리븐 | 카르마 | 리산드라 | 바드 | 모데카이저
