Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
케일의 찬란한 승천,S,1.65,-2.85,76.5%,34,0.0%,진 | 킨드레드 | 르블랑 | 카이사 | 코르키
광휘 역장,S,3.81,-0.69,30.2%,1521,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 탐 켄치
찬란한 가고일 돌갑옷,S,3.85,-0.65,19.5%,3452,2.3%,거대 메크 로봇 | 람머스 | 오른 | 누누와 윌럼프 | 일라오이
찬란한 라바돈의 죽음모자,S,3.86,-0.64,17.6%,887,0.6%,아우렐리온 솔 | 트위스티드 페이트 | 빅토르 | 카르마 | 나미
찬란한 내셔의 이빨,S,3.96,-0.54,18.5%,841,0.6%,트위스티드 페이트 | 나미 | 카르마 | 베이가 | 오로라
찬란한 죽음의 검,S,4.07,-0.43,16.5%,576,0.4%,코르키 | 진 | 킨드레드 | 카이사 | 케이틀린
찬란한 타격대의 철퇴,S,4.11,-0.39,15.0%,834,0.6%,카이사 | 킨드레드 | 코르키 | 미스 포츈 | 진
찬란한 크라켄의 분노,S,4.14,-0.36,12.9%,605,0.4%,킨드레드 | 자야 | 벨베스 | 진
찬란한 모렐로노미콘,S,4.14,-0.36,13.5%,443,0.3%,카르마 | 바드 | 나미 | 아우렐리온 솔 | 빅토르
찬란한 스테락의 도전,S,4.15,-0.35,15.8%,1109,0.7%,거대 메크 로봇 | 피오라 | 리븐 | 마스터 이
찬란한 보석 건틀릿,S,4.15,-0.35,14.6%,2402,1.6%,빅토르 | 르블랑 | 아우렐리온 솔 | 나미 | 카르마
찬란한 거인 학살자,S,4.20,-0.30,12.6%,1729,1.2%,르블랑 | 킨드레드 | 벨베스 | 벡스 | 진
찬란한 대천사의 지팡이,A,4.22,-0.28,13.1%,832,0.6%,빅토르 | 아우렐리온 솔 | 르블랑 | 카르마 | 나미
찬란한 최후의 속삭임,A,4.22,-0.28,13.0%,370,0.2%,코르키 | 진 | 킨드레드 | 자야 | 우르곳
찬란한 마법공학 총검,A,4.25,-0.25,13.4%,783,0.5%,르블랑 | 벡스 | 아우렐리온 솔 | 티모 | 카르마
찬란한 이온 충격기,A,4.25,-0.25,11.7%,342,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 라아스트
찬란한 저녁갑주,A,4.25,-0.25,14.2%,260,0.2%,오른 | 람머스 | 누누와 윌럼프 | 탐 켄치 | 마오카이
찬란한 붉은 덩굴정령,A,4.26,-0.24,15.1%,385,0.3%,진 | 킨드레드 | 자야 | 코르키 | 카이사
찬란한 공허의 지팡이,A,4.27,-0.23,12.7%,1197,0.8%,카르마 | 아우렐리온 솔 | 나미 | 벡스 | 르블랑
찬란한 쇼진의 창,A,4.28,-0.22,13.3%,941,0.6%,카르마 | 나미 | 카이사 | 코르키 | 사미라
찬란한 도적의 장갑,B,4.32,-0.18,12.8%,2249,1.5%,블리츠크랭크 | 라아스트 | 피오라 | 쉔 | 리븐
찬란한 거인의 결의,B,4.32,-0.18,14.6%,808,0.5%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 다이애나
찬란한 무한의 대검,B,4.32,-0.18,13.7%,924,0.6%,진 | 카이사 | 코르키 | 킨드레드 | 미스 포츈
찬란한 밤의 끝자락,B,4.33,-0.17,12.8%,665,0.4%,마스터 이 | 피오라 | 아칼리 | 리븐 | 파이크
찬란한 정의의 손길,B,4.35,-0.15,12.7%,715,0.5%,피즈 | 피오라 | 아칼리 | 리븐 | 마스터 이
찬란한 태양불꽃 망토,B,4.36,-0.14,10.9%,1383,0.9%,람머스 | 누누와 윌럼프 | 오른 | 탐 켄치 | 일라오이
찬란한 수호자의 맹세,B,4.36,-0.14,10.8%,793,0.5%,누누와 윌럼프 | 일라오이 | 람머스 | 잭스 | 탐 켄치
찬란한 피바라기,B,4.37,-0.13,12.9%,853,0.6%,리븐 | 피오라 | 마스터 이 | 다이애나 | 우르곳
찬란한 정령의 형상,C,4.44,-0.06,9.6%,1057,0.7%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 마오카이
찬란한 구인수의 격노검,C,4.45,-0.05,13.0%,2577,1.7%,킨드레드 | 르블랑 | 벡스 | 진 | 자야
찬란한 푸른 파수꾼,C,4.48,-0.02,10.1%,415,0.3%,카이사 | 코르키 | 카르마 | 미스 포츈 | 나미
찬란한 적응형 투구,D,4.52,+0.02,10.4%,498,0.3%,카르마 | 누누와 윌럼프 | 바드 | 나미 | 람머스
찬란한 크라운가드,D,4.53,+0.03,11.3%,373,0.3%,일라오이 | 람머스 | 누누와 윌럼프 | 잭스 | 탐 켄치
찬란한 용의 발톱,D,4.55,+0.05,9.7%,786,0.5%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 탐 켄치
찬란한 워모그의 갑옷,D,4.57,+0.07,12.0%,858,0.6%,람머스 | 오른 | 누누와 윌럼프 | 일라오이 | 마오카이
찬란한 굳건한 심장,D,4.58,+0.08,13.8%,513,0.3%,람머스 | 누누와 윌럼프 | 탐 켄치 | 오른 | 일라오이
찬란한 수은,D,4.58,+0.08,10.9%,441,0.3%,벨베스 | 마스터 이 | 그레이브즈 | 피오라 | 리븐
찬란한 덤불 조끼,D,4.71,+0.21,9.5%,370,0.2%,람머스 | 누누와 윌럼프 | 오른 | 일라오이 | 탐 켄치
