Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.73,-2.77,73.7%,209,0.0%,일라오이 | 피오라 | 거대 메크 로봇 | 블리츠크랭크 | 누누와 윌럼프
케일의 찬란한 승천,S,1.81,-2.69,57.3%,150,0.0%,진 | 킨드레드 | 르블랑 | 카이사 | 코르키
찬란한 가고일 돌갑옷,S,3.90,-0.60,19.6%,11376,2.2%,거대 메크 로봇 | 람머스 | 오른 | 누누와 윌럼프 | 일라오이
찬란한 라바돈의 죽음모자,S,3.93,-0.57,16.5%,3054,0.6%,아우렐리온 솔 | 트위스티드 페이트 | 빅토르 | 나미 | 카르마
광휘 역장,S,3.94,-0.56,28.9%,5151,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 피오라
찬란한 내셔의 이빨,S,4.02,-0.48,16.9%,2866,0.6%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 오로라
찬란한 죽음의 검,S,4.11,-0.39,15.9%,1820,0.4%,코르키 | 진 | 킨드레드 | 카이사 | 케이틀린
찬란한 크라켄의 분노,S,4.11,-0.39,13.2%,1944,0.4%,킨드레드 | 자야 | 벨베스 | 진 | 케이틀린
찬란한 이온 충격기,S,4.12,-0.38,13.0%,1202,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 라아스트
찬란한 보석 건틀릿,S,4.14,-0.36,14.7%,8241,1.6%,빅토르 | 르블랑 | 아우렐리온 솔 | 나미 | 카르마
찬란한 타격대의 철퇴,S,4.15,-0.35,15.2%,2706,0.5%,카이사 | 킨드레드 | 코르키 | 미스 포츈 | 진
찬란한 거인 학살자,S,4.16,-0.34,13.4%,5934,1.2%,르블랑 | 킨드레드 | 벨베스 | 벡스 | 진
찬란한 최후의 속삭임,S,4.16,-0.34,14.7%,1184,0.2%,코르키 | 진 | 킨드레드 | 자야 | 우르곳
찬란한 붉은 덩굴정령,A,4.21,-0.29,14.5%,1424,0.3%,진 | 자야 | 킨드레드 | 코르키 | 카이사
