Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.75,-2.75,73.2%,228,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 피오라
케일의 찬란한 승천,S,1.85,-2.65,63.1%,179,0.0%,벡스 | 르블랑 | 킨드레드 | 아우렐리온 솔 | 자야
광휘 역장,S,3.84,-0.66,30.3%,5283,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
찬란한 내셔의 이빨,S,3.96,-0.54,16.7%,3341,0.6%,나미 | 트위스티드 페이트 | 베이가 | 오로라 | 피즈
찬란한 라바돈의 죽음모자,S,3.96,-0.54,16.6%,3057,0.6%,아우렐리온 솔 | 빅토르 | 트위스티드 페이트 | 벡스 | 르블랑
찬란한 죽음의 검,S,4.00,-0.50,17.5%,2177,0.4%,코르키 | 진 | 자야 | 킨드레드 | 사미라
찬란한 크라켄의 분노,S,4.07,-0.43,14.4%,2236,0.4%,자야 | 킨드레드 | 벨베스 | 그레이브즈 | 케이틀린
찬란한 붉은 덩굴정령,S,4.08,-0.42,16.9%,1347,0.3%,벡스 | 자야 | 나미 | 아우렐리온 솔 | 킨드레드
찬란한 최후의 속삭임,S,4.11,-0.39,15.7%,1308,0.2%,코르키 | 자야 | 진 | 사미라 | 카이사
찬란한 타격대의 철퇴,S,4.11,-0.39,15.9%,2719,0.5%,아우렐리온 솔 | 벡스 | 코르키 | 카이사 | 킨드레드
찬란한 가고일 돌갑옷,S,4.11,-0.39,16.7%,9351,1.8%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 오른
찬란한 거인 학살자,S,4.11,-0.39,14.0%,6308,1.2%,르블랑 | 벡스 | 벨베스 | 마스터 이 | 그레이브즈
찬란한 이온 충격기,S,4.14,-0.36,12.3%,1187,0.2%,누누와 윌럼프 | 일라오이 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 보석 건틀릿,S,4.18,-0.32,14.6%,7891,1.5%,아우렐리온 솔 | 빅토르 | 나미 | 르블랑 | 벡스
찬란한 쇼진의 창,S,4.18,-0.32,16.4%,3729,0.7%,나미 | 카르마 | 제드 | 카이사 | 사미라
찬란한 마법공학 총검,S,4.19,-0.31,14.3%,2449,0.5%,벡스 | 르블랑 | 아우렐리온 솔 | 티모 | 빅토르
찬란한 무한의 대검,A,4.23,-0.27,16.1%,4161,0.8%,진 | 카이사 | 자야 | 사미라 | 그레이브즈
찬란한 밤의 끝자락,A,4.24,-0.26,13.2%,2347,0.4%,마스터 이 | 피오라 | 리븐 | 아칼리 | 제드
찬란한 공허의 지팡이,A,4.24,-0.26,13.5%,3378,0.6%,아우렐리온 솔 | 벡스 | 나미 | 르블랑 | 카르마
찬란한 도적의 장갑,A,4.26,-0.24,13.3%,7921,1.5%,블리츠크랭크 | 피오라 | 쉔 | 리븐 | 모르가나
찬란한 대천사의 지팡이,A,4.28,-0.22,11.4%,2659,0.5%,빅토르 | 아우렐리온 솔 | 르블랑 | 벡스 | 나미
찬란한 정의의 손길,A,4.28,-0.22,13.0%,2699,0.5%,피오라 | 아칼리 | 리븐 | 마스터 이 | 그레이브즈
찬란한 스테락의 도전,B,4.31,-0.19,15.7%,2664,0.5%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
찬란한 모렐로노미콘,B,4.32,-0.18,13.1%,1049,0.2%,카르마 | 아우렐리온 솔 | 나미 | 바드 | 벡스
찬란한 수은,B,4.33,-0.17,10.7%,1713,0.3%,벨베스 | 마스터 이 | 그레이브즈 | 피오라 | 리븐
