Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
일식,S,1.72,-2.78,75.5%,1226,0.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 피오라 | 람머스
케일의 찬란한 승천,S,1.94,-2.56,58.5%,1005,0.0%,벡스 | 자야 | 아우렐리온 솔 | 킨드레드 | 르블랑
광휘 역장,S,3.92,-0.58,29.6%,27166,1.0%,일라오이 | 거대 메크 로봇 | 누누와 윌럼프 | 탐 켄치 | 람머스
찬란한 내셔의 이빨,S,3.96,-0.54,16.7%,18129,0.7%,트위스티드 페이트 | 나미 | 베이가 | 오로라 | 피즈
찬란한 크라켄의 분노,S,4.00,-0.50,15.2%,12081,0.4%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 그레이브즈
찬란한 라바돈의 죽음모자,S,4.01,-0.49,16.0%,16169,0.6%,아우렐리온 솔 | 빅토르 | 트위스티드 페이트 | 벡스 | 르블랑
찬란한 죽음의 검,S,4.06,-0.44,16.4%,12250,0.4%,코르키 | 진 | 자야 | 카이사 | 사미라
찬란한 붉은 덩굴정령,S,4.11,-0.39,15.6%,6887,0.2%,자야 | 벡스 | 나미 | 킨드레드 | 카르마
찬란한 가고일 돌갑옷,S,4.11,-0.39,16.5%,47070,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 잭스
찬란한 거인 학살자,S,4.14,-0.36,14.0%,32681,1.2%,벡스 | 벨베스 | 르블랑 | 자야 | 그레이브즈
찬란한 무한의 대검,S,4.16,-0.34,16.8%,23910,0.9%,진 | 자야 | 카이사 | 사미라 | 그레이브즈
찬란한 최후의 속삭임,S,4.18,-0.32,15.2%,6707,0.2%,코르키 | 자야 | 진 | 사미라 | 카이사
찬란한 보석 건틀릿,S,4.19,-0.31,14.3%,39862,1.4%,빅토르 | 아우렐리온 솔 | 나미 | 르블랑 | 벡스
찬란한 타격대의 철퇴,S,4.20,-0.30,14.9%,14362,0.5%,카이사 | 벡스 | 코르키 | 아우렐리온 솔 | 킨드레드
찬란한 마법공학 총검,A,4.21,-0.29,13.9%,11604,0.4%,벡스 | 르블랑 | 아우렐리온 솔 | 티모 | 빅토르
