Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,3.96,-0.54,16.4%,25355,0.7%,트위스티드 페이트 | 나미 | 베이가 | 피즈 | 카르마
찬란한 라바돈의 죽음모자,S,4.02,-0.48,15.6%,22465,0.6%,아우렐리온 솔 | 빅토르 | 트위스티드 페이트 | 벡스 | 나미
찬란한 크라켄의 분노,S,4.02,-0.48,15.2%,16701,0.4%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 진
찬란한 죽음의 검,S,4.07,-0.43,16.4%,17001,0.5%,코르키 | 자야 | 진 | 카이사 | 사미라
찬란한 붉은 덩굴정령,S,4.10,-0.40,16.0%,9210,0.2%,자야 | 벡스 | 나미 | 진 | 카르마
찬란한 가고일 돌갑옷,S,4.11,-0.39,16.3%,63182,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 일라오이 | 잭스
찬란한 거인 학살자,S,4.12,-0.38,13.9%,44212,1.2%,벡스 | 벨베스 | 르블랑 | 자야 | 그레이브즈
찬란한 무한의 대검,S,4.13,-0.37,17.3%,34419,0.9%,자야 | 진 | 카이사 | 사미라 | 그레이브즈
찬란한 최후의 속삭임,S,4.16,-0.34,15.6%,9106,0.2%,코르키 | 자야 | 진 | 사미라 | 카이사
찬란한 보석 건틀릿,S,4.19,-0.31,14.0%,53042,1.4%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 르블랑
찬란한 밤의 끝자락,A,4.21,-0.29,12.9%,16609,0.4%,마스터 이 | 아칼리 | 리븐 | 피오라 | 파이크
찬란한 마법공학 총검,A,4.21,-0.29,13.8%,14875,0.4%,벡스 | 르블랑 | 티모 | 아우렐리온 솔 | 자야
찬란한 이온 충격기,A,4.22,-0.28,12.6%,8224,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 탐 켄치
찬란한 쇼진의 창,A,4.23,-0.27,14.7%,27156,0.7%,나미 | 카르마 | 제드 | 사미라 | 카이사
찬란한 타격대의 철퇴,A,4.23,-0.27,14.6%,19294,0.5%,카이사 | 벡스 | 코르키 | 진 | 그레이브즈
찬란한 대천사의 지팡이,A,4.23,-0.27,12.5%,16600,0.4%,빅토르 | 아우렐리온 솔 | 벡스 | 르블랑 | 나미
찬란한 도적의 장갑,A,4.24,-0.26,13.6%,57013,1.5%,블리츠크랭크 | 피오라 | 리븐 | 쉔 | 라아스트
찬란한 모렐로노미콘,A,4.26,-0.24,13.1%,6637,0.2%,카르마 | 나미 | 바드 | 아우렐리온 솔 | 조이
찬란한 공허의 지팡이,A,4.26,-0.24,12.4%,21481,0.6%,아우렐리온 솔 | 나미 | 벡스 | 카르마 | 빅토르
찬란한 정의의 손길,A,4.26,-0.24,12.2%,19412,0.5%,아칼리 | 피오라 | 리븐 | 그레이브즈 | 피즈
찬란한 스테락의 도전,B,4.32,-0.18,15.1%,14743,0.4%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
찬란한 태양불꽃 망토,B,4.32,-0.18,11.7%,35457,1.0%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 거인의 결의,B,4.34,-0.16,13.4%,15341,0.4%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 벨베스
찬란한 수은,B,4.35,-0.15,11.0%,11883,0.3%,벨베스 | 그레이브즈 | 마스터 이 | 피오라 | 리븐
찬란한 푸른 파수꾼,B,4.35,-0.15,12.6%,10701,0.3%,카이사 | 코르키 | 카르마 | 나미 | 베이가
찬란한 수호자의 맹세,B,4.35,-0.15,13.2%,21326,0.6%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 일라오이
찬란한 워모그의 갑옷,B,4.37,-0.13,12.2%,25884,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 거대 메크 로봇
찬란한 저녁갑주,B,4.40,-0.10,13.0%,8563,0.2%,누누와 윌럼프 | 오른 | 람머스 | 탐 켄치 | 마오카이
찬란한 피바라기,C,4.41,-0.09,12.7%,19932,0.5%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 블리츠크랭크
찬란한 정령의 형상,C,4.42,-0.08,11.3%,28283,0.8%,누누와 윌럼프 | 람머스 | 탐 켄치 | 오른 | 일라오이
찬란한 구인수의 격노검,C,4.44,-0.06,13.6%,67889,1.8%,벡스 | 자야 | 르블랑 | 킨드레드 | 티모
찬란한 크라운가드,C,4.44,-0.06,11.1%,8536,0.2%,누누와 윌럼프 | 람머스 | 잭스 | 오른 | 일라오이
찬란한 굳건한 심장,C,4.47,-0.03,11.1%,11696,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 용의 발톱,D,4.52,+0.02,10.3%,19690,0.5%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 적응형 투구,D,4.56,+0.06,10.0%,10964,0.3%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 일라오이
찬란한 덤불 조끼,D,4.60,+0.10,9.0%,10434,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
