Item,Tier,Avg Place,Place Change,Win Rate,Games,Frequency,PopularUnits
찬란한 내셔의 이빨,S,3.96,-0.54,16.2%,31462,0.7%,트위스티드 페이트 | 나미 | 베이가 | 카르마 | 피즈
찬란한 라바돈의 죽음모자,S,4.01,-0.49,15.4%,27769,0.6%,빅토르 | 아우렐리온 솔 | 트위스티드 페이트 | 벡스 | 나미
찬란한 크라켄의 분노,S,4.04,-0.46,15.0%,20495,0.5%,자야 | 벨베스 | 킨드레드 | 케이틀린 | 그레이브즈
찬란한 붉은 덩굴정령,S,4.09,-0.41,16.6%,10805,0.2%,자야 | 벡스 | 나미 | 진 | 카르마
찬란한 죽음의 검,S,4.09,-0.41,16.3%,21115,0.5%,자야 | 진 | 코르키 | 카이사 | 사미라
찬란한 무한의 대검,S,4.10,-0.40,17.8%,44128,1.0%,자야 | 진 | 카이사 | 사미라 | 그레이브즈
찬란한 최후의 속삭임,S,4.10,-0.40,16.6%,11141,0.2%,자야 | 코르키 | 진 | 사미라 | 카이사
찬란한 가고일 돌갑옷,S,4.11,-0.39,16.0%,77187,1.7%,거대 메크 로봇 | 누누와 윌럼프 | 람머스 | 잭스 | 일라오이
찬란한 거인 학살자,S,4.11,-0.39,14.0%,53848,1.2%,벡스 | 벨베스 | 르블랑 | 자야 | 그레이브즈
찬란한 보석 건틀릿,S,4.17,-0.33,13.9%,62645,1.4%,빅토르 | 나미 | 아우렐리온 솔 | 벡스 | 르블랑
찬란한 이온 충격기,A,4.20,-0.30,12.4%,9693,0.2%,일라오이 | 누누와 윌럼프 | 블리츠크랭크 | 람머스 | 오른
찬란한 마법공학 총검,A,4.20,-0.30,13.9%,16766,0.4%,벡스 | 르블랑 | 티모 | 아우렐리온 솔 | 탈론
찬란한 밤의 끝자락,A,4.21,-0.29,13.0%,19478,0.4%,마스터 이 | 아칼리 | 리븐 | 피오라 | 파이크
찬란한 대천사의 지팡이,A,4.23,-0.27,12.3%,19114,0.4%,빅토르 | 아우렐리온 솔 | 벡스 | 르블랑 | 나미
찬란한 타격대의 철퇴,A,4.23,-0.27,14.6%,23030,0.5%,카이사 | 벡스 | 코르키 | 그레이브즈 | 진
찬란한 쇼진의 창,A,4.24,-0.26,14.5%,33286,0.7%,나미 | 카르마 | 사미라 | 제드 | 카이사
찬란한 도적의 장갑,A,4.24,-0.26,13.5%,68519,1.5%,블리츠크랭크 | 피오라 | 리븐 | 라아스트 | 쉔
찬란한 공허의 지팡이,A,4.25,-0.25,12.1%,24651,0.6%,나미 | 아우렐리온 솔 | 벡스 | 카르마 | 빅토르
찬란한 모렐로노미콘,A,4.26,-0.24,12.8%,7840,0.2%,카르마 | 나미 | 바드 | 조이 | 아우렐리온 솔
찬란한 정의의 손길,A,4.27,-0.23,12.2%,23201,0.5%,아칼리 | 피오라 | 리븐 | 그레이브즈 | 파이크
찬란한 스테락의 도전,A,4.29,-0.21,15.0%,16373,0.4%,거대 메크 로봇 | 피오라 | 리븐 | 그레이브즈 | 마스터 이
찬란한 태양불꽃 망토,B,4.31,-0.19,11.9%,42536,1.0%,누누와 윌럼프 | 람머스 | 일라오이 | 탐 켄치 | 오른
찬란한 수은,B,4.33,-0.17,11.0%,14778,0.3%,벨베스 | 그레이브즈 | 마스터 이 | 피오라 | 우르곳
찬란한 푸른 파수꾼,B,4.34,-0.16,12.5%,12945,0.3%,카이사 | 코르키 | 카르마 | 나미 | 베이가
찬란한 거인의 결의,B,4.35,-0.15,12.9%,17667,0.4%,리븐 | 거대 메크 로봇 | 피오라 | 마스터 이 | 벨베스
찬란한 수호자의 맹세,B,4.36,-0.14,13.5%,26786,0.6%,누누와 윌럼프 | 람머스 | 잭스 | 탐 켄치 | 일라오이
찬란한 워모그의 갑옷,B,4.37,-0.13,11.9%,31913,0.7%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 거대 메크 로봇
찬란한 저녁갑주,B,4.39,-0.11,13.4%,10725,0.2%,누누와 윌럼프 | 오른 | 람머스 | 탐 켄치 | 마오카이
찬란한 크라운가드,B,4.40,-0.10,11.4%,10189,0.2%,누누와 윌럼프 | 람머스 | 잭스 | 오른 | 일라오이
찬란한 정령의 형상,C,4.41,-0.09,11.4%,33952,0.8%,누누와 윌럼프 | 람머스 | 오른 | 탐 켄치 | 일라오이
찬란한 피바라기,C,4.43,-0.07,12.5%,23373,0.5%,리븐 | 피오라 | 마스터 이 | 그레이브즈 | 블리츠크랭크
찬란한 구인수의 격노검,C,4.44,-0.06,13.9%,83649,1.9%,벡스 | 자야 | 르블랑 | 킨드레드 | 티모
찬란한 굳건한 심장,C,4.45,-0.05,11.4%,13664,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 용의 발톱,D,4.53,+0.03,10.3%,23671,0.5%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
찬란한 적응형 투구,D,4.56,+0.06,10.2%,13061,0.3%,누누와 윌럼프 | 람머스 | 레오나 | 일라오이 | 탐 켄치
찬란한 덤불 조끼,D,4.58,+0.08,8.9%,12573,0.3%,누누와 윌럼프 | 람머스 | 일라오이 | 오른 | 탐 켄치
